Date,TLT_Open,TLT_High,TLT_Low,TLT_Close,TLT_Volume,TLT_ATRPercentOfClose20,TLT_SQN25,TLT_SQN50,TLT_SQN100,TLT_SQN200,TLT_MACD,TLT_MACD_Avg,TLT_MACD_Diff,TLT_LinReg10,TLT_LinReg30,TLT_LinReg90,TLT_LinReg270
5/30/2017, 124.03, 124.14, 123.74, 124.09, 4819358, 0.718508213123873, 0.351101023623077, 1.16021584317622, 0.530117268960662, 0, 0.547113974540238, 0.355308333498338, 0.1918056410419, 123.779090909092, 122.446129032258, 122.707663003663, 122.218625547306
5/31/2017, 124.05, 124.65, 124.03, 124.4, 8000164, 0.70580144660944, 0.978532387590287, 1.11776284684447, 0.339201131978718, 0, 0.621866321412853, 0.408619931081241, 0.213246390331612, 123.861090909092, 122.864064516128, 122.843365079365, 122.327421583271
6/1/2017, 123.7, 124.19, 123.66, 124.15, 9037271, 0.701664236490565, 0.683498384487127, 0.868997972644564, 0.456049424281979, 0, 0.653403159316895, 0.457576576728372, 0.195826582588523, 124.053090909092, 123.20688172043, 122.991538461538, 122.422994505494
6/2/2017, 125.22, 125.77, 125.05, 125.62, 13245037, 0.723260899636112, 1.07821703175941, 1.03375840776248, 0.511650569075351, 0, 0.787930275517297, 0.523647316486157, 0.26428295903114, 124.733454545455, 123.703376344085, 123.183318681318, 122.570495956873
6/5/2017, 124.9, 125.16, 124.78, 124.84, 6775466, 0.725033903409757, 0.739352515208479, 0.901726579357766, 0.422576677013572, 0, 0.822127528659848, 0.583343358920895, 0.238784169738953, 125.082363636364, 124.087483870967, 123.303557997557, 122.684025745018
6/6/2017, 125.69, 125.87, 125.4, 125.52, 12841474, 0.726080073905277, 1.41806387047479, 0.943902912064686, 0.45402453264435, 0, 0.893796287917866, 0.645433944720289, 0.248362343197576, 125.536545454546, 124.5088172043, 123.457985347985, 122.818811007269
6/7/2017, 125.24, 125.52, 124.79, 124.92, 12852353, 0.722307815664111, 1.0155324500089, 0.712076999759952, 0.413107926656512, 0, 0.891898064682223, 0.694726768712676, 0.197171295969547, 125.500181818183, 124.73864516129, 123.591111111111, 122.927215426435
6/8/2017, 124.88, 124.88, 124.3, 124.59, 8758621, 0.712891545999862, 0.880498834471055, 0.820847723731949, 0.446841091840634, 0, 0.853921985911484, 0.726565812152438, 0.127356173759046, 125.358000000001, 124.948881720429, 123.697936507936, 123.020083402835
6/9/2017, 124.08, 124.64, 123.98, 124.4, 5130548, 0.704808680308011, 1.03140884709141, 0.640426570029766, 0.263712048732072, 0, 0.799280648003787, 0.741108779322708, 0.0581718686810795, 125.084000000001, 125.11640860215, 123.811003663003, 123.103061425061
6/12/2017, 124.21, 124.99, 124.14, 124.36, 4335780, 0.703958586674178, 0.982333916093539, 0.853443236495449, 0.470167992948098, 0, 0.74417098841225, 0.741721221140616, 0.00244976727163404, 124.776545454546, 125.281892473118, 123.896949938949, 123.181875804376
