Date,IHE_Open,IHE_High,IHE_Low,IHE_Close,IHE_Volume,IHE_ATRPercentOfClose20,IHE_SQN25,IHE_SQN50,IHE_SQN100,IHE_SQN200,IHE_MACD,IHE_MACD_Avg,IHE_MACD_Diff,IHE_LinReg10,IHE_LinReg30,IHE_LinReg90,IHE_LinReg270
3/9/2017, 153.09, 153.67, 152.32, 153.26, 18336, 1.26824392008593, 1.89846060097678, 0, 0, 0, 1.99201525998276, 2.34574322062514, -0.353727960642376, 153.024909090909, 157.115462365591, 154.038177613321, 154.038177613321
3/10/2017, 153.98, 153.98, 152.66, 153.58, 26304, 1.24529567673363, 1.7161027603286, 0, 0, 0, 1.89470654259995, 2.2555358850201, -0.360829342420154, 152.905636363636, 156.897806451613, 154.272739361702, 154.272739361702
3/13/2017, 153.39, 153.58, 152.7, 153.21, 17326, 1.21460664794148, 1.40285448951439, 0, 0, 0, 1.76735975214217, 2.15790065844452, -0.390540906302346, 152.973818181818, 156.609591397849, 154.45787414966, 154.45787414966
3/14/2017, 152.65, 153, 151.11, 151.46, 19328, 1.23653367426752, 0.896173213680373, 0, 0, 0, 1.50784463423773, 2.02788945360316, -0.520044819365431, 152.181272727273, 155.941462365591, 154.488759183674, 154.488759183674
3/15/2017, 151.43, 154.26, 151.43, 154.06, 34810, 1.24672933136006, 1.436184288094, 0, 0, 0, 1.49474481668594, 1.92126052621971, -0.426515709533777, 152.717090909091, 155.748731182796, 154.716752941177, 154.716752941177
3/16/2017, 153.99, 153.99, 152.84, 153.22, 18088, 1.23069811219073, 1.03083075073196, 0.987323190143048, 0, 0, 1.40043875089256, 1.81709617115428, -0.416657420261722, 152.889636363637, 155.453806451613, 154.86290346908, 154.86290346908
3/17/2017, 151.98, 152.58, 151.2, 151.67, 19390, 1.2477034780271, 0.577948298091639, 0.559255795772206, 0, 0, 1.18694609249724, 1.69106615542287, -0.504120062925637, 152.704727272728, 154.992817204301, 154.881081277213, 154.881081277213
3/20/2017, 152.16, 152.64, 151.95, 152.53, 13982, 1.21043222439358, 0.638965135389044, 0.604770788179303, 0, 0, 1.07475730210209, 1.56780438475872, -0.493047082656632, 152.641636363637, 154.68623655914, 154.958784067086, 154.958784067086
3/21/2017, 152.9, 153.71, 149, 149.55, 35738, 1.33029666216927, 0.082890921305717, 0.339774174543641, 0, 0, 0.736891357466533, 1.40162177930028, -0.664730421833748, 151.384909090909, 154.004193548387, 154.814531986532, 154.814531986532
3/22/2017, 149.67, 149.89, 148.5, 149.77, 14354, 1.30832992278857, -0.17015322835699, 0.214080688898186, 0, 0, 0.481333807025948, 1.21756418484541, -0.736230377819466, 150.506545454546, 153.267720430107, 154.692642857143, 154.692642857143
3/23/2017, 149.68, 151.05, 149.67, 149.91, 10557, 1.28778029423815, -0.548355918316533, 0.295317133374118, 0, 0, 0.286793460589308, 1.03141003999419, -0.744616579404884, 149.910545454546, 152.630516129032, 154.585883458647, 154.585883458647
3/24/2017, 149.55, 150.32, 149.22, 149.93, 13207, 1.259911870298, -0.410437412621114, 0.65486503089069, 0, 0, 0.132702950297471, 0.851668622054848, -0.718965671757377, 149.568181818182, 152.048967741935, 154.484960677556, 154.484960677556
3/27/2017, 148.58, 152.55, 148.58, 152.39, 21191, 1.30785259779572, -0.101188352202361, 0.86190102848878, 0, 0, 0.206703798925872, 0.722675657429053, -0.515971858503181, 150.200727272728, 151.798709677419, 154.55350087668, 154.55350087668
3/28/2017, 152.5, 152.62, 151.59, 152.62, 7729, 1.27433150641584, 0.00673698176909414, 0.817427469250166, 0, 0, 0.280673651282228, 0.634275256199688, -0.35360160491746, 150.607454545455, 151.583161290323, 154.631491525424, 154.631491525424
3/29/2017, 152.3, 153.5, 152.3, 152.77, 11415, 1.24870099354406, 0.106315902027363, 1.13254202394897, 0, 0, 0.347394491148009, 0.576899103189352, -0.229504612041343, 151.522727272728, 151.490860215054, 154.71306557377, 154.71306557377
3/30/2017, 152.68, 152.68, 151.69, 151.72, 8051, 1.2300675470903, -0.178397055958268, 0.942628236722495, 0, 0, 0.311949058095308, 0.523909094170544, -0.211960036075235, 151.977636363637, 151.413505376344, 154.721205711264, 154.721205711264
