Date,IEI_Open,IEI_High,IEI_Low,IEI_Close,IEI_Volume,IEI_ATRPercentOfClose20,IEI_SQN25,IEI_SQN50,IEI_SQN100,IEI_SQN200,IEI_MACD,IEI_MACD_Avg,IEI_MACD_Diff,IEI_LinReg10,IEI_LinReg30,IEI_LinReg90,IEI_LinReg270
7/18/2017, 123.86, 123.93, 123.82, 123.9, 290586, 0.187861511745939, -0.0320265343649953, 0.474154345997284, 0.362718121802357, 0, -0.0741899855564583, -0.111322802697024, 0.0371328171405654, 123.791999999997, 123.384129032258, 124.112283272284, 124.017589094032
7/19/2017, 123.9, 123.93, 123.84, 123.88, 343283, 0.182129796900676, -0.0792931813312217, 0.59999325005943, 0.211224488673412, 0, -0.0460069941021857, -0.0982596409780561, 0.0522526468758704, 123.90836363636, 123.427225806451, 124.092625152626, 124.024836559822
7/20/2017, 123.95, 123.98, 123.84, 123.88, 579679, 0.178673936697231, -0.450780211244924, 0.649528701579467, 0.360329899820037, 0, -0.023402006562776, -0.0832881140950001, 0.0598861075322241, 123.971818181815, 123.461032258064, 124.068175824176, 124.0318611198
7/21/2017, 124.01, 124.1, 123.97, 124.03, 572534, 0.178403780651054, -0.034792860687268, 0.807091214892758, 0.487068509676018, 0, 0.00654095525939624, -0.0653223002241208, 0.071863255483517, 124.037272727269, 123.508086021505, 124.050048840049, 124.042940390545
7/24/2017, 123.97, 124.01, 123.88, 123.91, 1392229, 0.175700507371825, -0.299674263611026, 0.620616620202478, 0.808508359526525, 0, 0.0203533503593007, -0.0481871701074365, 0.0685405204667373, 124.036545454542, 123.53511827957, 124.039264957265, 124.050313069909
7/25/2017, 123.73, 123.74, 123.56, 123.56, 183837, 0.181551451724026, -0.450786477401115, 0.0450728759023584, 0.724055750377731, 0, 0.00302285249898659, -0.0379451655861519, 0.0409680180851385, 123.901818181815, 123.517268817204, 124.007216117217, 124.047640595345
7/26/2017, 123.56, 123.93, 123.56, 123.87, 306100, 0.186977254430206, -0.210305165492604, 0.323929341511913, 0.822514461326643, 0, 0.0141397233776672, -0.0275281877933881, 0.0416679111710553, 123.906727272724, 123.542473118279, 123.991958485959, 124.053635378706
7/27/2017, 123.77, 123.85, 123.71, 123.78, 230945, 0.18422062434122, -0.344394169770754, 0.199257213933281, 0.765657216967634, 0, 0.0155088988709196, -0.0189207704605265, 0.0344296693314461, 123.846181818178, 123.576107526881, 123.975474969475, 124.056955128205
7/28/2017, 123.77, 123.94, 123.75, 123.92, 234243, 0.182478110368854, -0.251504391150131, -0.122197862170094, 0.920227499544618, 0, 0.0275729662930502, -0.0096220231098112, 0.0371949894028614, 123.847636363633, 123.618473118279, 123.969787545788, 124.064005747126
7/31/2017, 123.88, 123.93, 123.84, 123.88, 359288, 0.177042727357628, -0.329323212903106, -0.0632556704243608, 1.00858224157063, 0, 0.0335197659395163, -0.000993665299945692, 0.034513431239462, 123.827454545451, 123.662666666666, 123.963553113554, 124.069758148323
8/1/2017, 123.64, 123.93, 123.62, 123.93, 410138, 0.180629794333977, -0.329185947726691, -0.0207202053681666, 1.16269907634309, 0, 0.0417855518056598, 0.0075621781211754, 0.0342233736844844, 123.859090909088, 123.700946236559, 123.95768986569, 124.076692759295
8/2/2017, 123.84, 123.92, 123.78, 123.83, 192791, 0.177793570953883, -0.0907765827459431, -0.063021485569741, 1.01410455032588, 0, 0.0398081982614116, 0.0140113821492226, 0.0257968161121889, 123.850545454542, 123.734602150537, 123.946901098902, 124.080733590733
8/3/2017, 123.84, 124.07, 123.84, 124.02, 989103, 0.17832098852329, 0.0495654817977269, 0.294867589870339, 1.19057142992337, 0, 0.0529620301197724, 0.0218015117433326, 0.0311605183764398, 123.91036363636, 123.795849462365, 123.947277167278, 124.089727008888
8/4/2017, 123.89, 123.89, 123.74, 123.88, 441047, 0.180897647294361, 0.156846438447572, -0.0386329709044343, 1.08367178944434, 0, 0.0514960917738279, 0.0277404277494316, 0.0237556640243962, 123.944181818178, 123.843784946236, 123.935260073261, 124.094754362416
8/7/2017, 123.85, 123.93, 123.81, 123.91, 111912, 0.176653381643808, 0.415175941538093, -0.0039926589784082, 0.809030442255833, 0, 0.0521538769241658, 0.0326231175843785, 0.0195307593397874, 123.972545454542, 123.899268817204, 123.928644688645, 124.100422075055
8/8/2017, 123.9, 123.9, 123.76, 123.84, 277182, 0.173971774010901, 0.919009494624686, -0.0990911306502814, 0.898316109674182, 0, 0.046490843900358, 0.0353966628475744, 0.0110941810527836, 123.906727272724, 123.950946236559, 123.914754578755, 124.10408853259
8/9/2017, 124.1, 124.16, 123.95, 123.95, 267422, 0.178034943677567, 0.982400877500191, -0.134100472525371, 0.856091066549528, 0, 0.0502991132532173, 0.038377152928703, 0.0119219603245144, 123.925636363633, 123.99776344086, 123.909391941393, 124.110503095975
8/10/2017, 124.06, 124.19, 124.06, 124.18, 399614, 0.178483328276636, 1.39416698741061, 0.0642089689176128, 0.884940326936073, 0, 0.0710571691478634, 0.0449131561725351, 0.0261440129753284, 124.001636363633, 124.07817204301, 123.917423687424, 124.122692470928
8/11/2017, 124.18, 124.39, 124.16, 124.36, 226371, 0.178561086523987, 1.69090196117037, 0.361546433794505, 0.848734189020261, 0, 0.100869809302949, 0.0561044867986179, 0.0447653225043315, 124.145999999997, 124.164795698924, 123.930627594628, 124.139203183913
8/14/2017, 124.2, 124.26, 124.13, 124.17, 372946, 0.179154094258814, 1.21277637520506, -0.0383972168137242, 0.69142211381598, 0, 0.107921082252929, 0.0664678058894802, 0.0414532763634489, 124.192727272724, 124.211376344086, 123.940188034189, 124.150454094293
8/15/2017, 123.87, 124, 123.85, 123.94, 200787, 0.18342170154842, 0.727992020106282, -0.0977869460177882, 0.588955073046616, 0, 0.0938681356211077, 0.0719478718358057, 0.021920263785302, 124.154181818178, 124.198903225806, 123.936678876679, 124.155579781153
8/16/2017, 123.86, 124.2, 123.86, 124.1, 276363, 0.187724588278933, 0.663482141759651, -0.167959414667969, 0.667922299913209, 0, 0.0945518026688745, 0.0764686580024195, 0.0180831446664551, 124.15036363636, 124.205827956989, 123.932791208792, 124.164596468596
8/17/2017, 124.07, 124.33, 124.05, 124.31, 190404, 0.189299254566365, 1.02158297350226, 0.167947800843556, 0.692317599940809, 0, 0.110762062576171, 0.0833273389171698, 0.0274347236590013, 124.24236363636, 124.227849462365, 123.940588522589, 124.178648196799
8/18/2017, 124.42, 124.48, 124.19, 124.31, 231324, 0.191498679256597, 0.845613758893215, 0.263829605750564, 0.836395582230604, 0, 0.12220016293, 0.0911019037197358, 0.0310982592102638, 124.290545454542, 124.23905376344, 123.95506959707, 124.192360062893
8/21/2017, 124.35, 124.4, 124.29, 124.34, 196797, 0.186303207153516, 0.833092695139038, 0.350970870111311, 0.736619982048418, 0, 0.132162205510014, 0.0993139640777913, 0.0328482414322222, 124.331636363633, 124.254924731182, 123.975350427351, 124.20648447205
8/22/2017, 124.27, 124.27, 124.17, 124.2, 170512, 0.184031350552293, 0.380225890001712, 0.236756414123867, 0.74926703043126, 0, 0.127293011457212, 0.104909773553675, 0.0223832379035365, 124.286909090906, 124.253870967741, 123.993924297925, 124.216825396825
8/23/2017, 124.36, 124.46, 124.3, 124.45, 978499, 0.184924540391041, 0.691093465172088, 0.425116004139368, 0.773054428974348, 0, 0.141970503165624, 0.112321919476065, 0.0296485836895585, 124.330909090906, 124.293720430107, 124.021435897437, 124.233028099674
8/24/2017, 124.34, 124.4, 124.27, 124.28, 650861, 0.183160332306741, 0.474396988907312, 0.0389299418146529, 0.581224195913773, 0, 0.138290811448101, 0.117515697870472, 0.0207751135776289, 124.334909090906, 124.300322580645, 124.050395604396, 124.244719437378
8/25/2017, 124.28, 124.42, 124.24, 124.38, 202287, 0.181098309970476, 0.418279538749178, 0.281051611911394, 0.685306033019767, 0, 0.141809106410733, 0.122374379578524, 0.0194347268322085, 124.403999999996, 124.324451612903, 124.078815628816, 124.25854767184
8/28/2017, 124.38, 124.48, 124.38, 124.46, 287706, 0.175950163943608, 0.662572906279577, 0.272388784639839, 0.596186199239236, 0, 0.149331313502131, 0.127765766363246, 0.0215655471388853, 124.461636363633, 124.356559139784, 124.107587301588, 124.273974443227
8/29/2017, 124.8, 124.81, 124.58, 124.63, 162449, 0.180966216273773, 1.4239253244424, 0.605842620673028, 0.749043763664802, 0, 0.167084252807356, 0.135629463652068, 0.0314547891552885, 124.516181818178, 124.420473118279, 124.14537973138, 124.29310583652
8/30/2017, 124.5, 124.6, 124.5, 124.56, 166006, 0.17723288822648, 0.975795354831984, 0.4410205036154, 0.895583549094377, 0, 0.173505111205387, 0.143204593162732, 0.030300518042655, 124.540909090906, 124.469462365591, 124.175421245422, 124.310145423439
8/31/2017, 124.54, 124.68, 124.54, 124.66, 652969, 0.173851452989057, 1.25639421336699, 0.500450567005351, 0.868283029330182, 0, 0.184535640022006, 0.151470802534586, 0.0330648374874191, 124.617090909087, 124.526752688172, 124.201054945056, 124.329160326852
