Date,IGV_Open,IGV_High,IGV_Low,IGV_Close,IGV_Volume,IGV_ATRPercentOfClose20,IGV_SQN25,IGV_SQN50,IGV_SQN100,IGV_SQN200,IGV_MACD,IGV_MACD_Avg,IGV_MACD_Diff,IGV_LinReg10,IGV_LinReg30,IGV_LinReg90,IGV_LinReg270
7/19/2017, 142.21, 143.47, 142.21, 143.35, 167716, 1.23120040744826, 0.945280528323388, 1.02100035628882, 1.69331513679205, 0, 1.33162547125946, 0.846187302234236, 0.485438169025221, 143.529454545451, 140.263376344086, 142.283452991453, 142.699800063472
7/20/2017, 143.39, 143.51, 142.43, 143.42, 83416, 1.20672116502107, 1.0513554852576, 1.02553108712907, 1.74515424103113, 0, 1.47728822753584, 0.972407487294556, 0.504880740241281, 143.782181818178, 141.031913978495, 142.568134310134, 142.926641643207
7/21/2017, 142.78, 143.24, 142.5, 142.85, 74001, 1.1831610221418, 1.0366775220649, 0.810970651378507, 1.82247674949938, 0, 1.52910619068643, 1.08374722797293, 0.445358962713502, 143.807818181815, 141.708021505377, 142.800131868132, 143.130848920863
7/24/2017, 142.72, 143.61, 142.61, 143.59, 165101, 1.15303171817193, 1.1149516197687, 0.962095418215272, 1.71240932198114, 0, 1.61130993742054, 1.18925976986245, 0.422050167558089, 143.946181818179, 142.165268817205, 143.069079365079, 143.35017325228
7/25/2017, 143.69, 144.49, 143.24, 144.24, 122568, 1.13377449522804, 0.934583495753001, 1.01177425287516, 1.86592226959406, 0, 1.70920392774022, 1.29324860143801, 0.415955326302212, 144.076727272724, 142.60582795699, 143.36819047619, 143.581610228748
7/26/2017, 144.59, 145.16, 144.34, 145.15, 74213, 1.10202446801314, 1.20330900175735, 0.951873961458323, 1.93785032083768, 0, 1.83901598365745, 1.4024020778819, 0.436613905775552, 144.786181818178, 143.188795698925, 143.699282051282, 143.832026002167
7/27/2017, 145.62, 145.7, 141.17, 142.75, 343577, 1.22319375800702, 0.551783066069883, 0.657484021639953, 1.71542473487911, 0, 1.72831014731159, 1.46758369176783, 0.260726455543755, 144.340545454542, 143.371720430108, 143.905614163614, 144.009204545455
7/28/2017, 141.7, 142.98, 141.48, 142.6, 134828, 1.21585107649178, 0.31157748149116, 1.14175531307026, 1.6968145922266, 0, 1.60991315134476, 1.49604958368322, 0.113863567661537, 143.878727272724, 143.462903225807, 144.040862026862, 144.177268199234
7/31/2017, 142.88, 143.07, 141.41, 142.15, 126869, 1.21710408253494, 0.15318914152146, 1.065838193468, 1.61193206618665, 0, 1.46290794765173, 1.48942125647692, -0.0265133088251917, 143.207999999997, 143.462344086022, 144.161174603175, 144.328307982995
8/1/2017, 142.69, 142.98, 142.19, 142.63, 105405, 1.18145395825369, 0.323024433289097, 0.959357786672542, 1.66390417266335, 0, 1.36935221316116, 1.46540744781377, -0.0960552346526051, 142.775818181815, 143.620580645162, 144.288578754579, 144.488065417948
