Date,SHY_Open,SHY_High,SHY_Low,SHY_Close,SHY_Volume,SHY_ATRPercentOfClose20,SHY_SQN25,SHY_SQN50,SHY_SQN100,SHY_SQN200,SHY_MACD,SHY_MACD_Avg,SHY_MACD_Diff,SHY_LinReg10,SHY_LinReg30,SHY_LinReg90,SHY_LinReg270
4/24/2018, 83.22, 83.27, 83.21, 83.27, 1999369, 0.0724111083307714, -0.725400409659538, -1.3174669207023, -2.06520842420586, -1.29706131668846, -0.0538290559756831, -0.036832435332199, -0.0169966206434841, 83.2369090909039, 83.32858064516, 83.2783785103789, 83.4357799644666
4/25/2018, 83.23, 83.27, 83.23, 83.26, 2176421, 0.0712009289114596, -0.626786255640367, -1.21158988563267, -2.04177133995627, -1.3580294017011, -0.0556247856598588, -0.040590905397731, -0.0150338802621279, 83.235818181813, 83.3110537634395, 83.2750183150188, 83.4254596145965
4/26/2018, 83.29, 83.29, 83.25, 83.28, 2538650, 0.0700261752414716, -0.880864660656067, -1.12764878112842, -1.87520418195711, -1.37024117837587, -0.054802354094349, -0.0434331951370546, -0.0113691589572944, 83.2414545454493, 83.2966236559127, 83.272422466423, 83.4153899138995
4/27/2018, 83.27, 83.3, 83.27, 83.3, 1443706, 0.0683096144106155, -1.01364619095558, -0.64912681891552, -1.6884173228592, -1.39543851158123, -0.0519380290319731, -0.0451341619160383, -0.00680386711593481, 83.2559999999947, 83.2864301075256, 83.2703321123326, 83.4057898045651
4/30/2018, 83.28, 83.3, 83.27, 83.27, 1944705, 0.0667188823872231, -1.30215111102073, -0.649343088705085, -1.64616930800509, -1.38548434587953, -0.0514951757320432, -0.0464063646792393, -0.00508881105280394, 83.2619999999948, 83.2707311827943, 83.2674065934071, 83.3959958999593
5/1/2018, 83.17, 83.18, 83.13, 83.13, 2027792, 0.0719102281915658, -1.5230836199425, -1.16344021457012, -1.87139112158035, -1.56150091314863, -0.0617294624545224, -0.0494709842342959, -0.0122584782202265, 83.2245454545402, 83.2381720430094, 83.2579706959712, 83.3840213202135
5/2/2018, 83.15, 83.17, 83.13, 83.16, 1688925, 0.0706950746282666, -1.72667391710843, -1.00401951871228, -1.89876642852009, -1.53629813802543, -0.066651146211953, -0.0529070166298273, -0.0137441295821257, 83.1959999999947, 83.2092258064502, 83.2506398046403, 83.3726018860191
5/3/2018, 83.2, 83.23, 83.2, 83.22, 2961476, 0.0713176193917611, -1.40915084429409, -0.795574673059689, -1.75784016984913, -1.4830809342232, -0.0649612842417184, -0.0553178701522055, -0.00964341408951289, 83.1952727272674, 83.1933118279556, 83.2442661782666, 83.3623252699196
5/4/2018, 83.22, 83.24, 83.18, 83.19, 1348068, 0.0713823737407523, -1.71117704062302, -0.938047478981678, -1.82632465070103, -1.51613406696378, -0.0652901811682796, -0.0573123323554204, -0.00797784881285921, 83.1819999999946, 83.1776774193534, 83.2363540903545, 83.3508992756597
5/7/2018, 83.21, 83.22, 83.19, 83.19, 7560352, 0.0696163563880097, -1.43488798793885, -1.01429861645537, -1.73765965577886, -1.51613406696378, -0.0648038162968589, -0.0588106291437081, -0.00599318715315086, 83.17054545454, 83.1652473118265, 83.2286593406598, 83.3398704387046
5/8/2018, 83.19, 83.2, 83.18, 83.2, 9734936, 0.067329512662531, -1.20123704758033, -1.01416969800116, -1.71286213123303, -1.5531275302042, -0.0628865353714332, -0.0596258103892531, -0.00326072498218009, 83.1698181818127, 83.1534193548372, 83.2227228327233, 83.3296856635236
5/9/2018, 83.17, 83.18, 83.16, 83.16, 1009597, 0.0663988056859846, -1.16316795088854, -0.953380734379905, -2.06680030075734, -1.56386909986509, -0.0638586197133719, -0.0604723722540769, -0.00338624745929506, 83.1570909090854, 83.1421935483857, 83.2157142857148, 83.3194659013259
5/10/2018, 83.19, 83.2, 83.16, 83.16, 937867, 0.0654838678066882, -1.27207030537546, -1.03101112443941, -1.99722113686193, -1.51140903947475, -0.0638924906967873, -0.061156395942619, -0.00273609475416831, 83.1538181818126, 83.1339569892459, 83.2096410256415, 83.3096605166054
5/11/2018, 83.18, 83.18, 83.16, 83.16, 710177, 0.0634121756188556, -1.75795776291157, -1.15129713594481, -1.90653205433497, -1.58752149333574, -0.0631909082399602, -0.0615632984020872, -0.001627609837873, 83.1610909090854, 83.1301075268803, 83.2034065934071, 83.2999024190244
5/14/2018, 83.17, 83.17, 83.15, 83.16, 1024705, 0.0614440680404138, -1.70089795451521, -1.01074685076401, -1.90653205433497, -1.56523136187958, -0.0619211110644784, -0.0616348609345654, -0.00028625012991295, 83.1699999999944, 83.1241720430094, 83.1976556776562, 83.2907833811674
