Date,VNQI_Open,VNQI_High,VNQI_Low,VNQI_Close,VNQI_Volume,VNQI_ATRPercentOfClose20,VNQI_SQN25,VNQI_SQN50,VNQI_SQN100,VNQI_SQN200,VNQI_MACD,VNQI_MACD_Avg,VNQI_MACD_Diff,VNQI_LinReg10,VNQI_LinReg30,VNQI_LinReg90,VNQI_LinReg270
3/27/2018, 60.47, 60.63, 59.73, 59.87, 494689, 1.1359552211218, -0.120449590695681, -0.593109528749649, 0.0846943994231516, 0.348048694055759, -0.123183087622621, -0.0799005940475174, -0.0432824935751038, 59.8743636363587, 60.5543010752679, 60.8441074481081, 62.7383804838046
3/28/2018, 60.06, 60.49, 59.94, 60.18, 214882, 1.12511062037444, 0.110130095601486, -0.511721446714733, 0.151646458293598, 0.401240532882275, -0.126872585885067, -0.0892949924150273, -0.0375775934700399, 59.815090909086, 60.4705376344077, 60.7791916971923, 62.7193527401938
3/29/2018, 60.64, 61.12, 60.42, 60.92, 273827, 1.1330219841994, 0.368633377474341, -0.422046754600552, 0.207373966181343, 0.401339157791527, -0.0692860379609357, -0.085293201524209, 0.0160071635632733, 60.0918181818133, 60.5202150537625, 60.7579169719176, 62.7116758234247
4/2/2018, 60.72, 60.89, 59.86, 60.22, 289697, 1.1768932964722, -0.177533769904604, -0.504445620287636, 0.106019671436778, 0.325869440366939, -0.0792192435706767, -0.0840784099335025, 0.00485916636282588, 60.1316363636314, 60.5116344086012, 60.6994065934072, 62.6926046193793
4/3/2018, 60.45, 60.6, 60.16, 60.55, 317149, 1.14828882903184, -0.273074150622667, -0.554944209757955, 0.17691068684633, 0.389907901274672, -0.0597740998909018, -0.0792175479249824, 0.0194434480340806, 60.2709090909041, 60.5636129032248, 60.6578876678882, 62.6769227825609
4/4/2018, 60.11, 61.04, 60.01, 61.02, 319095, 1.16687060255628, 0.594467528840591, -0.543778058509009, 0.251900218816389, 0.424374612278713, -0.00636523689517787, -0.0646470857190215, 0.0582818488238436, 60.6050909090859, 60.6461290322571, 60.6482222222228, 62.6655457154569
4/5/2018, 61.03, 61.08, 60.77, 60.93, 314128, 1.13560351156384, 0.776070246190952, -0.639030697160142, 0.186543767462426, 0.419155582013732, 0.0283723650176597, -0.0460431955716853, 0.074415560589345, 60.9345454545405, 60.6928602150528, 60.6375311355317, 62.6518668853353
4/6/2018, 60.89, 61.07, 60.39, 60.56, 401892, 1.14155723021145, 0.670783271051909, -0.766882355441259, 0.132151376133915, 0.458223115520301, 0.0257494335816446, -0.0316846697410193, 0.0574341033226639, 60.9627272727222, 60.6883225806442, 60.6157509157514, 62.6337660243267
4/9/2018, 61.09, 61.4, 60.96, 61.02, 466109, 1.14513389984473, 0.699659218821031, -0.645530560058087, 0.226461739801513, 0.514756742895548, 0.0600961461764342, -0.0133285065575286, 0.0734246527339628, 60.9834545454495, 60.7904086021496, 60.6060537240543, 62.6243362033618
4/10/2018, 61.57, 61.73, 61.41, 61.64, 881706, 1.13452736924236, 0.863357993105569, -0.66641984182027, 0.371437025168238, 0.592896976318658, 0.135779796828459, 0.0164931541196689, 0.11928664270879, 61.3076363636313, 61.0081505376334, 60.6288253968259, 62.6203700970341
4/11/2018, 61.52, 61.87, 61.44, 61.64, 447914, 1.1126809488659, 0.800080001912401, -0.456567536522754, 0.373206499889398, 0.575480861262847, 0.193528756207357, 0.0519002745372065, 0.14162848167015, 61.4712727272677, 61.118623655913, 60.6415897435903, 62.6224274976081
4/12/2018, 61.53, 61.7, 61.46, 61.6, 312987, 1.07721381499496, 0.693006707289312, -0.396345687183574, 0.410974173710536, 0.564163991949076, 0.233377328299575, 0.0881956852896802, 0.145181643009895, 61.5865454545404, 61.1825591397839, 60.6558461538467, 62.6258463851303
4/13/2018, 61.64, 61.71, 61.42, 61.56, 292271, 1.04757232705499, 0.539342806068794, -0.433951448222929, 0.311236093138737, 0.601746951523848, 0.258747265656162, 0.122306001362976, 0.136441264293185, 61.7585454545403, 61.2160430107516, 60.6679853479859, 62.6282891895583
