Date,MDY_Open,MDY_High,MDY_Low,MDY_Close,MDY_Volume,MDY_ATRPercentOfClose20,MDY_SQN25,MDY_SQN50,MDY_SQN100,MDY_SQN200,MDY_MACD,MDY_MACD_Avg,MDY_MACD_Diff,MDY_LinReg10,MDY_LinReg30,MDY_LinReg90,MDY_LinReg270
8/15/2017, 315.74, 315.74, 313.52, 313.63, 1007231, 0.891354333699306, -0.427041916322482, -0.254485286515553, 0.309711810478194, 0, -1.63394884958564, -0.689856299333438, -0.944092550252198, 312.574363636355, 317.124279569893, 320.938163614163, 320.587121509064
8/16/2017, 314.24, 315.66, 314.14, 314.42, 984937, 0.876940673920895, -0.563320716328418, -0.112624499868136, 0.363823255587957, 0, -1.6680239140839, -0.885489822283531, -0.782534091800372, 312.558181818173, 316.457397849463, 320.698188034188, 320.515144723051
8/17/2017, 313.46, 314.53, 308.96, 309, 1833884, 0.937835929966011, -1.03785828147476, -0.462382331491302, 0.115163335156536, 0, -2.10807675476963, -1.13000720878075, -0.978069545988876, 310.740181818172, 314.871139784947, 320.236336996337, 320.308566993074
8/18/2017, 307.99, 309.95, 307.29, 308.38, 769918, 0.935863990017259, -1.20004842219222, -0.70694677966187, -0.0278576566926168, 0, -2.47828252163424, -1.39966227135145, -1.07862025028279, 309.384181818172, 313.452344086022, 319.789665445665, 320.090797169811
8/21/2017, 307.89, 308.85, 307.28, 308.35, 1042897, 0.914615373372617, -1.27841718488991, -0.791040352684662, -0.0806045906732373, 0, -2.74248040140986, -1.66822589736313, -1.07425450404673, 308.613454545445, 312.044666666667, 319.259543345543, 319.876768633541
8/22/2017, 308.79, 311.48, 308.73, 311.22, 1071379, 0.911157919993812, -0.855841953935388, -0.597041485927682, -0.019597453746661, 0, -2.68927383540603, -1.87243548497171, -0.816838350434316, 309.256363636354, 311.095010752689, 318.778610500611, 319.73776857603
8/23/2017, 309.45, 311.33, 309.11, 310.48, 649203, 0.903414195656565, -1.29389495357543, -0.794844165336523, -0.0600541498713772, 0, -2.67597212317617, -2.0331428126126, -0.642829310563564, 309.589090909081, 310.227634408603, 318.344881562882, 319.58342043475
8/24/2017, 311.7, 311.73, 310.06, 310.14, 1290348, 0.88610768521983, -1.29437289904656, -0.725574313486372, 0.00467476937138521, 0, -2.66217765207676, -2.15894978050543, -0.503227871571329, 309.114727272717, 309.40030107527, 317.894256410257, 319.423877001347
8/25/2017, 310.87, 312.45, 310.87, 311.62, 634217, 0.874868640072441, -1.05047125550409, -0.517896954161375, 0.0985318486549471, 0, -2.50296913310046, -2.22775365102444, -0.275215482076024, 309.329454545444, 308.89165591398, 317.520947496948, 319.303272727273
8/28/2017, 312.18, 312.47, 310.45, 311.46, 594998, 0.863980085206465, -1.12337119507844, -0.493940491984068, 0.207392135457612, 0, -2.36247278195845, -2.25469747721124, -0.107775304747204, 310.208363636353, 308.473118279571, 317.207511599512, 319.181161007667
8/29/2017, 309.69, 311.54, 309.28, 311.17, 661168, 0.857860576120723, -1.49750979726117, -0.650955505709581, 0.064232045803111, 0, -2.24860842955991, -2.25347966768098, 0.00487123812106649, 310.863999999989, 308.013935483873, 316.864854700855, 319.054483082029
8/30/2017, 310.84, 313.29, 310.38, 313.06, 648867, 0.856524154149081, -1.01060706784767, -0.280993941878104, 0.178185960677843, 0, -1.98300406879679, -2.19938454790414, 0.21638047910735, 312.464727272716, 308.07701075269, 316.689457875458, 318.975115483319
8/31/2017, 313.98, 315.82, 313.81, 315.58, 889181, 0.850929333649204, -0.636493106369312, 0.0268974477619176, 0.258568036634058, 0, -1.55128550616138, -2.06976473955559, 0.518479233394208, 313.926181818171, 308.508043010754, 316.668910866911, 318.956671597633
