Date,IXN_Open,IXN_High,IXN_Low,IXN_Close,IXN_Volume,IXN_ATRPercentOfClose20,IXN_SQN25,IXN_SQN50,IXN_SQN100,IXN_SQN200,IXN_MACD,IXN_MACD_Avg,IXN_MACD_Diff,IXN_LinReg10,IXN_LinReg30,IXN_LinReg90,IXN_LinReg270
1/30/2018, 163.99, 164.35, 163.1, 163.64, 34020, 0.988523186644718, 1.50856842540979, 1.14749586865288, 2.18592601062835, 1.97880192975055, 2.55637386080693, 2.50159663063863, 0.0547772301683018, 165.555454545449, 166.234709677417, 163.717719169719, 160.792368183682
1/31/2018, 164.83, 164.98, 163.68, 164.59, 204469, 0.974383848043104, 1.6429542014984, 1.00044300259692, 2.19383503962949, 1.97076885633722, 2.43263292394764, 2.48780388930043, -0.0551709653527923, 165.184363636358, 166.568301075267, 163.953421245421, 161.011546262129
2/1/2018, 164.07, 165.67, 164.07, 164.41, 33333, 0.975336936147094, 1.87124353272496, 1.07792452266557, 2.27234318688296, 1.98048565942288, 2.29360360961118, 2.44896383336258, -0.155360223751398, 164.729999999994, 166.910021505374, 164.16176068376, 161.227843378434
2/2/2018, 162.42, 162.78, 159.45, 159.45, 82734, 1.11092749067637, 0.757525523070843, 0.431024422160599, 1.53476014548652, 1.72100318932022, 1.76287006009278, 2.31174507870862, -0.54887501861584, 162.599090909085, 166.515440860213, 164.098061050061, 161.372749214159
2/5/2018, 157.99, 160.5, 153.18, 153.23, 101107, 1.33707837217862, -0.070139040184049, -0.331932938095878, 0.913821621397441, 1.31713638826151, 0.830781153090101, 2.01555229358492, -1.18477114049482, 158.798363636357, 165.313935483869, 163.747167277167, 161.424766160995
2/6/2018, 151.29, 157.53, 150.48, 157.35, 118405, 1.46098819841425, 0.382159795577024, 0.0528055679268971, 1.19841395939994, 1.44365023396801, 0.419705443579829, 1.6963829235839, -1.27667748000407, 157.350909090903, 164.575569892471, 163.598698412698, 161.533955446221
2/7/2018, 156.58, 157.86, 154.97, 155.08, 65810, 1.5014326049101, -0.0338908218228234, -0.189920104260063, 1.05054464577903, 1.27551615266612, -0.0882280090972074, 1.33946073704768, -1.42768874614489, 155.327454545448, 163.536967741933, 163.338268620268, 161.611611862785
2/8/2018, 155.43, 155.68, 148.76, 148.86, 157315, 1.71839352378736, -0.680569310037195, -0.553594597334904, 0.516189933954748, 0.940263965802927, -0.981358457672115, 0.875296898103719, -1.85665535577583, 151.56563636363, 161.628774193546, 162.823072039072, 161.593121771218
2/9/2018, 151.22, 152.97, 146.24, 152.15, 66692, 1.8183375415934, -0.462384360647213, -0.335788809016018, 0.687979961388788, 1.06996604094583, -1.40747082099807, 0.418743354283361, -1.82621417528143, 150.283454545448, 160.186881720428, 162.454932844932, 161.621462347957
2/12/2018, 153.75, 155.85, 153.24, 155.04, 36011, 1.81454498262232, -0.353383853548995, 0.155253457867464, 0.837657015958895, 1.12955869743592, -1.49473867464661, 0.0360469484973663, -1.53078562314398, 150.528545454539, 159.149118279568, 162.21533089133, 161.685669810032
2/13/2018, 154.36, 155.96, 154.23, 155.84, 26434, 1.77047421329875, -0.321365098685102, 0.165396277409109, 0.923602954954884, 1.13143087350118, -1.48225920186817, -0.267614281575742, -1.21464492029243, 151.248545454539, 158.170236559137, 161.995758241758, 161.75978734454
2/14/2018, 154.99, 159.32, 154.46, 159.24, 69354, 1.7986383215929, -0.0128511661060284, 0.465889329229049, 1.15066108691837, 1.1910370312701, -1.18436492317434, -0.450964409895462, -0.733400513278881, 153.758545454539, 157.752021505374, 161.947296703296, 161.878664479978
2/15/2018, 160.88, 162.25, 159.01, 162.25, 48715, 1.77685305401498, 0.266654382591225, 0.851072040406734, 1.31788322905981, 1.25958552491014, -0.69736097350625, -0.50024372261762, -0.19711725088863, 157.564181818175, 157.804258064514, 162.022351648351, 162.042478338117
2/16/2018, 161.64, 163.55, 161.32, 161.93, 47942, 1.76020309771651, 0.201825543833941, 0.836593461537373, 1.42318198968799, 1.25636439199064, -0.33338510441007, -0.46687199897611, 0.13348689456604, 160.385090909084, 157.853720430105, 162.080808302808, 162.199673910073
2/20/2018, 160.61, 162.65, 160.61, 161.55, 70886, 1.73926464396516, 0.0994662924466472, 0.77214208270773, 1.40331906940015, 1.23884054108639, -0.0747329550679581, -0.388444190194479, 0.313711235126521, 161.695454545447, 157.946172043008, 162.114178266178, 162.355490501572
2/21/2018, 162.28, 163.56, 160.54, 160.84, 30720, 1.7534773257333, 0.0619275394449127, 0.638242156823047, 1.26858662061917, 1.18915998087496, 0.0721282212550136, -0.296329707904581, 0.368457929159594, 163.13072727272, 157.96716129032, 162.130224664224, 162.508002460025
2/22/2018, 161.32, 162.23, 160.49, 160.67, 155415, 1.72171424919024, -0.141929572972754, 0.560265890949681, 1.26121289058889, 1.16986462724046, 0.172807168844145, -0.202502332554836, 0.37530950139898, 163.862909090902, 157.925096774191, 162.123477411477, 162.653715457155
2/23/2018, 162.01, 164.06, 161.91, 164.06, 30803, 1.70514712298261, 0.0825623888752065, 0.688817455328047, 1.35698835287108, 1.24272871574187, 0.520144724147968, -0.0579729212142749, 0.578117645362243, 164.217272727265, 158.249569892471, 162.274632478632, 162.846270056034
2/26/2018, 164.48, 166.36, 164.13, 166.36, 39358, 1.66662127402441, 0.208885906446935, 0.87132887072585, 1.45299003689551, 1.30354829819306, 0.969823495691998, 0.14758636216698, 0.822237133525018, 165.195090909083, 158.873333333331, 162.523123321123, 163.06340932076
2/27/2018, 166.13, 166.8, 164.21, 164.21, 87319, 1.68288264654628, -0.0151113053000831, 0.708323196775639, 1.29787267134043, 1.2305165762208, 1.13957383242089, 0.345983856217762, 0.793589976203131, 165.233090909083, 159.252064516127, 162.657943833943, 163.240731173979
2/28/2018, 164.95, 165.73, 163.17, 163.25, 201473, 1.68654732875894, -0.175068082379132, 0.658809832686291, 1.26057784167027, 1.18173837786848, 1.18300131752281, 0.513387348478772, 0.669613969044037, 164.599272727265, 159.474795698922, 162.746273504273, 163.405381167145
3/1/2018, 163.38, 163.7, 159.28, 160.26, 46267, 1.77001378290841, -0.277071906934215, 0.380923397828539, 0.992068322730978, 1.0417632576113, 0.965025685422887, 0.603715015867595, 0.361310669555292, 163.208363636355, 159.478322580643, 162.685010989011, 163.523739237393
3/2/2018, 158.77, 162.1, 158.02, 161.78, 100600, 1.79181164795684, -0.128015699820077, 0.386721782121443, 1.06565794126863, 1.06530151893559, 0.904503173829823, 0.663872647460041, 0.240630526369783, 162.888909090901, 159.711333333331, 162.698578754578, 163.666661746618
3/5/2018, 160.98, 163.75, 160.38, 163.35, 74484, 1.78901330876115, -0.188195097590467, 0.539100822575767, 1.12000995631689, 1.25986356848469, 0.972019688406988, 0.72550205564943, 0.246517632757558, 163.073454545446, 160.183376344083, 162.761753357753, 163.82949132158
3/6/2018, 164.67, 165.25, 163.67, 164.11, 28960, 1.74957990242415, -0.0470232745734171, 0.579476146902381, 1.14973393947575, 1.26309381756232, 1.07446687574344, 0.795295019668232, 0.279171856075207, 163.367090909082, 160.833655913976, 162.859018315018, 164.001652043187
3/7/2018, 163.08, 165.37, 163.08, 165.19, 35350, 1.72054833765655, 0.149918126053515, 0.722321906229749, 1.13795535265259, 1.26297312898933, 1.22864097549999, 0.881964210834583, 0.346676764665402, 163.752181818173, 161.721419354836, 162.983103785103, 164.187372967063
3/8/2018, 165.83, 166.09, 165.07, 165.85, 20958, 1.65876702383245, 0.130014391993197, 0.757503146845576, 1.18613875536673, 1.23564562139586, 1.38808061518958, 0.983187491705582, 0.404893123483997, 164.093999999991, 162.604172043008, 163.120573870573, 164.380616372831
3/9/2018, 167.13, 169.24, 167.07, 169.24, 41110, 1.64441730889554, 0.3602906360481, 1.02860450843492, 1.29443345567451, 1.33042018630327, 1.76760647973055, 1.14007128931057, 0.627535190419971, 166.002363636355, 163.867290322578, 163.478412698412, 164.620900915676
3/12/2018, 169.74, 170.32, 169.22, 169.83, 66640, 1.58915460218811, 0.773064574746439, 1.04519362817843, 1.29982505985991, 1.32366831684161, 2.09187766727996, 1.33043256490445, 0.761445102375508, 168.291999999991, 165.339311827954, 163.862119658119, 164.871152658194
3/13/2018, 170.76, 171.45, 167.69, 167.95, 47031, 1.63853420532972, 1.23349903694736, 0.900319849497596, 1.21161512752926, 1.22684794679222, 2.17212571829694, 1.49877119558295, 0.67335452271399, 169.3129090909, 166.462365591395, 164.171726495726, 165.091660516606
3/14/2018, 169.09, 169.21, 167.53, 168.39, 102580, 1.6024243054568, 0.964349992757711, 0.963968047472573, 1.21309994863061, 1.23339212442041, 2.24534426860035, 1.64808581018643, 0.597258458413919, 170.089818181809, 167.501440860212, 164.501829059828, 165.31915293153
3/15/2018, 168.63, 169.46, 167.96, 168.61, 24890, 1.56479815761863, 1.21434193809975, 0.843738244691899, 1.24457428220215, 1.23825442603524, 2.29467111834117, 1.77740287181738, 0.517268246523793, 170.064363636354, 168.601118279567, 164.831557997557, 165.548402624027
3/16/2018, 168.57, 168.86, 167.97, 168.09, 16914, 1.51763095061142, 2.19982497860661, 0.707959637420326, 1.1696489695164, 1.23405345615304, 2.26568593089206, 1.87505948363231, 0.390626447259747, 169.707818181809, 169.596881720427, 165.147323565323, 165.766220855542
3/19/2018, 166.59, 166.59, 163.42, 164.69, 42958, 1.61329562914481, 1.38732042168662, 0.429060624402212, 1.00030983100164, 1.09922831172084, 1.94593188453288, 1.88923396381243, 0.0566979207204541, 168.146545454536, 169.806838709675, 165.322713064712, 165.935555555556
3/20/2018, 164.6, 165.5, 164.3, 165, 25929, 1.56611499579192, 1.13822512418042, 0.343471065007449, 0.984160249599049, 1.05544658607242, 1.69796581533942, 1.85098033411783, -0.15301451877841, 166.771272727263, 169.607655913976, 165.508100122099, 166.10629465628
3/21/2018, 164.7, 165.95, 164, 164.39, 25649, 1.55264021893292, 0.975986076034489, 0.281259703253271, 0.974720817170055, 1.03435060932416, 1.43567939856004, 1.76792014700627, -0.332240748446228, 165.352727272717, 169.52980645161, 165.677152625152, 166.264196801968
3/22/2018, 161.86, 162.56, 159.41, 159.41, 45150, 1.67728874795097, 0.0481328876850236, 0.0174729217959951, 0.697766987565262, 0.864590457666159, 0.816558366626765, 1.57764779093037, -0.761089424303603, 162.389454545444, 168.623333333331, 165.588979242978, 166.344704933716
3/23/2018, 159.41, 160.18, 155.38, 155.52, 60692, 1.78760139753936, -0.644760588664865, -0.157318358267321, 0.280396954909676, 0.71782259094956, 0.0118731323015311, 1.2644928592046, -1.25261972690307, 159.111636363626, 166.78068817204, 165.321990231989, 166.363910892443
3/26/2018, 158.78, 161.56, 156.85, 161.43, 59276, 1.82312693351951, -0.00523403311991668, 0.151083881157488, 0.537653146034538, 0.858102759751991, -0.147260577010854, 0.98214217196151, -1.12940274897236, 158.741818181808, 165.86427956989, 165.317235653235, 166.464432144322
3/27/2018, 162.09, 162.09, 155.33, 156.25, 116862, 2.00570887573857, -0.376250812405404, -0.180552744667701, 0.227232722327027, 0.805037386289529, -0.683479174597323, 0.649017902649743, -1.33249707724707, 156.664727272717, 164.423419354836, 165.073553113552, 166.498142954763
3/28/2018, 155.88, 157.16, 154.13, 155.12, 50805, 2.01697016014985, -0.410855901849483, -0.231681447274473, 0.144034444217139, 0.825526157028885, -1.18594697413548, 0.282024927292699, -1.46797190142818, 154.923454545444, 162.884709677417, 164.753299145298, 166.506241629083
