Date,XBI_Open,XBI_High,XBI_Low,XBI_Close,XBI_Volume,XBI_ATRPercentOfClose20,XBI_SQN25,XBI_SQN50,XBI_SQN100,XBI_SQN200,XBI_MACD,XBI_MACD_Avg,XBI_MACD_Diff,XBI_LinReg10,XBI_LinReg30,XBI_LinReg90,XBI_LinReg270
6/13/2017, 71.49, 72.08, 71.09, 72.07, 2897786, 1.91052549007314, 0.884688666681243, 0.487835046822127, 0.97783924279412, 0, 0.543827650003792, 0.292673547590345, 0.251154102413447, 72.1921818181809, 70.5413548387094, 70.3575726495726, 71.609399494311
6/14/2017, 72.1, 73.08, 71.85, 72.54, 4681667, 1.88802031246336, 0.751094682644762, 0.744764544495397, 1.08066321233204, 0, 0.646741358188237, 0.363487109709923, 0.283254248478314, 72.2385454545445, 70.9306021505373, 70.4231501831501, 71.7013646949231
6/15/2017, 72.01, 72.43, 70.89, 71.55, 5293544, 1.93374065398725, 0.554471820912666, 0.571871026862967, 1.07141735067273, 0, 0.641027125475901, 0.418995112863119, 0.222032012612782, 72.0534545454536, 71.1556559139781, 70.4382026862026, 71.7559893211289
6/16/2017, 71.29, 71.67, 70.71, 71.6, 2637673, 1.90280986875906, 0.58840262368103, 0.844354495817799, 1.06714365781651, 0, 0.633233614086166, 0.461842813107728, 0.171390800978437, 72.0821818181809, 71.3961505376341, 70.4390573870573, 71.8104242878561
6/19/2017, 72.3, 74.55, 72.27, 74.16, 4489169, 1.944162989118, 0.836795823396318, 1.1925777209797, 1.25042862701315, 0, 0.824127773378123, 0.534299805161807, 0.289827968216316, 72.8799999999991, 71.9177849462363, 70.5598803418803, 71.9501193633952
6/20/2017, 74.33, 76.6, 74.09, 74.98, 7399118, 1.99413404787065, 0.944707142825407, 1.23131339471587, 1.34332841522165, 0, 1.02971006030626, 0.633381856190697, 0.39632820411556, 73.7701818181809, 72.3909247311825, 70.7367106227106, 72.1130972041141
6/21/2017, 75.87, 78.55, 75.49, 78.51, 8974192, 2.03660886974748, 1.29229876027157, 1.57395814245784, 1.51604581004657, 0, 1.46063965763962, 0.798833416480482, 0.661806241159136, 75.6781818181809, 73.3418709677416, 71.0549377289377, 72.3891810283435
6/22/2017, 79.16, 80.25, 78.23, 79.2, 9662757, 2.04544765461718, 1.92313937848694, 1.68933724583307, 1.70601436380379, 0, 1.83665983039211, 1.00639869926281, 0.830261131129301, 77.5636363636354, 74.3106021505373, 71.3998217338217, 72.6798613445378
6/23/2017, 78.86, 80.48, 78.11, 80.31, 7132986, 2.06387101896895, 1.85935988357442, 1.77137986046695, 1.57099106171028, 0, 2.19887894203131, 1.24489474781651, 0.953984194214806, 79.36509090909, 75.3489247311825, 71.8067179487179, 72.99841184573
6/26/2017, 80.73, 80.89, 79.18, 80.1, 4361118, 2.07255939396663, 2.03340973706878, 1.60352748676219, 1.54526828622536, 0, 2.44085825807876, 1.48408744986896, 0.956770808209803, 80.5872727272719, 76.3508817204298, 72.2202979242978, 73.300695027774
6/27/2017, 79.85, 80.21, 77.2, 77.27, 5598290, 2.2358147674892, 1.28349606052337, 1.12779014231916, 1.23869875586403, 0, 2.37687215802387, 1.66264439149994, 0.71422776652393, 80.5116363636355, 76.9421290322577, 72.4927887667886, 73.5024390243902
6/28/2017, 77.99, 79.53, 76.97, 79.24, 6997882, 2.23275286130358, 1.53563138873172, 1.47810287972499, 1.30838270203309, 0, 2.45680473310311, 1.82147645982058, 0.635328273282536, 80.9269090909082, 77.7679139784943, 72.861995115995, 73.7614857067925
