Date,IXG_Open,IXG_High,IXG_Low,IXG_Close,IXG_Volume,IXG_ATRPercentOfClose20,IXG_SQN25,IXG_SQN50,IXG_SQN100,IXG_SQN200,IXG_MACD,IXG_MACD_Avg,IXG_MACD_Diff,IXG_LinReg10,IXG_LinReg30,IXG_LinReg90,IXG_LinReg270
6/9/2017, 62.25, 62.8, 62.25, 62.69, 22848, 0.862287475139611, 0.337702498053991, 0.560445914297525, 0.977675726952973, 0, 0.210626519806304, 0.150035495991817, 0.0605910238144874, 62.1685454545472, 61.7645161290324, 61.6684566544566, 61.9827518427519
6/12/2017, 62.69, 62.79, 62.34, 62.6, 340465, 0.856293318301551, 0.149249384328553, 0.435762682423343, 0.960409742448965, 0, 0.256401031697543, 0.171308603132962, 0.0850924285645807, 62.4660000000018, 61.8441505376346, 61.6986886446886, 62.0280164092664
6/13/2017, 63.07, 63.21, 62.96, 63.17, 59072, 0.854420826965225, 0.567818760897062, 0.69916805935833, 1.10136206767276, 0, 0.334812389655667, 0.204009360437503, 0.130803029218164, 62.8647272727291, 62.0088817204302, 61.748967032967, 62.091863147914
6/14/2017, 63.04, 63.19, 62.7, 63.17, 48347, 0.850484018638967, 0.681977988919201, 0.803818606720224, 1.04753471730253, 0, 0.392430263957259, 0.241693541141454, 0.150736722815805, 63.1141818181837, 62.1635053763442, 61.8136556776557, 62.1536469492315
6/15/2017, 62.46, 62.8, 62.39, 62.74, 39461, 0.875658617860255, 0.360480527205506, 0.680707615705181, 0.958941111536492, 0, 0.398798339105724, 0.273114500734308, 0.125683838371416, 63.1865454545474, 62.2668602150539, 61.849641025641, 62.1985553012967
6/16/2017, 62.83, 62.93, 62.67, 62.88, 8203, 0.850697846697277, 0.542984719001937, 0.888298055339154, 0.89650891940238, 0, 0.410410952522838, 0.300573791092014, 0.109837161430824, 63.264000000002, 62.3987311827958, 61.8847936507936, 62.2468095952024
6/19/2017, 63.29, 63.56, 63.29, 63.42, 39608, 0.854892566545388, 0.807455192756166, 0.974208683073757, 0.79770486985278, 0, 0.457909029102936, 0.332040838694199, 0.125868190408737, 63.4465454545474, 62.6153118279571, 61.9352307692307, 62.3118965517241
6/20/2017, 62.34, 62.4, 61.89, 61.89, 22299, 0.955831672997142, -0.0940511245070118, 0.538662569846668, 0.429309958161322, 0, 0.367853003299842, 0.339203271615327, 0.028649731684515, 62.9552727272748, 62.605935483871, 61.9307716727717, 62.323304360423
6/21/2017, 61.9, 61.9, 61.47, 61.58, 109780, 0.947525188855204, -0.257497085086946, 0.478018447936422, 0.409401330424187, 0, 0.268374886180041, 0.32503759452827, -0.0566627083482291, 62.4025454545476, 62.5415483870969, 61.912586080586, 62.3238926078906
6/22/2017, 61.5, 61.59, 61.4, 61.45, 11351, 0.91751295481234, 0.343391992134005, 0.450748416223835, 0.492500197396808, 0, 0.177007416799235, 0.295431558982463, -0.118424142183228, 61.9096363636385, 62.4794408602152, 61.8994798534798, 62.3200420168067
6/23/2017, 61.45, 61.56, 61.18, 61.34, 10235, 0.9041752937652, 0.320201117149582, 0.538768653264807, 0.515570053472481, 0, 0.0946311098279509, 0.255271469151561, -0.16064035932361, 61.5147272727295, 62.3893978494625, 61.8908180708181, 62.3125771349862
6/26/2017, 61.61, 61.91, 61.45, 61.69, 68519, 0.900291893233579, 0.156540812177253, 0.838287138750512, 0.551170721965241, 0, 0.0569330788979912, 0.215603791100847, -0.158670712202856, 61.2963636363659, 62.3401505376345, 61.9097851037851, 62.316652215147
6/27/2017, 61.99, 62.29, 61.79, 61.96, 29584, 0.899968633778252, 0.198473699758345, 0.703570693930904, 0.63110991773561, 0, 0.0482872361021762, 0.182140480101113, -0.133853243998936, 61.3349090909113, 62.3633763440861, 61.9383785103785, 62.3292562974809
