Date,XLU_Open,XLU_High,XLU_Low,XLU_Close,XLU_Volume,XLU_ATRPercentOfClose20,XLU_SQN25,XLU_SQN50,XLU_SQN100,XLU_SQN200,XLU_MACD,XLU_MACD_Avg,XLU_MACD_Diff,XLU_LinReg10,XLU_LinReg30,XLU_LinReg90,XLU_LinReg270
2/14/2017, 49.46, 49.48, 48.91, 49.17, 18784269, 1.02869610789618, 0.581036173183569, 0, 0, 0, 0.199605946330919, 0.133492408921699, 0.06611353740922, 49.4349090909089, 49.0718494623656, 49.0718494623656, 49.0718494623656
2/15/2017, 48.82, 49.07, 48.65, 49.05, 18925381, 1.03265929141676, 0.600975807238599, 0, 0, 0, 0.186552838659701, 0.1441044948693, 0.0424483437904009, 49.3094545454544, 49.0972043010753, 49.0909072580645, 49.0909072580645
2/16/2017, 49.06, 49.56, 49.06, 49.54, 14001079, 1.02279655494131, 0.591076820349484, 0, 0, 0, 0.213288405713186, 0.157941277038077, 0.0553471286751091, 49.4159999999998, 49.1928602150538, 49.1660795454545, 49.1660795454545
2/17/2017, 49.67, 49.72, 49.29, 49.57, 9973464, 1.01444168378461, 0.584924597262565, 0, 0, 0, 0.234197600348097, 0.173192541700081, 0.0610050586480157, 49.5067272727271, 49.2897849462366, 49.2366844919786, 49.2366844919786
2/21/2017, 49.5, 50.2, 49.33, 50.09, 11358452, 1.04055860554887, 0.891644721152414, 0, 0, 0, 0.289392010955531, 0.196432435551171, 0.0929595754043601, 49.7205454545453, 49.4569462365591, 49.3584537815126, 49.3584537815126
2/22/2017, 50.09, 50.4, 49.89, 50.3, 16018632, 1.03509943388361, 0.732022012377852, 0, 0, 0, 0.346089717147045, 0.226363891870346, 0.119725825276699, 49.9605454545452, 49.5999569892473, 49.4910476190476, 49.4910476190476
2/23/2017, 50.52, 51, 50.41, 50.82, 15003582, 1.04215321621662, 1.02692681613302, 0, 0, 0, 0.428048436047561, 0.266700800705789, 0.161347635341772, 50.4009090909088, 49.7853333333333, 49.6661561561562, 49.6661561561562
2/24/2017, 50.99, 51.59, 50.99, 51.59, 18629698, 1.04989562174301, 1.64588991372723, 0, 0, 0, 0.548807564120068, 0.323122153388645, 0.225685410731423, 50.945818181818, 50.0838064516129, 49.904679943101, 49.904679943101
2/27/2017, 51.49, 51.53, 51.23, 51.3, 13982858, 1.0381268882931, 1.41444903158729, 0, 0, 0, 0.614031296209703, 0.381303981952856, 0.232727314256846, 51.3101818181816, 50.3284731182796, 50.0919838056681, 50.0919838056681
2/28/2017, 51.29, 51.9, 51.2, 51.77, 14410423, 1.04487374736265, 1.79654555904103, 0, 0, 0, 0.695627880653603, 0.444168761693006, 0.251459118960598, 51.7752727272725, 50.610559139785, 50.3087435897436, 50.3087435897436
3/1/2017, 51.03, 51.69, 50.98, 51.31, 29121553, 1.07851214589585, 1.5055027849708, 0, 0, 0, 0.714934288629266, 0.498321867080258, 0.216612421549008, 51.8872727272724, 50.8485806451613, 50.4620853658537, 50.4620853658537
3/2/2017, 51.13, 52, 51.06, 51.68, 17372834, 1.10819534240751, 1.67922073280213, 0, 0, 0, 0.75142866195916, 0.548943226056038, 0.202485435903122, 51.9863636363634, 51.1149032258065, 50.6367944250871, 50.6367944250871
3/3/2017, 51.68, 51.71, 51.09, 51.52, 17575040, 1.1162259031607, 1.57737082833637, 0, 0, 0, 0.758694297337748, 0.59089344031238, 0.167800857025367, 51.984727272727, 51.3148387096774, 50.7818936877076, 50.7818936877076
3/6/2017, 51.43, 51.53, 51.24, 51.42, 7616801, 1.090676013308, 1.52832909242863, 0, 0, 0, 0.747763449872672, 0.622267442224439, 0.125496007648233, 51.8465454545452, 51.4889247311828, 50.9057505285412, 50.9057505285412
3/7/2017, 51.36, 51.58, 51.32, 51.39, 17951673, 1.0620438329263, 1.49036695806902, 0, 0, 0, 0.728284712401489, 0.643470896259849, 0.0848138161416405, 51.7010909090906, 51.6246021505376, 51.0166060606061, 51.0166060606061
3/8/2017, 50.95, 51, 50.55, 50.65, 18393940, 1.10660436219898, 0.733774854535055, 0, 0, 0, 0.64569271338673, 0.643915259685225, 0.00177745370150462, 51.2710909090906, 51.6463655913979, 51.0546570048309, 51.0546570048309
3/9/2017, 50.77, 50.95, 50.5, 50.54, 12842758, 1.09808142853402, 1.22840885821064, 0, 0, 0, 0.564850631954805, 0.628102334139141, -0.0632517021843362, 50.8879999999997, 51.6395268817205, 51.0798704902868, 51.0798704902868
