Date,THD_Open,THD_High,THD_Low,THD_Close,THD_Volume,THD_ATRPercentOfClose20,THD_SQN25,THD_SQN50,THD_SQN100,THD_SQN200,THD_MACD,THD_MACD_Avg,THD_MACD_Diff,THD_LinReg10,THD_LinReg30,THD_LinReg90,THD_LinReg270
6/28/2017, 78.26, 78.8, 78.26, 78.54, 214810, 0.812519614116584, 0.184267235805447, 0.061280396431117, 0.488340727512666, 0, 0.0592200307455215, 0.171328722599327, -0.112108691853806, 78.0125454545453, 78.9212043010749, 79.2447985347985, 79.2085326514555
6/29/2017, 77.99, 78.13, 77.36, 77.58, 214208, 0.857495823254456, -0.264036498170615, 0.0395194342568914, 0.267030406787377, 0, -0.0195516337004022, 0.133152651339381, -0.152704285039784, 77.8123636363634, 78.6939784946233, 79.2067032967033, 79.1951032258064
6/30/2017, 78.05, 78.33, 77.91, 77.96, 130790, 0.858751919826535, -0.233667513735777, 0.0205103216055501, 0.423155467400816, 0, -0.0507311242640043, 0.0963758962187043, -0.147107020482709, 77.8723636363634, 78.5166021505373, 79.1922148962149, 79.1939085714286
7/3/2017, 78.42, 78.73, 77.99, 78.22, 109014, 0.862322739531998, -0.190366078567728, 0.0550499482548787, 0.353585774572729, 0, -0.0538406268507146, 0.0663325916048206, -0.120173218455535, 78.1716363636361, 78.4200430107524, 79.1820952380952, 79.200753655793
7/5/2017, 77.9, 78.78, 77.48, 78.07, 178767, 0.904039201381878, -0.228692496508297, 0.09300920982419, 0.422217319336415, 0, -0.0676290903947177, 0.0395402552049129, -0.107169345599631, 78.0843636363634, 78.3165591397846, 79.1607228327228, 79.2025959645669
7/6/2017, 77.45, 77.51, 77, 77.01, 221812, 0.940130157502779, -0.374940666104039, -0.222378683416163, 0.152467718615312, 0, -0.162219720346343, -0.000811739905338255, -0.161407980441005, 77.6572727272724, 78.0871397849458, 79.0876752136752, 79.1715043604651
7/7/2017, 77.29, 77.47, 76.86, 77.21, 160313, 0.930312812560867, -0.419286699282903, -0.134603147099876, 0.1771975699993, 0, -0.218526114521012, -0.044354614828473, -0.174171499692539, 77.3679999999998, 77.909397849462, 79.0182515262516, 79.1472379248658
7/10/2017, 77.2, 77.7, 77.19, 77.44, 138370, 0.914100976819904, -0.467371277673634, 0.0336513199280955, 0.436932025037943, 0, -0.24180290637274, -0.0838442731373265, -0.157958633235414, 77.2689090909088, 77.7883870967737, 78.9799365079365, 79.1304779800352
7/11/2017, 77.15, 77.43, 76.79, 77.29, 85291, 0.912130685246302, -0.419278613307459, -0.047702819370939, 0.355614573453395, 0, -0.269249932394743, -0.12092540498881, -0.148324527405933, 77.1921818181815, 77.6656774193544, 78.9215873015873, 79.1095003469813
7/12/2017, 77.92, 78.6, 77.92, 78.24, 216514, 0.939719473792846, -0.205362814578093, 0.18658711897695, 0.576263447123728, 0, -0.21190216153002, -0.139120756297052, -0.072781405232968, 77.4445454545452, 77.6707096774189, 78.9076532356533, 79.1174071542492
7/13/2017, 78.04, 78.44, 78.04, 78.41, 140943, 0.916304923454593, -0.067155140425229, 0.238027123697205, 0.52765026016805, 0, -0.150995478812291, -0.1414957008001, -0.00949977801219146, 77.8272727272724, 77.6607956989243, 78.8828156288157, 79.1300359106722
7/14/2017, 78.74, 79.2, 78.57, 79.14, 115381, 0.912371690620052, 0.0829668387157437, 0.50744369018459, 0.834574233108757, 0, -0.0433222034202032, -0.12186100132412, 0.0785387979039172, 78.2772727272724, 77.7640215053759, 78.8791086691087, 79.1637611940299
7/17/2017, 78.78, 78.78, 78.4, 78.65, 139017, 0.919196958879686, 0.121774668522049, 0.330573494197935, 0.649061767163553, 0, 0.00244258161256994, -0.0970002847367823, 0.0994428663493523, 78.5489090909088, 77.8256774193544, 78.8415091575092, 79.182137254902
7/18/2017, 78.47, 78.75, 77.13, 78.67, 209105, 0.975976849816868, 0.0551181164628646, 0.294089251320705, 0.705402639050084, 0, 0.0398657883292799, -0.0696270701235699, 0.10949285845285, 78.8418181818178, 77.8713548387093, 78.7937020757021, 79.2005034349506
7/19/2017, 78.82, 79.19, 78.68, 78.91, 82596, 0.957306980564419, -0.164494109893578, 0.388389278146806, 0.780021369743067, 0, 0.0878769526990197, -0.038126265559052, 0.126003218258072, 79.1630909090906, 77.970903225806, 78.7461440781441, 79.2252142177087
7/20/2017, 78.64, 78.93, 78.58, 78.88, 146081, 0.931973112886935, -0.190796718581753, 0.411280490787535, 0.806570064080359, 0, 0.122097928171613, -0.00608142681291907, 0.128179354984532, 79.2161818181815, 78.0495053763437, 78.7006373626374, 79.248323428214
7/21/2017, 78.81, 78.88, 78.61, 78.77, 185806, 0.90374936127073, -0.161852267027508, 0.363678853710109, 0.820989752395525, 0, 0.138742875585507, 0.0228834336667661, 0.115859441918741, 79.1692727272724, 78.1301935483867, 78.6463931623932, 79.267605344296
7/24/2017, 79.1, 79.49, 79.01, 79.15, 134129, 0.899923187971328, -0.0914090759920258, 0.68733914599184, 0.69333093305451, 0, 0.18051606372363, 0.0544099596781389, 0.126106104045491, 79.2145454545451, 78.21952688172, 78.6306813186814, 79.2970334346504
7/25/2017, 79.39, 79.72, 79.21, 79.23, 137530, 0.890035015922429, -0.173697115613255, 0.73644539849922, 0.838342436549683, 0, 0.217568948290847, 0.0870417574006805, 0.130527190890166, 79.1641818181815, 78.3290537634404, 78.6362857142858, 79.3278663470183
7/26/2017, 79.3, 79.82, 79, 79.63, 150407, 0.892774087604638, 0.888365306701958, 0.824667149798318, 0.878400666987762, 0, 0.276028399751866, 0.124839085870917, 0.151189313880948, 79.3361818181815, 78.5456774193544, 78.6596019536021, 79.3689796119374
7/27/2017, 79.55, 79.86, 78.89, 79.29, 198289, 0.912940100468652, 0.620908441581565, 0.663427507978452, 0.981108373590988, 0, 0.291561834375145, 0.158183635571763, 0.133378198803382, 79.3489090909087, 78.721462365591, 78.6800781440783, 79.3995687645688
7/28/2017, 79.26, 79.26, 78.92, 79.08, 156991, 0.892990257180722, 0.483442210485417, 0.668237822422195, 1.02241907543013, 0, 0.283657125497371, 0.183278333556885, 0.100378791940486, 79.3870909090906, 78.8587526881716, 78.6816849816851, 79.4235335249043
7/31/2017, 79.11, 79.18, 78.73, 79.1, 168537, 0.876571252350935, 0.346932637897223, 0.645158001183555, 1.12517464282886, 0, 0.275826859276904, 0.201788038700888, 0.0740388205760158, 79.3374545454542, 79.011462365591, 78.7028180708181, 79.4473575814833
8/1/2017, 78.86, 79.18, 78.84, 79.18, 120692, 0.853371391234036, 0.328715450115967, 0.443549673915045, 1.22725491387711, 0, 0.272930475665149, 0.216016526093741, 0.0569139495714082, 79.2949090909087, 79.198838709677, 78.7203223443225, 79.4726726306961
8/2/2017, 79.49, 79.54, 79.18, 79.47, 116151, 0.830394481188064, 0.607200199371147, 0.458984032355915, 1.36142599138621, 0, 0.290684813568575, 0.230950183588707, 0.0597346299798675, 79.3727272727268, 79.2864731182792, 78.7593504273505, 79.5050900900901
8/3/2017, 79.36, 79.5, 79.1, 79.28, 200144, 0.815992393403314, 0.350740382693129, 0.363807089404539, 1.24501637815116, 0, 0.286125564762784, 0.241985259823523, 0.0441403049392615, 79.3483636363632, 79.3539784946233, 78.7983858363859, 79.5315536005805
8/4/2017, 79.13, 79.35, 78.88, 79.33, 74139, 0.80432727973735, 0.915963107979064, 0.295074669977901, 1.25819932906541, 0, 0.283281417524478, 0.250244491363714, 0.033036926160764, 79.2974545454541, 79.4251827956986, 78.8414920634922, 79.5586201342282
8/7/2017, 79.14, 79.29, 79, 79.2, 43158, 0.786198471546537, 0.657337957333183, 0.171723178314156, 0.996910051903975, 0, 0.267454448405871, 0.253686482772145, 0.0137679656337261, 79.2470909090905, 79.4935053763438, 78.8775262515264, 79.5815196467991
