Date,IYH_Open,IYH_High,IYH_Low,IYH_Close,IYH_Volume,IYH_ATRPercentOfClose20,IYH_SQN25,IYH_SQN50,IYH_SQN100,IYH_SQN200,IYH_MACD,IYH_MACD_Avg,IYH_MACD_Diff,IYH_LinReg10,IYH_LinReg30,IYH_LinReg90,IYH_LinReg270
4/24/2017, 156.1, 156.57, 155.94, 156.2, 55717, 0.763565090481885, -0.553285829017945, 1.1036495978076, 0, 0, -0.178929181125085, -0.16366500395968, -0.0152641771654053, 155.213636363636, 154.330430107527, 158.927942057942, 158.927942057942
4/25/2017, 156.78, 157.4, 156.63, 156.99, 73171, 0.759955562625689, -0.195129255859312, 1.18513719234613, 0, 0, -0.0340192678175697, -0.137735856731258, 0.103716588913688, 155.882727272727, 154.622387096774, 158.975436546576, 158.975436546576
4/26/2017, 157.39, 158.34, 157.39, 157.81, 52757, 0.760979358645058, 0.588041538281072, 1.15064913337393, 0, 0, 0.145314929421289, -0.0811256995007482, 0.226440628922037, 156.719272727272, 154.990838709677, 159.060683544304, 159.060683544304
4/27/2017, 157.88, 158.89, 157.76, 158.21, 36722, 0.756814644828947, 0.632153520161777, 1.03302428129852, 0, 0, 0.316071751424147, -0.0016862093157692, 0.317757960739916, 157.577818181817, 155.537333333333, 159.160990740741, 159.160990740741
4/28/2017, 158.27, 158.66, 158.11, 158.6, 37862, 0.734545162108879, 1.01935717306209, 0.824619721903618, 0, 0, 0.477364740156588, 0.0941239805787023, 0.383240759577886, 158.363636363635, 156.050688172043, 159.275055706113, 159.275055706113
5/1/2017, 158.48, 159.29, 158.48, 158.97, 698749, 0.721670249575045, 1.26430404288442, 0.959130752224836, 0, 0, 0.627809506369715, 0.200861085736905, 0.42694842063281, 159.162363636363, 156.558623655914, 159.401181310608, 159.401181310608
5/2/2017, 159.02, 159.47, 158.37, 159.31, 116876, 0.718647439559335, 1.21163206995977, 0.996657635368877, 0, 0, 0.765647320281772, 0.313818332645878, 0.451828987635894, 159.628181818181, 157.08311827957, 159.537306368331, 159.537306368331
5/3/2017, 159.05, 159.05, 158.25, 158.66, 71159, 0.718916786943071, 0.914716366582192, 0.714370135875348, 0, 0, 0.813062732089946, 0.413667212534692, 0.399395519555254, 159.673636363635, 157.412430107527, 159.636593837535, 159.636593837535
5/4/2017, 158.85, 159.62, 158.84, 159.62, 152480, 0.708934786026616, 1.17430046382217, 0.954087309888202, 0, 0, 0.917527083425853, 0.514439186712924, 0.403087896712929, 160.003272727272, 157.864494623656, 159.775411764706, 159.775411764706
5/5/2017, 159.9, 159.9, 158.83, 159.47, 55454, 0.707670170052611, 1.12866675927828, 0.741601778535557, 0, 0, 0.976950411869353, 0.60694143174421, 0.370008980125143, 159.904727272726, 158.232623655914, 159.900986367281, 159.900986367281
5/8/2017, 159.4, 159.4, 158.1, 158.27, 83920, 0.720664395762782, 0.797629631396809, 0.344277526013548, 0, 0, 0.916647316924838, 0.668882608780336, 0.247764708144502, 159.428545454544, 158.404301075269, 159.966541274817, 159.966541274817
5/9/2017, 158.42, 158.77, 158.2, 158.47, 30074, 0.701751601069646, 0.817932946406583, 0.21868893769149, 0, 0, 0.874909595051804, 0.710088006034629, 0.164821589017175, 159.066545454544, 158.616301075269, 160.037671092952, 160.037671092952
5/10/2017, 158.17, 158.17, 157.39, 158.1, 27568, 0.702379806517593, 0.756312051458155, 0.230740923408227, 0, 0, 0.802722951475459, 0.728614995122795, 0.0741079563526641, 158.659999999999, 158.771569892473, 160.088913857678, 160.088913857678
5/11/2017, 157.83, 158.07, 157.28, 158.07, 28881, 0.693325330802239, 0.938123647690498, -0.118118749105913, 0, 0, 0.734625462047006, 0.729817088507638, 0.00480837353936869, 158.307272727271, 158.913612903226, 160.13611965812, 160.13611965812
5/12/2017, 158.02, 158.19, 157.68, 157.83, 23436, 0.675817260900427, 0.799949531833456, -0.0826088854260203, 0, 0, 0.653755628881726, 0.714604796582455, -0.0608491677007296, 157.957272727271, 159.011032258064, 160.125472527472, 160.17041328237
5/15/2017, 157.99, 158.96, 157.87, 158.86, 83494, 0.673429600739762, 0.974886438243153, 0.0199382491782548, 0, 0, 0.665111108551287, 0.704706058976222, -0.0395949504249349, 158.07909090909, 159.203720430108, 160.180517704518, 160.24675315568
5/16/2017, 158.97, 158.97, 157.91, 158.3, 30455, 0.67550205341025, 0.86967667404166, 0.0496334194032391, 0, 0, 0.62175587343711, 0.688116021868399, -0.0663601484312896, 158.081454545453, 159.313634408602, 160.219750915751, 160.295843056509
5/17/2017, 156.95, 157.29, 156.23, 156.23, 36619, 0.716478117532488, 0.261613438655866, -0.128928069814983, 0, 0, 0.415574354490843, 0.633607688392888, -0.218033333902045, 157.293818181817, 159.132967741935, 160.171704517704, 160.255735722284
5/18/2017, 156.01, 157.75, 156.01, 156.9, 33778, 0.733196988444842, 0.394563263464705, -0.124456492699352, 0, 0, 0.302747530763781, 0.567435656867067, -0.264688126103285, 157.062181818181, 158.99623655914, 160.166024420024, 160.244177631579
5/19/2017, 156.99, 157.6, 156.98, 157.09, 37253, 0.717974900456081, 0.507668032971671, -0.251561603536018, 0, 0, 0.226057027493141, 0.499159930992282, -0.273102903499141, 157.014545454544, 158.884602150537, 160.17474969475, 160.24016967354
5/22/2017, 157.01, 157.67, 156.9, 157.5, 24466, 0.704745036552466, 0.513625572988076, -0.289850752514796, 0, 0, 0.19610227960311, 0.438548400714447, -0.242446121111337, 156.998363636362, 158.835978494623, 160.158857142857, 160.252310119924
5/23/2017, 157.52, 158.17, 157.52, 157.96, 23788, 0.688765991986343, 1.01271873164356, -0.165224387535891, 0, 0, 0.207093832913159, 0.39225748715419, -0.185163654241031, 157.22309090909, 158.817591397849, 160.161452991453, 160.281886209029
5/24/2017, 158.18, 158.4, 157.6, 158.25, 24715, 0.678405069759587, 0.977997222123247, 0.00325586122583161, 0, 0, 0.236479308208345, 0.361101851365021, -0.124622543156676, 157.501818181817, 158.810021505376, 160.174500610501, 160.321357575758
5/25/2017, 158.46, 159.27, 158.4, 159.05, 22726, 0.673308533008374, 0.958472242824416, -0.209726627957025, 0, 0, 0.320624859414465, 0.35300645297491, -0.0323815935604445, 158.042727272726, 158.892537634408, 160.196463980464, 160.390388118812
5/26/2017, 159.06, 159.31, 158.59, 158.7, 25612, 0.663738097455783, 1.08987082392499, 0.00469481240728098, 1.66973165794033, 0, 0.354976788599743, 0.353400520099876, 0.00157626849986614, 158.361272727271, 158.889505376344, 160.193643467643, 160.442807221899
5/30/2017, 158.48, 158.79, 158.07, 158.36, 22939, 0.654638003680987, 0.633392829138397, 0.101807617014, 1.46955986544292, 0, 0.35072286658135, 0.352864989396171, -0.00214212281482118, 158.720909090908, 158.845440860215, 160.148251526252, 160.479729678279
5/31/2017, 158.81, 159.24, 158.49, 158.94, 39277, 0.647320061342488, 0.576549049655633, 0.286782057336838, 1.44097168576692, 0, 0.389660986178541, 0.360224188752645, 0.0294367974258956, 159.19618181818, 158.769720430107, 160.108774114774, 160.537042569081
6/1/2017, 159.07, 160.87, 159.07, 160.86, 144150, 0.667604115518379, 0.802889025778459, 0.994166687246078, 1.57592016831221, 0, 0.568889872060367, 0.40195732541419, 0.166932546646178, 159.885818181817, 158.934903225806, 160.12789010989, 160.664681318681
6/2/2017, 161.14, 162.08, 161.14, 161.86, 44651, 0.667992451014284, 0.934474663647092, 1.12519285805167, 1.58372687567873, 0, 0.78260036815513, 0.478085933962378, 0.304514434192752, 160.802363636362, 159.244580645161, 160.16145054945, 160.82511769991
6/5/2017, 161.84, 161.84, 161.03, 161.42, 14841, 0.662031936656632, 0.719267098276617, 1.18129434384999, 1.46305470676253, 0, 0.906019128706248, 0.563672572911152, 0.342346555795096, 161.334363636362, 159.407204301075, 160.187851037851, 160.963396226415
6/6/2017, 160.86, 161.6, 160.86, 161.08, 25481, 0.653227808879797, 0.539324721788219, 1.17485763650571, 1.67659761760525, 0, 0.965267227386363, 0.643991503806194, 0.321275723580169, 161.594727272725, 159.582129032258, 160.169931623932, 161.084122533749
6/7/2017, 161.41, 161.73, 161.17, 161.52, 26668, 0.638997267716938, 0.562002042137155, 1.16045983424986, 1.69730656062002, 0, 1.03578619669545, 0.722350442384046, 0.313435754311408, 161.903818181816, 159.834064516129, 160.185665445665, 161.216510363575
6/8/2017, 161.57, 161.98, 160.89, 161.42, 67221, 0.641186326028731, 0.711772548997838, 1.11854561845359, 1.65574844586594, 0, 1.07125506214624, 0.792131366336484, 0.279123695809751, 162.04218181818, 160.098752688172, 160.166879120879, 161.340537114262
6/9/2017, 161.51, 162.8, 161.32, 162.39, 59345, 0.651057835520537, 0.710348095291078, 1.28240253968249, 1.89085293723894, 0, 1.16421494177689, 0.866548081424566, 0.297666860352325, 162.502727272725, 160.489892473118, 160.228461538462, 161.494923832924
6/12/2017, 162.24, 162.62, 161.28, 161.98, 43629, 0.661433620290598, 0.642056754295356, 1.19966664285738, 1.84443484840373, 0, 1.1910727968519, 0.931453024510032, 0.259619772341866, 162.569454545453, 160.828043010752, 160.285687423688, 161.629388674389
