Date,FXS_Open,FXS_High,FXS_Low,FXS_Close,FXS_Volume,FXS_ATRPercentOfClose20,FXS_SQN25,FXS_SQN50,FXS_SQN100,FXS_SQN200,FXS_MACD,FXS_MACD_Avg,FXS_MACD_Diff,FXS_LinReg10,FXS_LinReg30,FXS_LinReg90,FXS_LinReg270
8/15/2017, 118.45, 118.7, 118.45, 118.7, 3802, 0.49429705600975, 1.88387926039846, 2.04027539684477, 1.9474785094745, 0, 1.24384807377405, 1.40572148069158, -0.161873406917535, 117.738545454544, 119.134774193548, 117.123711843712, 114.944729483283
8/16/2017, 118.16, 118.16, 118, 118, 2307, 0.502028877296097, 1.4982662447855, 1.7850458908554, 1.73936810342894, 0, 1.18005363414582, 1.36058791138243, -0.180534277236608, 117.867454545453, 119.135806451613, 117.361352869353, 115.094722804915
8/18/2017, 118.06, 118.08, 118.06, 118.08, 3582, 0.479991845739265, 1.60509321392671, 1.72291816428492, 1.71294632463792, 0, 1.12300609729583, 1.31307154856511, -0.190065451269281, 117.946363636362, 119.153935483871, 117.605782661783, 115.243051314882
8/21/2017, 118.78, 118.85, 118.72, 118.85, 1429, 0.485431765146385, 1.72057710369657, 1.72699342808012, 1.81820988989847, 0, 1.12693744480883, 1.27584472781385, -0.148907283005022, 118.343090909089, 119.292387096774, 117.863863247864, 115.408863636364
8/22/2017, 118.01, 118.03, 118.01, 118.03, 575, 0.499948208279805, 1.29790065965009, 1.65538146549105, 1.55181408127743, 0, 1.05176186300497, 1.23102815485208, -0.179266291847107, 118.415454545453, 119.22647311828, 118.060178266179, 115.547905172414
8/23/2017, 118.67, 118.95, 118.53, 118.95, 1882, 0.509949076688542, 1.35051566333743, 1.87378725159512, 1.55534622126036, 0, 1.05426803836656, 1.19567613155497, -0.141408093188415, 118.814909090907, 119.292344086022, 118.277875457876, 115.708503542749
8/24/2017, 119, 119, 119, 119, 164, 0.48634891208821, 1.10006303453727, 1.94065857854099, 1.57690708498278, 0, 1.04820571948044, 1.16618204914007, -0.11797632965963, 118.971090909089, 119.341053763441, 118.484752136753, 115.866404808499
8/25/2017, 118.89, 120.23, 118.1, 120.07, 6291, 0.546612347060649, 1.43418259671566, 2.21598864486449, 1.70881973935814, 0, 1.11686680047302, 1.15631899940666, -0.0394521989336372, 119.374545454544, 119.478795698925, 118.728307692308, 116.04916161059
8/28/2017, 120.16, 120.35, 120, 120.35, 1543, 0.532614518371363, 1.46223847881343, 2.28850112215614, 1.68043791112226, 0, 1.18026945024813, 1.16110908957495, 0.0191603606731812, 119.859999999998, 119.631870967742, 118.965167277168, 116.234884817704
8/29/2017, 120.67, 121.07, 120.67, 120.89, 824, 0.533502766330498, 1.36495056818888, 2.51083341040494, 1.74630776477642, 0, 1.25957044992667, 1.1808013616453, 0.0787690882813745, 120.386909090907, 119.826258064516, 119.21527960928, 116.430391946309
8/30/2017, 120.02, 120.09, 119.84, 119.89, 772, 0.554845207695464, 1.08023256363485, 2.04725866371022, 1.68379362822228, 0, 1.2275747038067, 1.19015603007758, 0.0374186737291198, 120.58418181818, 119.894494623656, 119.390021978022, 116.594729359824
8/31/2017, 120.14, 120.33, 120.14, 120.33, 616, 0.543458591814832, 1.06015884262841, 2.07401376587981, 1.71963583258818, 0, 1.22361707133314, 1.19684823832869, 0.0267688330044495, 120.728545454544, 120.047397849462, 119.572805860806, 116.766584175671
9/1/2017, 119.96, 119.96, 119.63, 119.88, 6511, 0.547419533995869, 0.918992603479428, 2.35642114733811, 1.57961802360497, 0, 1.17067457214351, 1.19161350509165, -0.0209389329481415, 120.606363636362, 120.104537634409, 119.731702075703, 116.92254127967
9/5/2017, 120.18, 120.33, 120.09, 120.09, 1936, 0.53787510241197, 0.91742639118914, 2.26899412664061, 1.72487213550729, 0, 1.13260652209871, 1.17981210849306, -0.0472055863943528, 120.612545454544, 120.172387096774, 119.91053968254, 117.080148544266
9/6/2017, 120.14, 120.33, 120.14, 120.17, 602, 0.520627028345018, 1.07601202712737, 2.46579800506649, 1.89999758446865, 0, 1.09625569631319, 1.16310082605709, -0.0668451297438972, 120.414727272725, 120.283591397849, 120.066163614164, 117.236011730205
