Date,XRT_Open,XRT_High,XRT_Low,XRT_Close,XRT_Volume,XRT_ATRPercentOfClose20,XRT_SQN25,XRT_SQN50,XRT_SQN100,XRT_SQN200,XRT_MACD,XRT_MACD_Avg,XRT_MACD_Diff,XRT_LinReg10,XRT_LinReg30,XRT_LinReg90,XRT_LinReg270
4/6/2017, 41.11, 41.86, 41.06, 41.65, 6850680, 1.73593963235016, -0.714299620128224, -0.578128666835231, 0, 0, -0.329143518650554, -0.350235212645691, 0.021091693995137, 41.5685454545456, 41.1643655913977, 41.5091858887381, 41.5091858887381
4/7/2017, 41.63, 41.75, 41.42, 41.51, 3064997, 1.69445414124343, -0.52548080622632, -0.470620469478269, 0, 0, -0.315952987487051, -0.343378767613963, 0.0274257801269115, 41.3960000000002, 41.1986021505375, 41.468160667252, 41.468160667252
4/10/2017, 41.58, 42.32, 41.58, 42.11, 4973468, 1.68297202167809, -0.0748888777158684, -0.126912072317203, 0, 0, -0.254154674040009, -0.325533948899172, 0.0713792748591629, 41.4443636363638, 41.3438924731182, 41.4640409207161, 41.4640409207161
4/11/2017, 42.04, 42.5, 41.88, 42.5, 5334912, 1.65709304096991, 0.274862437748602, -0.0532307685547071, 0, 0, -0.171729731321783, -0.294773105383694, 0.123043374061912, 41.670181818182, 41.4777204301074, 41.4825465838509, 41.4825465838509
4/12/2017, 42.33, 42.43, 42.01, 42.04, 2376078, 1.64974147310086, -0.118921492366789, -0.289907802553641, 0, 0, -0.141889907467657, -0.264196465800487, 0.12230655833283, 41.8585454545456, 41.5532903225805, 41.4746961770623, 41.4746961770623
4/13/2017, 42.04, 42.16, 41.54, 41.65, 3704556, 1.65635954268192, -0.0549984893545361, -0.284658709106633, 0, 0, -0.148005260203391, -0.240958224681068, 0.092952964477677, 41.9494545454547, 41.6148602150536, 41.4459859154929, 41.4459859154929
4/17/2017, 41.72, 42.02, 41.59, 42.02, 3824880, 1.61085212291925, -0.0270662707362492, -0.158443146284722, 0, 0, -0.121594151831644, -0.217085410111183, 0.0954912582795389, 42.1494545454547, 41.692946236559, 41.4390487062405, 41.4390487062405
4/18/2017, 42, 42.22, 41.87, 42.18, 1881404, 1.56599350153659, 0.161341690913235, -0.200762080053082, 0, 0, -0.0867524669041231, -0.191018821469771, 0.104266354565648, 42.2887272727274, 41.7705161290321, 41.4412884116993, 41.4412884116993
4/19/2017, 42.23, 42.85, 42.23, 42.43, 3588853, 1.55788181946907, 0.258422084847591, 0.000887201896916232, 0, 0, -0.0385231984634302, -0.160519696868503, 0.121996498405073, 42.4067272727275, 41.8541720430106, 41.4569189189189, 41.4569189189189
4/20/2017, 42.84, 43.46, 42.64, 43.22, 10454681, 1.57209345951109, 0.41575511003158, 0.287505488230584, 0, 0, 0.0627222192432484, -0.115871313646153, 0.178593532889401, 42.6516363636366, 42.063569892473, 41.5133754385965, 41.5133754385965
4/21/2017, 43.18, 43.22, 42.68, 42.89, 6240155, 1.56793157738554, 0.220424654647109, 0.0105240193402853, 0, 0, 0.115005982754262, -0.0696958543660697, 0.184701837120332, 42.8176363636366, 42.1896129032257, 41.5504716336295, 41.5504716336295
4/24/2017, 43.42, 43.58, 42.94, 43.15, 6182999, 1.56051346665962, 0.322865974411613, -0.126600091598342, 0, 0, 0.175399176584776, -0.0206768481759006, 0.196076024760676, 42.9778181818184, 42.3624731182794, 41.5993706293706, 41.5993706293706
4/25/2017, 43.24, 43.54, 42.94, 43.11, 5249338, 1.55345275532462, 0.603984475497386, -0.223376833048542, 0, 0, 0.217526047231644, 0.0269637309056083, 0.190562316326036, 43.1547272727275, 42.5064086021504, 41.6443005517689, 41.6443005517689
4/26/2017, 43.22, 43.81, 43.15, 43.53, 5333178, 1.54194534500212, 1.24445179272936, 0.0489379731721216, 0, 0, 0.281556774408173, 0.0778823396061213, 0.203674434802052, 43.5001818181821, 42.697698924731, 41.7083291139241, 41.7083291139241
