Date,XLI_Open,XLI_High,XLI_Low,XLI_Close,XLI_Volume,XLI_ATRPercentOfClose20,XLI_SQN25,XLI_SQN50,XLI_SQN100,XLI_SQN200,XLI_MACD,XLI_MACD_Avg,XLI_MACD_Diff,XLI_LinReg10,XLI_LinReg30,XLI_LinReg90,XLI_LinReg270
3/2/2018, 74.5, 75.35, 73.98, 75.13, 27076367, 1.79008364899248, -0.706942353711376, 0.0554049080709173, 0.503947009556548, 0.818236990986554, -0.274100806621718, -0.177160502274213, -0.0969403043475043, 76.163636363637, 75.3826666666685, 78.9670085470092, 77.0238808254749
3/5/2018, 74.66, 76.22, 74.38, 76.03, 23038366, 1.80145383823971, -0.700708730348279, 0.192438725930231, 0.654669598017358, 1.03619426492755, -0.293559600831514, -0.200440321985674, -0.0931192788458408, 75.9689090909097, 75.3667956989266, 78.9446227106233, 77.0633415334153
3/6/2018, 76.43, 76.57, 75.79, 76.37, 18536277, 1.75482923340705, -0.559665825504226, 0.20573248524548, 0.684816178181669, 1.0556893626539, -0.278337179191553, -0.216019693426849, -0.0623174857647033, 75.8043636363642, 75.4176774193567, 78.9436239316246, 77.1076159628263
3/7/2018, 75.43, 76.53, 75.24, 76.36, 13625412, 1.7517743992605, -0.464101923780779, 0.194844439770459, 0.689287668983545, 0.975653288374386, -0.264036567602489, -0.225623068261977, -0.0384134993405112, 75.6480000000006, 75.491376344088, 78.9236532356539, 77.1500472871395
3/8/2018, 76.68, 76.83, 76.02, 76.76, 10849065, 1.70827538393897, -0.435364659942479, 0.252809288634551, 0.688749286313318, 0.960677547341836, -0.217914589091379, -0.224081372427858, 0.00616678333647883, 75.7410909090915, 75.6329032258084, 78.9203345543352, 77.2009656963236
3/9/2018, 77.27, 78.45, 77.03, 78.45, 13092642, 1.69561322559079, -0.131836043914185, 0.483462533571592, 0.915258947139948, 1.07057365021355, -0.0444809638864712, -0.18816129071958, 0.143680326833109, 76.5612727272733, 76.0129032258084, 78.9882808302815, 77.2795320486538
3/12/2018, 78.58, 78.58, 77.26, 77.48, 11093605, 1.71618242992021, -0.0392564250867165, 0.312417589643091, 0.77109592232259, 0.976582917074095, 0.0145280696944354, -0.147623418636777, 0.162151488331213, 77.2183636363642, 76.3394838709697, 78.9982246642253, 77.3474973349734
3/13/2018, 77.7, 78.1, 76.95, 77.1, 11518752, 1.71298734029451, 0.55326194568534, 0.234562704096628, 0.74739424678787, 0.903485508804771, 0.0302812661501974, -0.112042481679382, 0.14232374782958, 77.6154545454551, 76.6023655913998, 78.9809670329678, 77.409094164275
3/14/2018, 77.54, 77.54, 76.04, 76.26, 11626194, 1.74361077550316, 0.122782349054339, 0.131966947995056, 0.629062291359152, 0.822016622408526, -0.0247301185770681, -0.0945800090589194, 0.0698498904818513, 77.5363636363642, 76.7361505376364, 78.9220219780227, 77.4599494328277
3/15/2018, 76.5, 76.92, 75.99, 76.48, 8362982, 1.71246561000102, 0.138401669192647, 0.0980041146213895, 0.630112289098788, 0.842048938889101, -0.0499985240633691, -0.0856637120598094, 0.0356651879964402, 77.254545454546, 76.934688172045, 78.8783101343109, 77.5133330599973
