Date,PGJ_Open,PGJ_High,PGJ_Low,PGJ_Close,PGJ_Volume,PGJ_ATRPercentOfClose20,PGJ_SQN25,PGJ_SQN50,PGJ_SQN100,PGJ_SQN200,PGJ_MACD,PGJ_MACD_Avg,PGJ_MACD_Diff,PGJ_LinReg10,PGJ_LinReg30,PGJ_LinReg90,PGJ_LinReg270
8/2/2017, 42.36, 42.36, 41, 41.57, 52899, 1.68147593462297, 1.60789868469365, 0.562651686970285, 1.99904507349146, 0, 0.962878279436417, 0.854929414815345, 0.107948864621072, 42.2938181818198, 42.0954623655917, 41.362376068376, 41.153878470307
8/3/2017, 41.64, 41.99, 41.35, 41.98, 21364, 1.6580277959067, 1.65049092476967, 0.831305757267086, 1.98287496092919, 0, 0.942093635150137, 0.872362258882304, 0.0697313762678332, 42.2670909090925, 42.312043010753, 41.4683296703296, 41.2520841647016
8/4/2017, 42.02, 42.34, 42.02, 42.28, 27786, 1.60652333322032, 2.16013364326104, 0.980498261386408, 2.05560201409391, 0, 0.939004883813027, 0.885690783868448, 0.0533140999445786, 42.2881818181835, 42.5488172043014, 41.5843223443223, 41.3557181208053
8/7/2017, 42.5, 43.31, 42.5, 43.3, 68766, 1.60918282222003, 2.50765662562643, 1.1469230373278, 2.19090041968231, 0, 1.0072515329499, 0.910002933684739, 0.0972485992651622, 42.6656363636381, 42.9149247311831, 41.7399242979242, 41.4836273730684
8/8/2017, 43.45, 43.62, 43.19, 43.43, 52556, 1.57365266847849, 2.670284506582, 1.15721008703689, 2.12921707652652, 0, 1.05961285027423, 0.939924917002637, 0.119687933271591, 42.974727272729, 43.2511182795702, 41.8928547008546, 41.6117497385848
8/9/2017, 42.73, 43.5, 42.6, 43.5, 45143, 1.59601261200965, 2.63137480953012, 1.36495724297344, 2.10591370698172, 0, 1.09414535985569, 0.970769005573249, 0.123376354282446, 43.3230909090926, 43.5224731182799, 42.0427887667887, 41.7385139318885
8/10/2017, 42.9, 43.01, 41.63, 41.78, 54510, 1.80242271879605, 1.65660531898996, 0.938837804760275, 1.65009068832557, 0, 0.971523874657635, 0.970919979390126, 0.000603895267508814, 42.8870909090927, 43.5585591397853, 42.1165714285714, 41.8176165011459
8/11/2017, 41.27, 42.08, 41.13, 42.02, 70707, 1.81556306834207, 1.64344252942405, 0.846458649999037, 1.91263984702863, 0, 0.883526712469326, 0.953441326005966, -0.06991461353664, 42.6612727272745, 43.5655698924735, 42.1851135531135, 41.9008546292417
8/14/2017, 42.51, 42.51, 42.17, 42.5, 43589, 1.76295205000346, 1.56472286040934, 0.955381113026879, 1.96123971505315, 0, 0.842804984686815, 0.931314057742136, -0.0885090730553209, 42.66981818182, 43.6021290322584, 42.2675042735042, 41.9942431761786
8/15/2017, 42.51, 42.51, 42.03, 42.03, 130247, 1.75063499925981, 1.24664855147335, 0.788033353302765, 1.83550645833193, 0, 0.763803004404927, 0.897811847074694, -0.134008842669767, 42.4932727272745, 43.5382150537638, 42.3291623931623, 42.0733651804671
8/16/2017, 42.52, 42.58, 42.17, 42.21, 24885, 1.72116156285111, 1.00428734311062, 0.794897113316192, 1.82506696808207, 0, 0.70756153262392, 0.859761784184539, -0.152200251560619, 42.2403636363654, 43.4770322580648, 42.3941611721611, 42.1550294283641
8/17/2017, 42.2, 42.25, 41.46, 41.46, 40831, 1.75995460900984, 0.712769702659943, 0.32278934874691, 1.66721340070006, 0, 0.595605262338239, 0.806930479815279, -0.21132521747704, 41.7754545454564, 43.2675913978498, 42.4248717948717, 42.2158418915691
8/18/2017, 41.54, 42.01, 41.26, 41.79, 29470, 1.74848844663964, 0.627592356734532, 0.586018732206442, 1.69806110743434, 0, 0.527427497728787, 0.751029883397981, -0.223602385669194, 41.5129090909109, 43.090107526882, 42.457199023199, 42.2833034591195
8/21/2017, 42.33, 42.81, 42.06, 42.78, 54736, 1.74183884001443, 1.01599138115056, 1.19458471160298, 1.84706023489896, 0, 0.546975659385446, 0.710219038595474, -0.163243379210029, 41.8230909090928, 43.0578064516132, 42.5263907203907, 42.373575310559
8/22/2017, 42.69, 42.74, 42.35, 42.53, 46226, 1.71502638836177, 0.644989818896656, 1.17479292885741, 1.81501865496892, 0, 0.536114809864195, 0.675398192849218, -0.139283382985024, 42.1012727272746, 42.9874838709681, 42.5757191697191, 42.4555026455026
8/23/2017, 42.42, 43, 42.41, 42.85, 39638, 1.6859525946832, 0.723298811132381, 1.24833390653593, 1.86285582033857, 0, 0.5470230923206, 0.649723172743495, -0.102700080422894, 42.5530909090928, 42.9959354838713, 42.6364249084249, 42.5432598651821
8/24/2017, 43.05, 43.11, 42.63, 42.78, 36676, 1.66037670051581, 0.717159394009916, 1.47789194892002, 1.78941494364856, 0, 0.543751540486497, 0.628528846292095, -0.0847773058055984, 42.6721818181837, 42.9730752688176, 42.6826837606837, 42.6272040999551
8/25/2017, 43.12, 43.12, 41.68, 41.81, 23974, 1.78616047561978, 0.35410198875076, 1.24680599370369, 1.69857803369451, 0, 0.457612842719186, 0.594345645577513, -0.136732802858327, 42.4496363636382, 42.8443655913982, 42.6890451770451, 42.6856873614191
8/28/2017, 41.9, 41.95, 40.91, 41.11, 62735, 1.8522354904252, -0.0112108607816653, 1.05296126519154, 1.56573859415425, 0, 0.329069841987319, 0.541290484859475, -0.212220642872155, 42.0927272727292, 42.6006666666671, 42.6678778998778, 42.7258853596203
8/29/2017, 40.42, 41.44, 40.42, 41.32, 43688, 1.8741077192839, 0.0603213574938929, 0.850945034719844, 1.54284578136297, 0, 0.24136156686135, 0.48130470125985, -0.2399431343985, 41.7901818181837, 42.43447311828, 42.6566471306471, 42.7700216434601
8/30/2017, 41.41, 42.12, 41.41, 42.08, 38387, 1.84330381209055, 0.0884835068305111, 1.13619598889668, 1.65663266805509, 0, 0.230520478749995, 0.431147856757879, -0.200627378007884, 41.824909090911, 42.3665591397854, 42.6780903540903, 42.8310479041916
8/31/2017, 42.44, 42.73, 42.03, 42.73, 93526, 1.80641032511424, 0.456714365931065, 1.14272066710348, 1.72103112536283, 0, 0.271251586597224, 0.399168602725748, -0.127917016128524, 41.9412727272746, 42.369913978495, 42.7394261294261, 42.9059199774584
9/1/2017, 42.79, 43.23, 42.59, 43.13, 28886, 1.77436859569963, 0.350610867754114, 1.22301261282164, 1.87122985907575, 0, 0.331981068966456, 0.38573109597389, -0.0537500270074331, 42.1925454545474, 42.4143010752692, 42.811133089133, 42.988407239819
9/5/2017, 42.87, 42.94, 42.15, 42.55, 56564, 1.82378593785896, 0.0691379522657396, 0.971326585138097, 1.76458061111741, 0, 0.329510081432758, 0.374486893065663, -0.0449768116329051, 42.3683636363655, 42.3977204301079, 42.8562368742368, 43.0554530443756
9/6/2017, 42.73, 43.02, 42.58, 42.84, 33476, 1.77572332103417, 0.19055216289892, 1.12344215952384, 1.84047317735036, 0, 0.346952925029633, 0.368980099458457, -0.0220271744288241, 42.606909090911, 42.4089462365596, 42.9044420024419, 43.1276342989256
9/7/2017, 42.96, 43.91, 42.96, 43.8, 40006, 1.77210930866321, 0.728802851596511, 1.5381320612063, 1.94945842640363, 0, 0.433246287676411, 0.381833337102048, 0.051412950574363, 43.2241818181838, 42.5763870967746, 42.9955579975579, 43.220264148407
9/8/2017, 43.8, 43.89, 43.37, 43.45, 21576, 1.75690375911338, 0.491666855297583, 1.37054233813831, 1.93664486221993, 0, 0.467997540032989, 0.399066177688236, 0.068931362344753, 43.6547272727292, 42.6526236559144, 43.0638241758241, 43.3027865258122
9/11/2017, 43.88, 44.24, 43.88, 44.11, 38301, 1.73363398133762, 0.589799507505738, 1.69999205608012, 1.95557998882527, 0, 0.54254057204988, 0.427761056560565, 0.114779515489315, 44.0827272727292, 42.8487096774198, 43.1515873015872, 43.3984801313629
