Date,EWZ_Open,EWZ_High,EWZ_Low,EWZ_Close,EWZ_Volume,EWZ_ATRPercentOfClose20,EWZ_SQN25,EWZ_SQN50,EWZ_SQN100,EWZ_SQN200,EWZ_MACD,EWZ_MACD_Avg,EWZ_MACD_Diff,EWZ_LinReg10,EWZ_LinReg30,EWZ_LinReg90,EWZ_LinReg270
6/14/2017, 34.45, 34.72, 34, 34.32, 18109803, 2.68768762949065, -0.406183987722058, -0.367297392462815, -0.144108698022507, 0, -0.738409698565036, -0.690778454333821, -0.047631244231215, 34.0794545454539, 33.6549032258065, 35.421006105006, 36.3113972985561
6/15/2017, 33.87, 34.05, 33.6, 33.96, 12508923, 2.68637713403749, -0.574864610754396, -0.461381694940093, -0.29933109524182, 0, -0.741420554908096, -0.700906874448676, -0.0405136804594202, 33.9365454545448, 33.5035913978495, 35.2809719169719, 36.2186254767353
6/16/2017, 34.07, 34.2, 33.88, 34.14, 14622097, 2.58546863205383, -0.59998952335522, -0.332416688569176, -0.246890504231204, 0, -0.720971276488456, -0.704919754856632, -0.0160515216318238, 33.9145454545448, 33.3350752688172, 35.1510549450549, 36.13488005997
6/19/2017, 33.95, 34.45, 33.95, 34.31, 21970372, 2.51689024026237, -0.685199030228296, -0.227223878087387, -0.289731542138626, 0, -0.683172311612807, -0.700570266207867, 0.0173979545950597, 33.918363636363, 33.251935483871, 35.0429084249084, 36.0594783377542
6/20/2017, 33.75, 33.77, 32.82, 32.82, 29422091, 2.72659289872735, -0.95838381288586, -0.45812408012917, -0.421522554038937, 0, -0.764632697404103, -0.713382752447114, -0.0512499449569888, 33.5025454545448, 32.9689032258065, 34.8689157509157, 35.936075619296
6/21/2017, 33.04, 33.28, 32.7, 32.9, 14202209, 2.67211063797629, -0.985269195203098, -0.459399558455783, -0.432265704719632, 0, -0.813359407669026, -0.733378083491497, -0.0799813241775291, 33.2470909090903, 32.7696989247312, 34.720249084249, 35.8190371741917
6/22/2017, 32.96, 33.26, 32.77, 33.1, 18085774, 2.5971848335332, -0.788373145225469, -0.417309945485668, -0.331769135976444, 0, -0.826312136136771, -0.751964894020552, -0.0743472421162193, 33.1474545454539, 32.6794838709677, 34.5893699633699, 35.7121134453781
6/23/2017, 33.12, 33.24, 32.9, 33.04, 11722423, 2.52325899184176, 0.138671642939017, -0.415647215747504, -0.318298760943569, 0, -0.831829947487435, -0.767937904713928, -0.0638920427735068, 32.9947272727266, 32.6423440860215, 34.4704908424908, 35.6063746556474
6/26/2017, 33.5, 34.02, 33.49, 34, 14216206, 2.47353097752733, -0.329905573900493, -0.169437558307439, -0.230309165651751, 0, -0.750092278916156, -0.764368779554374, 0.0142765006382176, 33.1610909090902, 32.8172043010753, 34.4214822954822, 35.535086031703
6/27/2017, 33.61, 33.92, 33.24, 33.42, 16233285, 2.50434023261917, -0.196694816484006, -0.449361620211079, -0.31515195376952, 0, -0.723772541102015, -0.756249531863902, 0.0324769907618873, 33.1409090909084, 32.9828387096774, 34.3368791208791, 35.4471171531387
6/28/2017, 33.72, 34, 33.31, 33.96, 13440430, 2.44288274574281, -0.312105985316839, -0.335793349444061, -0.280754438398114, 0, -0.651826620693761, -0.735364949629874, 0.083538328936113, 33.4087272727266, 33.2797419354839, 34.2771355311355, 35.3790571728298
6/29/2017, 33.96, 34.05, 33.45, 33.82, 12063322, 2.41905035905247, -0.533642499650752, -0.251218816327902, -0.236582845044091, 0, -0.599198601904462, -0.708131680084792, 0.10893307818033, 33.5758181818175, 33.5140215053763, 34.2331404151404, 35.3085212903226
6/30/2017, 33.92, 34.27, 33.88, 34.14, 11254993, 2.34246247762147, -0.300118796196698, -0.188151845151322, -0.198163424291427, 0, -0.525610284027884, -0.67162740087341, 0.146017116845526, 33.8970909090902, 33.3972258064516, 34.2099194139194, 35.2501447619048
7/3/2017, 34.45, 34.57, 34.19, 34.4, 7280681, 2.27101992839236, -0.425376890044463, -0.128829167248883, -0.227718696681971, 0, -0.441225017497487, -0.625546924198226, 0.184321906700738, 34.3421818181811, 33.4517849462365, 34.189133089133, 35.2016172978378
7/5/2017, 34.29, 34.61, 33.81, 34.45, 18135217, 2.27044793207147, -0.420528456487121, -0.265792758996776, -0.206776904740194, 0, -0.366094395372564, -0.573656418433093, 0.20756202306053, 34.5016363636356, 33.4516344086021, 34.1478608058608, 35.1560580708662
7/6/2017, 34.32, 34.4, 33.84, 33.88, 23154161, 2.2832374467789, -0.50223083185551, -0.344063329270923, -0.364225620370551, 0, -0.348529441908617, -0.528631023128198, 0.180101581219581, 34.391272727272, 33.430193548387, 34.088315018315, 35.0942151162791
7/7/2017, 34.31, 34.38, 33.77, 34.07, 12326714, 2.24650074734446, -0.30703219906748, -0.271253123743029, -0.365871541162528, 0, -0.315639185583208, -0.4860326556192, 0.170393470035992, 34.3330909090902, 33.464129032258, 34.0227032967032, 35.0399463327371
