Date,XLB_Open,XLB_High,XLB_Low,XLB_Close,XLB_Volume,XLB_ATRPercentOfClose20,XLB_SQN25,XLB_SQN50,XLB_SQN100,XLB_SQN200,XLB_MACD,XLB_MACD_Avg,XLB_MACD_Diff,XLB_LinReg10,XLB_LinReg30,XLB_LinReg90,XLB_LinReg270
9/8/2017, 54.99, 55.07, 54.77, 55.01, 2719220, 0.871069907143195, 0.391168257190576, 0.357904382958677, 0.952026773067788, 0, 0.17011264383644, 0.0790928118024946, 0.0910198320339452, 55.1698181818188, 54.6709462365588, 55.1075995115997, 55.0494558501097
9/11/2017, 55.31, 55.88, 55.21, 55.73, 5072313, 0.894880276553917, 0.602090742100781, 0.904239420622392, 1.10381100649834, 0, 0.234260380789053, 0.110126325599806, 0.124134055189246, 55.4105454545461, 54.8774408602147, 55.1499145299148, 55.0870463054188
9/12/2017, 55.98, 56.39, 55.97, 56.2, 6643687, 0.901745443447194, 0.805767085877646, 0.961580004726522, 1.07202914527538, 0, 0.319341822779968, 0.151969425035839, 0.16737239774413, 55.7587272727279, 55.1112473118276, 55.2118656898659, 55.134477922078
9/13/2017, 56.21, 56.23, 55.9, 56.18, 4390288, 0.886333022884402, 1.04459092261096, 0.776596866338063, 1.08359064116905, 0, 0.380766407555988, 0.197728821539869, 0.18303758601612, 55.9558181818188, 55.3351182795695, 55.2870671550674, 55.1804583975348
9/14/2017, 56.18, 56.46, 56.05, 56.37, 4278758, 0.87554514394826, 1.11283165183852, 0.925507487476831, 0.978788310254844, 0, 0.439708559075022, 0.246124769046899, 0.193583790028123, 56.1932727272733, 55.5767526881717, 55.3590402930405, 55.229729575319
9/15/2017, 56.03, 56.17, 55.88, 56.07, 4700899, 0.879913603997596, 1.35396567842686, 0.903859967341346, 0.684646920347437, 0, 0.456945759734381, 0.288288967184396, 0.168656792549986, 56.3172727272734, 55.7424086021502, 55.406578754579, 55.2712893101501
9/18/2017, 56.18, 56.44, 56.08, 56.38, 4425690, 0.864134763876161, 1.59560655489986, 0.910436645200805, 0.76684834719714, 0, 0.48997267466995, 0.328625708681507, 0.161346965988443, 56.5658181818188, 55.9534408602147, 55.4689401709404, 55.3188472998138
9/19/2017, 56.56, 56.7, 56.32, 56.67, 3031963, 0.850254492464639, 1.49950405274114, 0.887934796418303, 0.874142126291883, 0, 0.533398631674508, 0.369580293280107, 0.163818338394401, 56.7367272727279, 56.1916559139781, 55.5395921855924, 55.3718133824433
9/20/2017, 56.85, 56.99, 56.56, 56.87, 4432406, 0.842706628865351, 1.60227056661963, 0.997188633460615, 1.05790137002867, 0, 0.577297616431082, 0.411123757910302, 0.16617385852078, 56.9027272727279, 56.4132903225802, 55.6132185592188, 55.4280808694069
9/21/2017, 56.76, 56.96, 56.74, 56.75, 3172419, 0.821647395319716, 1.26694970808455, 0.715824468708777, 1.01741832331358, 0, 0.595539868118649, 0.448006979951971, 0.147532888166678, 56.9400000000007, 56.6056774193545, 55.688700854701, 55.4805926860026
9/22/2017, 56.65, 56.73, 56.46, 56.55, 2943561, 0.80896667020644, 1.89113065892659, 0.65861733138192, 0.938536379921489, 0, 0.587091035473648, 0.475823791056307, 0.111267244417341, 56.8103636363643, 56.7150967741932, 55.7529670329672, 55.5277055119982
9/25/2017, 56.51, 56.65, 56.25, 56.65, 5489030, 0.802466230188269, 1.94529936446481, 0.586801929257862, 1.12232765217374, 0, 0.581758291544098, 0.497010691153865, 0.0847476003902329, 56.7752727272734, 56.8095698924727, 55.7941733821736, 55.5760188014102
9/26/2017, 56.7, 56.77, 56.38, 56.4, 2745321, 0.800296566368035, 1.70716185328899, 0.439953011165304, 1.03634014628786, 0, 0.551007471752648, 0.507810047273622, 0.0431974244790262, 56.697636363637, 56.8852043010749, 55.8216825396827, 55.6179965126417
9/27/2017, 56.47, 56.55, 55.99, 56.4, 3968619, 0.809927128120555, 1.35879300093088, 0.535992331944193, 0.841858679842161, 0, 0.520635661696637, 0.510375170158225, 0.0102604915384126, 56.6050909090916, 56.9458924731179, 55.8559609279612, 55.6591236846645
9/28/2017, 56.35, 56.81, 56.2, 56.8, 4356703, 0.817709428251749, 1.67908788269681, 0.484051854372965, 1.07623684862759, 0, 0.522815745992389, 0.512863285325058, 0.00995246066733146, 56.676727272728, 57.0771182795695, 55.9061562881565, 55.7079081806805
9/29/2017, 56.76, 56.88, 56.53, 56.8, 4144433, 0.807633815994091, 1.76157391045435, 0.662595367283834, 1.20095805996578, 0, 0.518565775044699, 0.514003783268986, 0.00456199177571315, 56.6649090909098, 57.1383010752684, 55.9540903540906, 55.7557244174266
10/2/2017, 56.73, 57.42, 56.71, 57.42, 7515940, 0.820792767520745, 1.95055897580536, 0.886699951188618, 1.30451407546421, 0, 0.55878513370341, 0.522960053355871, 0.0358250803475387, 56.8894545454553, 57.2594193548383, 56.0337826617829, 55.8156129211919
10/3/2017, 57.5, 57.69, 57.34, 57.66, 3668846, 0.806857868114622, 2.04415263893614, 0.99923393628059, 1.39037467120543, 0, 0.603073404633136, 0.538982723611324, 0.0640906810218121, 57.1981818181826, 57.3903870967738, 56.119313797314, 55.8793518875724
10/4/2017, 57.72, 57.85, 57.64, 57.68, 3840511, 0.784453076312667, 2.30019092516381, 0.786387626107719, 1.43500816055436, 0, 0.632495002602191, 0.557685179409497, 0.0748098231926936, 57.499818181819, 57.5453978494619, 56.2044029304031, 55.9422791230367
10/5/2017, 57.8, 58.03, 57.72, 58.03, 3669984, 0.770892482674977, 2.2692136660021, 1.07262372647801, 1.39989113206033, 0, 0.676258419784759, 0.58139982748455, 0.0948585923002091, 57.8541818181826, 57.7173763440856, 56.3010891330893, 56.0112343480139
