Date,FXF_Open,FXF_High,FXF_Low,FXF_Close,FXF_Volume,FXF_ATRPercentOfClose20,FXF_SQN25,FXF_SQN50,FXF_SQN100,FXF_SQN200,FXF_MACD,FXF_MACD_Avg,FXF_MACD_Diff,FXF_LinReg10,FXF_LinReg30,FXF_LinReg90,FXF_LinReg270
2/8/2018, 100.3, 100.69, 100.17, 100.67, 25695, 0.629031475092607, 1.53461711943947, 1.34335418728255, 0.47813271938483, 0.555568168730235, 1.06074407931466, 1.11968680941133, -0.0589427300966663, 100.544545454546, 101.457591397848, 98.5728473748465, 97.9338310783108
2/9/2018, 100.42, 100.54, 100.15, 100.41, 25761, 0.62502110016626, 1.36632760788539, 1.36151853636506, 0.472359067969158, 0.532335919325782, 0.994789009307766, 1.09470724939061, -0.0999182400828478, 100.427272727273, 101.501978494623, 98.7456263736255, 97.9717507175072
2/12/2018, 100.38, 100.46, 100.32, 100.33, 15019, 0.601220474776332, 1.3509360153404, 1.33037481019068, 0.470429142555265, 0.526104394940261, 0.92539641589147, 1.06084508269079, -0.135448666799315, 100.221818181818, 101.55658064516, 98.91512087912, 98.0122367090338
2/13/2018, 100.77, 100.99, 100.71, 100.73, 23325, 0.601652216048783, 1.5979805046464, 1.43654454791842, 0.744409284867983, 0.576013387725082, 0.892392003204719, 1.02715446679357, -0.134762463588853, 100.209818181819, 101.666451612902, 99.0960146520138, 98.0550066967337
2/14/2018, 100.63, 101.41, 100.58, 101.34, 26333, 0.6090803861897, 2.08896869068055, 1.40427300577039, 0.912179527187963, 0.648343634060432, 0.905025104339558, 1.00272859430277, -0.0977034899632114, 100.508545454546, 101.845225806451, 99.2926251526243, 98.1064939182725
2/15/2018, 101.91, 102.27, 101.79, 102.2, 23126, 0.619256321131516, 2.15237295027942, 1.97491241551319, 1.06058749861434, 0.69043955773579, 0.973213145350158, 0.996825504512247, -0.0236123591620889, 101.208363636364, 102.073634408601, 99.5244957264949, 98.1730747574143
2/16/2018, 101.77, 101.95, 101.43, 101.54, 18415, 0.63003344710123, 1.77957125666183, 1.80613858180983, 0.830563980457416, 0.639944541101101, 0.962896503459874, 0.990039704301772, -0.0271432008418988, 101.549272727273, 102.19217204301, 99.7212576312568, 98.231873172065
2/20/2018, 100.91, 100.91, 100.6, 100.65, 15499, 0.650520779013671, 1.1250965499085, 1.54890923624634, 0.67301443828382, 0.471759086219971, 0.87284333384828, 0.966600430211074, -0.0937570963627938, 101.472363636364, 102.164215053762, 99.8850451770443, 98.2756566899002
2/21/2018, 100.58, 100.74, 100.25, 100.34, 36021, 0.644321014424354, 0.727077001748793, 1.61040986790171, 0.672831397214763, 0.452395493930361, 0.767612578923547, 0.926802859953569, -0.159190281030022, 101.25490909091, 102.055505376343, 100.036622710622, 98.3154721880552
2/22/2018, 100.78, 100.97, 100.78, 100.93, 14709, 0.639736570474316, 1.06449569014888, 1.70990184564932, 0.774158428617742, 0.628112122933166, 0.723484636131545, 0.886139215189164, -0.162654579057619, 101.097818181819, 101.960021505375, 100.206578754578, 98.3635790624573
2/23/2018, 100.55, 100.72, 100.47, 100.56, 12037, 0.632857810810204, 0.816225938872282, 1.57243279912101, 0.637119111564031, 0.696850662264331, 0.651150952905553, 0.839141562732442, -0.187990609826889, 100.926727272728, 101.82193548387, 100.359460317459, 98.4056372830395
2/26/2018, 100.38, 100.5, 100.29, 100.36, 35086, 0.615864611222802, 0.856911534893985, 1.5018633711946, 0.744025673148331, 0.685699687105093, 0.571104324134112, 0.785534115012776, -0.214429790878664, 100.640545454546, 101.640086021504, 100.49659096459, 98.447291239579
2/27/2018, 100.33, 100.33, 100, 100.27, 23302, 0.603548057875779, 0.820806969080502, 1.32376388689653, 0.697928879136707, 0.660672922376892, 0.494701930377204, 0.727367678085662, -0.232665747708458, 100.310000000001, 101.477827956988, 100.622334554334, 98.4911737050704
2/28/2018, 99.87, 99.89, 99.56, 99.72, 10494, 0.612132727387125, 0.467328415555674, 1.1988833282728, 0.613249195709448, 0.546945748521474, 0.385330232358214, 0.658960188940172, -0.273629956581958, 99.872727272728, 101.287397849461, 100.715599511599, 98.5247806478065
3/1/2018, 99.41, 100.05, 99.28, 99.9, 47885, 0.619016834797717, 0.100341841712251, 1.3491917112464, 0.736046513183739, 0.510827632758814, 0.309607902202487, 0.589089731592635, -0.279481829390148, 99.6747272727281, 101.086107526881, 100.826285714285, 98.5600027333606
