Date,XAUUSD_Open,XAUUSD_High,XAUUSD_Low,XAUUSD_Close,XAUUSD_Volume,XAUUSD_ATRPercentOfClose20,XAUUSD_SQN25,XAUUSD_SQN50,XAUUSD_SQN100,XAUUSD_SQN200,XAUUSD_MACD,XAUUSD_MACD_Avg,XAUUSD_MACD_Diff,XAUUSD_LinReg10,XAUUSD_LinReg30,XAUUSD_LinReg90,XAUUSD_LinReg270
8/3/2017, 1266.535, 1270.36, 1260.19, 1268.39, 606900000, 0.857961108616635, 0.658332212788287, 0.275040697446387, 0.596908876901165, 0, 7.51750325238777, 4.01507890056081, 3.50242435182696, 1271.30627272728, 1259.2940215054, 1243.25846642247, 1266.32271931294
8/4/2017, 1268.34, 1269.97, 1254.455, 1258.8, 585700000, 0.882898654298015, 0.490602645694987, -0.141645390207631, 0.42404570139496, 0, 6.95793282065733, 4.60364968458011, 2.35428313607722, 1268.65954545455, 1262.31535483873, 1243.38788766789, 1266.47850620347
8/7/2017, 1258.4, 1259.67, 1255.625, 1257.645, 529400000, 0.85560566354482, 1.28681214824453, -0.164496926422667, 0.345636404213835, 0, 6.34809350439377, 4.95253844854285, 1.39555505585093, 1265.42290909092, 1264.3677526882, 1243.55307936508, 1266.60037726604
8/8/2017, 1257.52, 1265.19, 1251.615, 1260.68, 477000000, 0.864708550538109, 1.28859529943728, -0.0263959123205033, 0.246526124769266, 0, 6.04006448447922, 5.17004365573012, 0.870020828749097, 1262.06518181819, 1266.89077419357, 1243.91112087912, 1266.79504152221
8/9/2017, 1260.65, 1278.36, 1260.49, 1277.22, 604000000, 0.880791669968967, 1.53877393886091, 0.185344553523338, 0.399643522400798, 0, 7.04932876250064, 5.54590067708422, 1.50342808541641, 1266.06945454546, 1271.56022580648, 1244.97298656899, 1267.39912108908
8/10/2017, 1277.3, 1287.565, 1274.4, 1286.31, 628100000, 0.882012500782763, 1.85693200443756, 0.404745623856503, 0.562295519821977, 0, 8.48485685767446, 6.13369191320227, 2.35116494447219, 1271.87781818183, 1276.94795698927, 1246.3294969475, 1268.21545361635
8/11/2017, 1286.265, 1291.37, 1281.84, 1289.29, 605500000, 0.872933494316858, 2.5960860120225, 0.223015215395098, 0.5995944475336, 0, 9.75058562901927, 6.85707065636567, 2.8935149726536, 1279.31118181819, 1282.18255913981, 1247.84794505495, 1269.08677872671
8/14/2017, 1288.815, 1289.375, 1278.74, 1281.415, 504100000, 0.875880338253722, 2.15999252072154, 0.0580665597753159, 0.383623814818122, 0, 10.0029305566652, 7.48624263642558, 2.51668792023963, 1282.97027272728, 1284.71306451615, 1249.00665323566, 1269.74436507936
8/15/2017, 1281.42, 1281.76, 1267.67, 1271.46, 606100000, 0.89400995191451, 1.62817067641303, -0.415972450002699, 0.2891709678606, 0, 9.29251213181055, 7.84749653550257, 1.44501559630798, 1282.42772727274, 1285.77903225809, 1250.14636630037, 1270.14320760433
8/16/2017, 1271.395, 1283.42, 1268.2, 1282.965, 619200000, 0.90100898994763, 1.82307892471142, -0.0506254198058718, 0.406165467111662, 0, 9.54779670342805, 8.18755656908767, 1.36024013434038, 1285.24200000001, 1288.24421505379, 1252.06191452992, 1270.81219961095
8/17/2017, 1282.795, 1289.49, 1282.13, 1287.86, 611000000, 0.881279680127307, 2.05998796214897, 0.209347920982659, 0.602286135701003, 0, 10.0294835136303, 8.5559419579962, 1.47354155563414, 1289.22572727274, 1290.82229032261, 1254.21742368742, 1271.58422616408
8/18/2017, 1287.755, 1300.59, 1284.31, 1284.405, 584600000, 0.902843422757086, 1.65859293717648, 0.36936527824895, 0.483290545733043, 0, 10.0169648206138, 8.84814653051972, 1.16881829009407, 1289.03590909092, 1291.75098924734, 1256.14731257631, 1272.25589375684
8/21/2017, 1284.38, 1293.19, 1280.85, 1291.59, 569800000, 0.900700513387376, 1.69526981020188, 0.519390048398227, 0.518065829539507, 0, 10.4661656757078, 9.17175035955733, 1.29441531615044, 1289.70054545455, 1293.22248387099, 1258.40009279609, 1273.08397590361
8/22/2017, 1291.735, 1291.93, 1282.37, 1284.62, 549100000, 0.897517543928711, 1.2281382656647, 0.370577427479789, 0.392763676303087, 0, 10.1428197282662, 9.36596423329911, 0.776855494967098, 1286.71281818183, 1293.52513978497, 1260.45028205128, 1273.72826454234
8/23/2017, 1284.29, 1290.91, 1282.59, 1290.53, 573400000, 0.880971800669196, 1.42407135620238, 0.582752173413495, 0.474721912331166, 0, 10.2453513110029, 9.54184164883986, 0.703509662163016, 1287.76890909092, 1294.31366666669, 1262.54397802198, 1274.49758171316
