Date,ITB_Open,ITB_High,ITB_Low,ITB_Close,ITB_Volume,ITB_ATRPercentOfClose20,ITB_SQN25,ITB_SQN50,ITB_SQN100,ITB_SQN200,ITB_MACD,ITB_MACD_Avg,ITB_MACD_Diff,ITB_LinReg10,ITB_LinReg30,ITB_LinReg90,ITB_LinReg270
11/22/2017, 41.87, 41.97, 41.64, 41.82, 1965053, 1.29677495288892, 2.50669758622434, 3.71645781727929, 2.61439120894386, 2.19328780684663, 0.958366112926569, 0.874456532732733, 0.0839095801938364, 41.6736363636381, 41.3840430107523, 40.2181465201462, 38.6423394799423
11/24/2017, 41.99, 42.14, 41.77, 42.03, 1188686, 1.26979709976978, 2.3369089364067, 3.81939115692342, 2.64144009888388, 2.19433654159583, 0.994547651671887, 0.898474756520564, 0.0960728951513232, 41.9738181818199, 41.5869892473115, 40.4242661782658, 38.7467296545328
11/27/2017, 42.12, 42.22, 41.79, 41.82, 2029976, 1.26377554993203, 1.96812272506537, 3.68770703465986, 2.71182147020089, 2.0766253545767, 0.994808997963275, 0.917741604809106, 0.0770673931541693, 42.0932727272745, 41.7311397849459, 40.6069645909642, 38.8457661074082
11/28/2017, 41.97, 42.56, 41.8, 42.56, 2377241, 1.26899762272673, 2.25962894713342, 3.79652352586628, 2.68849375950295, 2.17301030292321, 1.04270824080738, 0.942734932008761, 0.0999733087986179, 42.4121818181836, 41.943462365591, 40.8236361416358, 38.956038352003
11/29/2017, 42.72, 43.1, 42.49, 43.01, 2957626, 1.26384821860236, 2.25485974968308, 3.8865063881782, 2.69456507996431, 2.27212656368854, 1.10425085852503, 0.975038117312016, 0.129212741213019, 42.8434545454563, 42.1786451612899, 41.0508595848592, 39.0723162055336
11/30/2017, 43.2, 43.6, 42.85, 42.85, 2659013, 1.29265358898443, 2.33620077167855, 4.06240967042473, 2.77275131813814, 2.18872971223337, 1.12712042102719, 1.00545457805505, 0.121665842972142, 43.0267272727291, 42.3642580645158, 41.2722051282048, 39.1839879086431
12/1/2017, 43.32, 43.47, 42.2, 43.15, 2858932, 1.36664417088259, 2.23681092863632, 4.15056057681957, 2.83675492184432, 2.26351777841246, 1.15612511619523, 1.03558868568309, 0.120536430512146, 43.2101818181836, 42.5956774193545, 41.4948131868128, 39.2990213852301
12/4/2017, 43.69, 43.99, 43.32, 43.39, 2807441, 1.38792719923726, 2.30020363832048, 4.19102963087003, 2.88175209613452, 2.30181706016845, 1.18481967661241, 1.06543488386895, 0.11938479274346, 43.4040000000019, 42.8494193548383, 41.719206349206, 39.41632772092
12/5/2017, 43, 43.06, 42.4, 42.59, 2279235, 1.45952226147357, 1.7231948423063, 3.43282637284011, 2.55041574229002, 2.09831554125203, 1.1299812874622, 1.0783441645876, 0.051637122874598, 43.2434545454564, 42.9716344086017, 41.8967863247859, 39.5181982178578
12/6/2017, 42.46, 42.71, 42.03, 42.04, 3020592, 1.48556138107401, 1.15454658872787, 2.9494756221405, 2.35877705928573, 1.98764363869081, 1.03026481405434, 1.06872829448095, -0.0384634804266093, 42.944909090911, 43.0259999999996, 42.0417875457872, 39.6091543454742
12/7/2017, 42, 42.68, 41.83, 42.45, 1184344, 1.49777032832353, 1.22878475614946, 2.98401454048589, 2.64900439098522, 2.06491258536199, 0.97310501507036, 1.04960363859883, -0.0764986235284728, 42.7774545454564, 43.0965806451609, 42.2109474969471, 39.7055706929843
12/8/2017, 42.59, 42.87, 42.44, 42.83, 1254963, 1.46045605686358, 2.24534855345165, 2.93723644398634, 2.65050366426422, 2.08302240960728, 0.947545571250195, 1.0291920251291, -0.0816464538789095, 42.748909090911, 43.2260430107523, 42.3935018315014, 39.8068404070489
12/11/2017, 42.92, 43.25, 42.52, 42.6, 1488206, 1.48060484201159, 2.02458923357069, 2.6590845281826, 2.74632490784953, 1.96370317286856, 0.898374547502193, 1.00302852960372, -0.104653982101529, 42.5552727272747, 43.3105591397845, 42.5583736263732, 39.9026838015541
12/12/2017, 42.64, 42.79, 42.26, 42.27, 806895, 1.48024788162312, 1.56121449380611, 2.4119282131098, 2.528730727741, 1.93990899375072, 0.823287568240929, 0.967080337331164, -0.143792769090235, 42.3530909090929, 43.3263010752684, 42.7106422466419, 39.9915387029289
12/13/2017, 42.32, 42.53, 42.2, 42.25, 1344115, 1.4459544155834, 1.61586636155489, 2.24149834270484, 2.57779658962728, 1.8232955641843, 0.753481102230069, 0.924360490310945, -0.170879388080876, 42.2498181818201, 43.3528172043007, 42.8559120879117, 40.0786694329184
12/14/2017, 42.27, 42.61, 42.1, 42.17, 2019251, 1.43673216399048, 1.33026079621676, 2.07920313364265, 2.44372025161324, 1.8401390266791, 0.68382098097107, 0.87625258844297, -0.1924316074719, 42.1283636363656, 43.3677849462361, 42.9897753357749, 40.1631178628991
12/15/2017, 42.47, 42.75, 42.2, 42.59, 1699492, 1.4195267806458, 1.46470276749214, 2.29036397770205, 2.66060421637621, 1.87927682117903, 0.654955404702953, 0.831993151694967, -0.177037746992014, 42.2490909090929, 43.3572473118275, 43.1369548229544, 40.2531466176921
12/18/2017, 42.84, 43.28, 42.72, 43.22, 1235396, 1.40871733707357, 1.73814185937423, 2.43675881706003, 2.84787129828664, 1.98366609559413, 0.675132455721354, 0.800621012500244, -0.125488556778891, 42.666000000002, 43.4088817204297, 43.2898925518921, 40.3520879713958
12/19/2017, 43.34, 43.44, 42.79, 42.79, 1328541, 1.42768228892039, 1.34819266287686, 2.22948574703045, 2.79547776588988, 1.88708155702007, 0.648944875114999, 0.770285785023195, -0.121340909908196, 42.7836363636384, 43.4086451612899, 43.419709401709, 40.4425071930411
12/20/2017, 43.04, 43.2, 42.84, 43.12, 822534, 1.39346008547677, 1.30052558611324, 2.36946494631837, 2.92250921298283, 1.86432328354851, 0.647356943014699, 0.745700016621496, -0.0983430736067967, 42.8943636363656, 43.4225806451608, 43.5682442002438, 40.5368919860627
12/21/2017, 43.33, 43.69, 43.1, 43.55, 1227271, 1.37845462552171, 1.71112552482185, 2.44250209936378, 2.87530480403514, 1.95293107666377, 0.673037543870421, 0.731167522071281, -0.0581299782008599, 43.1767272727293, 43.4972688172039, 43.7270891330887, 40.6367858200849
12/22/2017, 43.54, 43.63, 43.31, 43.37, 931729, 1.35185875015902, 1.510339415406, 2.38739270943013, 2.77546497102907, 1.85035162224911, 0.671128754867119, 0.719159768630449, -0.0480310137633296, 43.4129090909111, 43.5341075268813, 43.8738583638579, 40.7322694919681
12/26/2017, 43.33, 43.64, 43.29, 43.56, 937512, 1.31883857425797, 1.42450384223428, 2.47968382383269, 2.85540024572581, 1.91447012545518, 0.677141769125313, 0.710756168729422, -0.0336143996041085, 43.6392727272747, 43.5740430107523, 44.0080488400484, 40.8293538670812
12/27/2017, 43.56, 43.81, 43.47, 43.66, 852213, 1.28896422079577, 1.32151329763359, 2.50054556298237, 2.77328043307676, 1.96510803624682, 0.682113312841842, 0.705027597551906, -0.0229142847100636, 43.7818181818202, 43.6178279569888, 44.1322222222218, 40.9265725301204
12/28/2017, 43.85, 43.95, 43.62, 43.92, 1555375, 1.254835359425, 1.153735676229, 2.60703127984086, 2.85489216929316, 1.93374805393286, 0.698975766604462, 0.703817231362417, -0.00484146475795488, 43.9343636363657, 43.7004731182791, 44.2608351648347, 41.026467250996
12/29/2017, 44, 44.3, 43.67, 43.72, 946934, 1.26959630687669, 1.03307020991489, 2.47167650160254, 2.83454292237143, 1.8130969807444, 0.688267139021278, 0.700707212894189, -0.0124400738729117, 43.9107272727293, 43.7153118279566, 44.3740488400483, 41.1217027129577
1/2/2018, 43.85, 43.95, 43.5, 43.9, 7426475, 1.25242398655618, 1.01382138307674, 2.3262505092654, 2.8772169585807, 1.86949101351915, 0.68639266283477, 0.697844302882306, -0.0114516400475357, 43.9487272727293, 43.7424516129028, 44.4788717948713, 41.2183571742267
1/3/2018, 44.03, 45.03, 43.75, 45.03, 3621666, 1.3020728927232, 1.53013768448251, 2.4421971104348, 3.44003207417381, 2.01058685580502, 0.767244367670592, 0.711724315839963, 0.0555200518306295, 44.4316363636384, 43.9150322580641, 44.6232942612938, 41.3313360928698
1/4/2018, 45.53, 45.53, 44.51, 44.68, 2855973, 1.3608040564315, 1.03969295285888, 2.2841547335121, 3.28084125980751, 2.08422310432837, 0.79392596698446, 0.728164646068862, 0.0657613209155978, 44.6089090909112, 44.0363010752684, 44.751284493284, 41.4371811023622
1/5/2018, 45.15, 45.31, 44.69, 45.3, 2210073, 1.34460682073491, 1.09277195164411, 2.31463683422344, 3.27947740608326, 2.17806677833806, 0.855241454002631, 0.753580007655616, 0.101661446347014, 44.9632727272748, 44.2568602150533, 44.8959706959702, 41.5511433823529
1/8/2018, 45.5, 45.54, 45.15, 45.42, 2593470, 1.31693426971217, 1.23313304943859, 2.47252213722059, 3.35345775918152, 2.16623717383472, 0.903106961449879, 0.783485398414469, 0.11962156303541, 45.3261818181839, 44.4707956989243, 45.0356361416356, 41.665313411965
1/9/2018, 45.48, 45.63, 45.18, 45.4, 2343109, 1.30119816748481, 1.08248702743622, 2.28583732371999, 3.30749897240532, 2.16742971488574, 0.928721168578633, 0.812532552447302, 0.116188616131331, 45.544181818184, 44.672967741935, 45.1702442002437, 41.7775205863723
1/10/2018, 45.07, 45.23, 44.54, 44.71, 3934569, 1.35139067241378, 0.615716306730156, 1.93427169122912, 3.38536796237875, 2.06707457461563, 0.883162827513381, 0.826658607460518, 0.0565042200528634, 45.4510909090931, 44.7518494623651, 45.2780097680093, 41.8774708928197
1/11/2018, 45.19, 45.66, 44.9, 45.65, 3307781, 1.36143796528891, 1.40883085173219, 2.20803762699525, 3.71270404285586, 2.11986543431973, 0.9123901918923, 0.843804924346874, 0.0685852675454257, 45.6400000000022, 44.9806881720425, 45.421306471306, 41.9904042174042
