Date,VNQ_Open,VNQ_High,VNQ_Low,VNQ_Close,VNQ_Volume,VNQ_ATRPercentOfClose20,VNQ_SQN25,VNQ_SQN50,VNQ_SQN100,VNQ_SQN200,VNQ_MACD,VNQ_MACD_Avg,VNQ_MACD_Diff,VNQ_LinReg10,VNQ_LinReg30,VNQ_LinReg90,VNQ_LinReg270
1/22/2018, 78.83, 79.47, 78.74, 79.43, 4767729, 1.07054455638169, -1.3649639685583, -1.13924222686422, -0.676833445529439, -0.29637349092047, -1.25865084391543, -1.12435589801841, -0.13429494589702, 78.3910909090894, 78.6293548387115, 81.7137387057392, 83.1997735849054
1/23/2018, 79.79, 80.55, 79.66, 80.53, 4599671, 1.07266467661403, -0.992943069428345, -0.934126319641104, -0.436852789724386, -0.229272845189804, -1.10355310799855, -1.12019534001444, 0.0166422320158905, 79.2079999999985, 78.5669247311846, 81.6242271062276, 83.1594643913151
1/24/2018, 80.42, 80.61, 79.83, 80.11, 6242474, 1.07305707261692, -1.24969163037371, -1.04989307827284, -0.601085603959207, -0.278983285618989, -1.00296595754516, -1.09674946352058, 0.0937835059754268, 79.7210909090894, 78.4996774193567, 81.5348058608064, 83.1134252892837
1/25/2018, 79.97, 80.11, 79.45, 79.97, 4764997, 1.06245432015724, -1.45322902668825, -1.10350920567427, -0.716809397819807, -0.339657973925282, -0.923896640722177, -1.0621788989609, 0.138282258238726, 80.0227272727258, 78.4392903225825, 81.4465347985353, 83.0659082838592
1/26/2018, 79.97, 80.08, 79.23, 79.69, 4966350, 1.06620966725844, -1.17178574857536, -1.27234250256027, -0.822506017725989, -0.418977929508946, -0.873755191465179, -1.02449415746176, 0.150738965996579, 80.1490909090894, 78.3968387096793, 81.3397362637367, 83.0148682362658
1/29/2018, 79.48, 79.49, 78.57, 78.62, 5280229, 1.09791320229756, -1.20263290567604, -1.44981766354959, -0.966791442095271, -0.502112396850857, -0.909869381460794, -1.00156920226157, 0.0916998208007713, 79.7538181818167, 78.2585376344105, 81.1775238095243, 82.9487251605847
1/30/2018, 78.27, 78.59, 77.92, 78.05, 6937589, 1.09547775997953, -1.00262470106957, -1.40706637375891, -1.10945086255781, -0.538176862868734, -0.973265178392282, -0.995908397487709, 0.0226432190954269, 79.1910909090894, 78.0849677419373, 80.9894603174608, 82.8701645483119
1/31/2018, 78.27, 79.48, 78.02, 79.45, 8856744, 1.11424716435598, -0.661404896610497, -1.17272466065827, -0.909626428927494, -0.489809464010536, -0.900161997317042, -0.976759117453575, 0.0765971201365334, 79.2607272727258, 78.1663010752707, 80.8634627594632, 82.8215823424898
2/1/2018, 79.09, 79.74, 77.6, 77.74, 7313197, 1.21945704074708, -1.17082205020944, -1.39364446837764, -1.17921499101917, -0.65328601762583, -0.96903942528013, -0.975215179018886, 0.00617575373875667, 78.5279999999984, 78.104322580647, 80.6340000000004, 82.7501809484759
2/2/2018, 77.16, 77.6, 76.44, 77.08, 11151753, 1.25273171808893, -1.41975310988065, -1.47715274427327, -1.42840948615958, -0.702102343580462, -1.06460961043321, -0.993094065301751, -0.0715155451314579, 77.6812727272711, 77.8882365591417, 80.3898339438344, 82.6696662566623
