Date,IYT_Open,IYT_High,IYT_Low,IYT_Close,IYT_Volume,IYT_ATRPercentOfClose20,IYT_SQN25,IYT_SQN50,IYT_SQN100,IYT_SQN200,IYT_MACD,IYT_MACD_Avg,IYT_MACD_Diff,IYT_LinReg10,IYT_LinReg30,IYT_LinReg90,IYT_LinReg270
7/28/2017, 165.2, 166.25, 164.98, 166.04, 288717, 1.21649101065742, -0.265726325386525, 0.853795900058523, -0.0853375855715315, 0, -0.529414786855824, 0.514106049803187, -1.04352083665901, 166.553999999996, 171.578559139786, 172.442996336996, 169.02880651341
7/31/2017, 166.34, 166.62, 165.19, 165.24, 305707, 1.20453194770685, -0.544116865595717, 0.696748890744554, -0.0900016252783474, 0, -0.871954003453055, 0.236894039151939, -1.10884804260499, 165.590727272723, 170.714430107528, 172.280761904762, 168.955406707605
8/1/2017, 165.82, 166.31, 164.21, 164.63, 462292, 1.21232470441066, -0.73906192093035, 0.509936684119265, -0.0592982323675834, 0, -1.17904935544857, -0.0462946397681629, -1.13275471568041, 164.691636363632, 169.878322580647, 172.069577533578, 168.867109309477
8/2/2017, 164.3, 165.2, 163.93, 165.09, 214158, 1.18696326417572, -0.485904556374095, 0.390853730565174, -0.129594924835546, 0, -1.36951951036872, -0.310939613888274, -1.05857989648044, 164.233818181814, 168.945290322582, 171.865335775336, 168.793190843905
8/3/2017, 165.25, 165.97, 165.09, 165.76, 372725, 1.14960169533441, -0.74972995749513, 0.365288988108581, -0.0346194078720577, 0, -1.44969391082901, -0.538690473276422, -0.911003437552591, 164.071272727268, 168.101376344087, 171.687638583639, 168.738840014511
8/4/2017, 165.99, 167.28, 165.46, 167.03, 277372, 1.13829897723582, -0.469727143495956, 0.471923122496954, 0.216381823728921, 0, -1.39467734240526, -0.709887847102189, -0.68478949530307, 164.573090909087, 167.466967741937, 171.627792429792, 168.719420134228
8/7/2017, 167.79, 167.79, 166.75, 167.35, 486340, 1.1103888512657, -0.625654784478293, 0.246137132911978, 0.101063753425211, 0, -1.31015236894044, -0.829940751469839, -0.480211617470597, 165.211272727268, 166.970086021507, 171.569960927961, 168.708812362031
8/8/2017, 167.35, 167.94, 165.73, 166.2, 168973, 1.12865460617538, -1.00167543943247, 0.0873015823410629, 0.0733021255557376, 0, -1.32073647954275, -0.92809989708442, -0.392636582458325, 165.803818181814, 166.399397849464, 171.488893772894, 168.668201463925
8/9/2017, 165.75, 166.3, 165.22, 166.2, 113106, 1.10471285059586, -1.01744586083916, 0.117493771391609, 0.126171264320606, 0, -1.3139777459173, -1.005275466851, -0.308702279066303, 166.621818181814, 165.753118279571, 171.392024420024, 168.628436532508
8/10/2017, 165.3, 165.92, 164.26, 164.6, 153964, 1.11860942880061, -1.06426612225207, -0.0608601800986013, 0.0658691164468877, 0, -1.42134366406356, -1.08848910629351, -0.332854557770048, 166.07745454545, 165.082236559141, 171.211597069597, 168.548072319837
8/11/2017, 164.41, 166.55, 164.41, 165.4, 131562, 1.12223069154505, -1.31157101871439, -0.202974214009827, 0.356399845543028, 0, -1.42544694849079, -1.15588067473296, -0.269566273757823, 165.979636363632, 164.510473118281, 171.069741147741, 168.490022622539
8/14/2017, 166.94, 168.65, 166.63, 168.33, 258081, 1.14409854786713, -0.735409635025742, 0.0169743114477446, 0.482137845427037, 0, -1.17868516907066, -1.1604415736005, -0.0182435954701576, 166.768909090905, 164.437806451614, 171.051567765568, 168.508086848635
8/15/2017, 169.13, 169.13, 168, 168.81, 284396, 1.11727269198714, -0.501567699359679, 0.0985946000485711, 0.581497851094441, 0, -0.933630382697942, -1.11507933541999, 0.18144895272205, 167.43345454545, 164.547505376346, 171.068178266178, 168.537867875225
8/16/2017, 169.68, 170.14, 168.78, 169.04, 223180, 1.10019204317104, -0.772649093674627, 0.191954151414267, 0.63279521438484, 0, -0.71264865112164, -1.03459319856032, 0.321944547438681, 168.04145454545, 164.724172043012, 171.080864468864, 168.572723534629
8/17/2017, 168.35, 168.63, 164.87, 165.01, 304604, 1.1970646617099, -1.15279638463209, -0.305832313842726, 0.338648470503797, 0, -0.852874945172971, -0.998249547882851, 0.14537460270988, 167.175818181814, 164.3351827957, 170.941782661783, 168.505679484118
8/18/2017, 164.43, 165.02, 163.47, 163.78, 275785, 1.19307154620413, -1.4079541530412, -0.416015992662839, 0.0473128592270895, 0, -1.05113913629387, -1.00882746556505, -0.0423116707288147, 166.180181818177, 163.983677419356, 170.734097680097, 168.409378144654
8/21/2017, 164.18, 164.8, 163.57, 164.43, 257227, 1.16633944502492, -1.21607136164058, -0.344388724665085, 0.122905876107288, 0, -1.14264368333963, -1.03559070911997, -0.107052974219659, 165.650363636359, 163.756924731184, 170.489509157509, 168.331201086957
8/22/2017, 164.72, 166.05, 164.45, 165.84, 302395, 1.14744413409416, -0.881927548640197, -0.315545072319411, 0.126395781350432, 0, -1.08883506711237, -1.04623958071845, -0.0425954863939206, 165.536909090904, 163.6811827957, 170.264593406593, 168.289355877617
8/23/2017, 164.97, 165, 163.32, 163.64, 285848, 1.18172530211603, -1.01300907723902, -0.630621290765347, 0.0200772761128755, 0, -1.20976751802135, -1.07894516817903, -0.130822349842321, 164.683090909086, 163.509204301077, 169.984761904762, 168.194527758843
8/24/2017, 164.99, 164.99, 162.38, 162.6, 338874, 1.21007781067868, -0.953423130181125, -0.610393067659075, -0.0146319870406744, 0, -1.37369160328601, -1.13789445520043, -0.23579714808558, 163.289636363632, 163.261053763442, 169.635174603174, 168.076376627263
8/25/2017, 162.71, 165.28, 162.71, 164.46, 590540, 1.21805131591594, -0.674216068249328, -0.456745163987135, 0.100196403125194, 0, -1.33809148087752, -1.17793386033584, -0.160157620541678, 162.807818181813, 163.378451612905, 169.383492063492, 168.005629711752
8/28/2017, 164.85, 165.14, 163.8, 165.04, 94594, 1.19367840187081, -0.511599152065949, -0.404363077762369, 0.149302666545819, 0, -1.24868293504895, -1.19208367527847, -0.0565992597704821, 163.163636363632, 163.584688172044, 169.21566056166, 167.950257028113
8/29/2017, 164.07, 166.67, 163.19, 166.54, 275590, 1.22826017336688, -0.459641197322949, -0.366123021105268, 0.197035943772976, 0, -1.04474537994054, -1.16261601621088, 0.117870636270343, 164.313090909086, 163.964731182797, 169.116803418803, 167.931816607749
8/30/2017, 166.37, 168.38, 166.37, 167.79, 134621, 1.21805069914116, -0.297145404840108, 0.0122873395777719, 0.312776314967008, 0, -0.773344214200989, -1.0847616558089, 0.311417441607912, 166.064181818177, 164.48230107527, 169.129914529914, 167.943387510693
8/31/2017, 168.01, 168.7, 167.58, 168.01, 194526, 1.18896429062823, 0.386359021362634, 0.0535113072358449, 0.24178014607984, 0, -0.534345076209007, -0.974678339888923, 0.440333263679916, 167.15345454545, 164.94565591398, 169.141218559218, 167.959866159482
9/1/2017, 168.42, 169.35, 168.36, 168.64, 192562, 1.16502606703645, 0.385019160806324, 0.0627748588885145, 0.329278386160485, 0, -0.290749226486412, -0.837892517208421, 0.547143290722009, 168.050727272723, 165.491225806453, 169.14945054945, 167.990741385312
9/5/2017, 168.39, 168.39, 166.65, 167, 355345, 1.17722452783099, 0.264732717128807, -0.213604472322869, 0.428301714444914, 0, -0.227410606601353, -0.715796135087007, 0.488385528485654, 168.246363636359, 165.786107526883, 169.091059829059, 167.982691434469
9/6/2017, 166.61, 168.43, 166.6, 167.82, 430159, 1.16742147145982, 0.461893301908597, -0.216145951728742, 0.614575410895355, 0, -0.109781652485111, -0.594593238566628, 0.484811586081517, 168.867090909086, 166.277053763442, 169.029472527472, 167.993775329798
9/7/2017, 168.01, 168.77, 167.77, 168.63, 256261, 1.13337388230663, 0.506871053967658, 0.00195501742285325, 0.526825106733401, 0, 0.0482442420786811, -0.466025742437566, 0.514269984516247, 169.219636363631, 166.881397849463, 168.989731379731, 168.023265895954
9/8/2017, 168.56, 169.52, 167.6, 169.31, 171795, 1.12908154205126, 0.506301083026762, -0.163381849890449, 0.648458492888715, 0, 0.22574892594406, -0.327670808761241, 0.553419734705301, 169.326909090904, 167.233913978496, 169.007653235653, 168.067707793502
9/11/2017, 170.07, 171.09, 169.99, 171.09, 236913, 1.11348738143939, 0.564645729204211, 0.0707496953256704, 0.708082736433986, 0, 0.504241211867708, -0.161288404635451, 0.665529616503159, 170.055090909086, 167.829118279571, 169.094315018315, 168.151787192118
9/12/2017, 171.38, 172.27, 171.1, 172.13, 260622, 1.08569818326812, 0.654585714118077, 0.0369783955170663, 0.592803374440738, 0, 0.799649798139853, 0.0308992359196097, 0.768750562220244, 170.896909090904, 168.470365591399, 169.225875457875, 168.257720779221
9/13/2017, 171.55, 171.98, 171.11, 171.98, 133054, 1.06196747803026, 0.801802844661139, -0.114027056083374, 0.569724956336276, 0, 1.01001664153665, 0.226722717043018, 0.783293924493633, 171.600181818177, 169.007462365592, 169.364805860805, 168.358135593221
9/14/2017, 171.49, 172.43, 171.31, 171.42, 120246, 1.0448332080741, 0.723952614573216, -0.176751531011441, 0.348697056140868, 0, 1.11865144315482, 0.405108462265378, 0.71354298088944, 172.063272727267, 169.456752688173, 169.434153846153, 168.443981463848
9/15/2017, 171.13, 172.15, 168, 168, 98301, 1.13630978036702, 0.45312108774134, -0.366120560817145, 0.142401343913878, 0, 0.918195502050452, 0.507725870222393, 0.410469631828059, 171.190909090904, 169.475935483872, 169.364202686202, 168.45189128115
9/18/2017, 171.83, 172.55, 171.53, 171.72, 89960, 1.18859213223024, 0.748719286554364, -0.211541490729756, 0.478057191009188, 0, 1.04743149688838, 0.61566699555559, 0.431764501332789, 171.730181818176, 170.037333333334, 169.430747252747, 168.542033519553
9/19/2017, 172, 172.26, 171.16, 171.61, 69469, 1.161935719942, 0.416627036370345, -0.186174423458319, 0.447705490531036, 0, 1.12797329914724, 0.718128256273921, 0.409845042873322, 171.735454545449, 170.575849462367, 169.475313797313, 168.62796009822
