Date,FXY_Open,FXY_High,FXY_Low,FXY_Close,FXY_Volume,FXY_ATRPercentOfClose20,FXY_SQN25,FXY_SQN50,FXY_SQN100,FXY_SQN200,FXY_MACD,FXY_MACD_Avg,FXY_MACD_Diff,FXY_LinReg10,FXY_LinReg30,FXY_LinReg90,FXY_LinReg270
9/25/2017, 85.59, 86.18, 85.57, 86.04, 44256, 0.691546162689496, -0.76804044455903, 0.194997445855239, 0.151357935572346, 0, -0.443441071371879, -0.215984531593117, -0.227456539778762, 85.4692727272711, 86.3595053763424, 87.1950500610499, 87.5163325499414
9/26/2017, 85.66, 85.77, 85.42, 85.59, 45197, 0.696642133963244, -1.01839627700432, 0.0645837096738311, 0.000508725175508333, 0, -0.477306299895801, -0.268248885253654, -0.209057414642147, 85.4150909090892, 86.1642365591381, 87.139001221001, 87.4902388840454
9/27/2017, 84.89, 85.45, 84.89, 85.2, 90697, 0.705919251568291, -0.973618839726368, -0.182534030292531, -0.0626722359619444, 0, -0.529510609424278, -0.320501230087779, -0.2090093793365, 85.2474545454528, 85.8850967741918, 87.0691941391939, 87.4562727847738
9/28/2017, 85.34, 85.49, 85.23, 85.45, 46835, 0.685630242503656, -1.06535698692782, -0.145591378159064, 0.114617138025317, 0, -0.544434092850565, -0.365287802640336, -0.179146290210229, 85.2747272727256, 85.6671612903208, 87.0113113553112, 87.4282040050063
9/29/2017, 85.52, 85.54, 85.26, 85.37, 103373, 0.668358311009026, -0.922431497174914, -0.154695944377492, 0.219942610113083, 0, -0.556303669975435, -0.403490976107356, -0.152812693868079, 85.3041818181801, 85.4893548387079, 86.9405225885224, 87.3989277271193
10/2/2017, 85.32, 85.37, 85.12, 85.2, 38519, 0.650878656811016, -1.08464693789217, -0.401652455693717, 0.238427485832548, 0, -0.572824806811454, -0.437357742248175, -0.135467064563279, 85.2509090909073, 85.3231827956972, 86.8655042735041, 87.3665836814259
10/3/2017, 85.03, 85.24, 85.03, 85.12, 82566, 0.631251391944121, -1.13469400955087, -0.417113799016575, 0.146972804924142, 0, -0.585622565793372, -0.467010706957215, -0.118611858836157, 85.2170909090892, 85.1795053763423, 86.7846251526249, 87.3331248277763
10/4/2017, 85.29, 85.3, 85.08, 85.2, 61280, 0.61203653237288, -0.945372764245514, -0.211216378183287, 0.0799072802971246, 0, -0.582593772223177, -0.490127320010407, -0.0924664522127699, 85.14418181818, 85.0304946236541, 86.7177240537239, 87.3019028141362
10/5/2017, 85.35, 85.35, 85.12, 85.13, 59779, 0.595421554449206, -0.803863196557487, -0.40294587074875, 0.138518828081626, 0, -0.579165586124304, -0.507934973233187, -0.0712306128911177, 85.02618181818, 84.9197849462348, 86.6578412698411, 87.269765759931
10/6/2017, 84.8, 85.28, 84.71, 85.26, 49679, 0.59821516635876, -0.873595171005452, -0.367567408204404, 0.0462897448056636, 0, -0.559509137344577, -0.518249806055465, -0.0412593312891121, 85.0450909090891, 84.8135053763423, 86.6042930402929, 87.2408487794456
