Date,IGN_Open,IGN_High,IGN_Low,IGN_Close,IGN_Volume,IGN_ATRPercentOfClose20,IGN_SQN25,IGN_SQN50,IGN_SQN100,IGN_SQN200,IGN_MACD,IGN_MACD_Avg,IGN_MACD_Diff,IGN_LinReg10,IGN_LinReg30,IGN_LinReg90,IGN_LinReg270
8/8/2017, 45.87, 46.18, 45.85, 45.87, 12297, 0.992208076471939, 0.0417539531374728, 0.225573601491022, 0.109953290967356, 0, -0.125193622424469, 0.0135426743483089, -0.138736296772778, 45.811636363637, 46.6223010752689, 47.1692356532357, 46.7160177762287
8/9/2017, 45.82, 45.82, 45.32, 45.44, 59451, 1.01203686717384, -0.273133791769095, 0.102523074644759, -0.0217496126847459, 0, -0.189211652780848, -0.0270081910775225, -0.162203461703326, 45.6734545454551, 46.4791397849463, 47.1455506715507, 46.6984029927761
8/10/2017, 45.25, 45.29, 44.44, 44.48, 10603, 1.09459549195505, -0.452106693796968, -0.179795495522928, -0.230948165758805, 0, -0.313793167700737, -0.0843651864021655, -0.229427981298572, 45.1660000000006, 46.2570322580646, 47.0688351648353, 46.6562838468721
8/11/2017, 44.42, 44.87, 44.42, 44.72, 9817, 1.08459810170064, -0.815009976392066, -0.726486014531091, -0.0188116148055133, 0, -0.388678478048789, -0.14522784473149, -0.243450633317298, 44.8385454545461, 46.0159784946237, 47.0012136752137, 46.6212392124005
8/14/2017, 45, 45.54, 45, 45.51, 8057, 1.10257230834212, -0.479321150154336, -0.510801579705917, 0.103016237218502, 0, -0.379899977859388, -0.19216227135707, -0.187737706502318, 44.8550909090915, 45.874559139785, 46.95315995116, 46.6071240694789
8/15/2017, 45.57, 45.57, 45.22, 45.22, 12000, 1.09286073562621, -0.687602746380901, -0.63718111105129, -0.00250009881559782, 0, -0.391826794202629, -0.232095175926182, -0.159731618276447, 44.8923636363643, 45.697806451613, 46.9003882783883, 46.5859129511677
8/16/2017, 45.16, 45.61, 45.16, 45.35, 4979, 1.08485566354502, -0.645436129483125, -0.644864385216689, 0.00908988471487406, 0, -0.386335532999148, -0.262943247340775, -0.123392285658373, 44.9394545454552, 45.5528172043012, 46.8517631257632, 46.5684076433121
8/17/2017, 45.2, 45.29, 44.61, 44.62, 7010, 1.13039655142712, -0.993717265932186, -0.783325189177268, -0.151670178951413, 0, -0.43586419692236, -0.297527437257092, -0.138336759665268, 44.7860000000006, 45.2820645161291, 46.7695604395605, 46.5329376641987
8/18/2017, 44.52, 44.75, 44.42, 44.75, 2125, 1.1076285903563, -0.842476701769002, -0.869846837382618, -0.148824653585419, 0, -0.45933122196849, -0.329888194199372, -0.129443027769119, 44.7130909090915, 45.0890967741936, 46.6907594627595, 46.5014410377358
8/21/2017, 44.16, 44.38, 44.16, 44.38, 2869, 1.12749122234164, -0.962940504522827, -0.670323540146075, -0.185971514020191, 0, -0.501998193477924, -0.364310194055082, -0.137687999422842, 44.5992727272734, 44.8763870967743, 46.5862246642247, 46.461424689441
8/22/2017, 44.65, 44.94, 44.65, 44.93, 22512, 1.12032400234022, -0.601859234426954, -0.452149957575777, -0.0944956733051859, 0, -0.485831311401526, -0.388614417524371, -0.0972168938771552, 44.7305454545461, 44.7567311827958, 46.5001343101343, 46.4357717966414
8/23/2017, 44.71, 44.97, 44.69, 44.97, 2630, 1.09449298541002, -0.998659881889623, -0.569893301234638, -0.0698538089400477, 0, -0.464437528448215, -0.40377903970914, -0.0606584887390754, 44.8409090909098, 44.6567741935485, 46.4209499389499, 46.4116109975006
8/24/2017, 45, 45.18, 45, 45.17, 2912, 1.05841005260558, -0.853126735508965, -0.406026298349187, 0.0874103221355242, 0, -0.426428866266001, -0.408309005020512, -0.0181198612454888, 44.8540000000007, 44.5988817204302, 46.3485006105006, 46.3927929073769
8/25/2017, 45.29, 45.32, 45.11, 45.23, 1659, 1.02737039514447, -0.851924642823225, -0.350120302667877, 0.119141346298476, 0, -0.387004086878051, -0.40404802139202, 0.0170439345139691, 44.8981818181825, 44.5465161290323, 46.2764761904762, 46.3757893569845
8/28/2017, 45.22, 45.26, 45.15, 45.19, 2515, 0.989036619246852, -1.06839829491289, -0.413104086995195, 0.267997431480352, 0, -0.354896307165234, -0.394217678546663, 0.0393213713814288, 45.058727272728, 44.4913763440861, 46.2079731379732, 46.3581496896678
8/29/2017, 44.86, 45.16, 44.73, 45.16, 2883, 0.991138985442361, -1.29696703435344, -0.617144615341759, 0.168343463160921, 0, -0.328089399331368, -0.380992022703604, 0.0529026233722355, 45.1683636363643, 44.4296774193549, 46.1361074481075, 46.3401305822091
8/30/2017, 45.2, 45.65, 45.17, 45.63, 4786, 0.985576260211443, -0.771991512643135, -0.297877835421711, 0.286457650559289, 0, -0.265855048187099, -0.357964627800303, 0.0921095796132039, 45.4696363636371, 44.4879569892474, 46.1018241758242, 46.3336120615911
8/31/2017, 45.59, 45.64, 45.36, 45.52, 6079, 0.969315740680487, -0.523420545136799, -0.33153614744644, 0.273067302691601, 0, -0.222841182781337, -0.33093993879651, 0.108098756015172, 45.5716363636371, 44.5360215053764, 46.0666788766788, 46.3246020005635
9/1/2017, 45.85, 45.95, 45.76, 45.95, 3977, 0.959022630902872, -0.249687377362452, -0.246664796147249, 0.392161427458036, 0, -0.152299365921763, -0.295211824221561, 0.142912458299797, 45.7990909090917, 44.6525161290323, 46.0471697191697, 46.3258350156631
9/5/2017, 45.67, 45.74, 45.14, 45.26, 7104, 1.01444399901652, -0.503035604096465, -0.647089382976262, 0.332490178437471, 0, -0.150338690422991, -0.266237197461847, 0.115898507038855, 45.648727272728, 44.7142795698925, 45.998818070818, 46.3109205366357
9/6/2017, 45.33, 45.33, 45.06, 45.24, 5663, 0.993988696412759, -0.699638202004744, -0.599914458954475, 0.384285088561251, 0, -0.148684728816562, -0.24272670373279, 0.0940419749162278, 45.5534545454553, 44.8138924731183, 45.9468156288156, 46.2958166734666
