Date,IJT_Open,IJT_High,IJT_Low,IJT_Close,IJT_Volume,IJT_ATRPercentOfClose20,IJT_SQN25,IJT_SQN50,IJT_SQN100,IJT_SQN200,IJT_MACD,IJT_MACD_Avg,IJT_MACD_Diff,IJT_LinReg10,IJT_LinReg30,IJT_LinReg90,IJT_LinReg270
9/29/2017, 164.11, 164.66, 163.84, 164.49, 60933, 0.85555700255214, 2.91273120202371, 0.698761366780003, 0.901374031968539, 0, 2.34109966723463, 1.57722374077501, 0.763875926459618, 163.609818181815, 162.210473118283, 156.598461538461, 157.216820330969
10/2/2017, 164.9, 166.79, 164.5, 166.79, 903502, 0.870520071840706, 3.14503036046895, 0.994696482469138, 1.01521431887317, 0, 2.69020241022727, 1.79981947466546, 0.890382935561807, 165.461090909088, 163.24002150538, 157.010415140415, 157.453808966861
10/3/2017, 167.28, 167.3, 165.84, 167.14, 427135, 0.868938259203039, 3.13205359923331, 1.01582750363929, 1.12332934332149, 0, 2.96097860590265, 2.0320513009129, 0.928927304989751, 166.899454545452, 164.202645161294, 157.429753357753, 157.69367263709
10/4/2017, 167.38, 167.38, 166.04, 166.39, 329715, 0.869479076933927, 2.93697895959186, 0.762121350221398, 1.13995972277551, 0, 3.07955279219078, 2.24155159916848, 0.838001193022303, 167.668727272724, 165.057526881724, 157.805995115995, 157.913483311518
10/5/2017, 167.17, 167.17, 166.26, 166.5, 171145, 0.85278674132423, 2.75781151914146, 0.867839831372625, 1.05732913489556, 0, 3.14613310575334, 2.42246790048545, 0.723665205267886, 168.051636363634, 165.798107526885, 158.1564004884, 158.131481541451
10/6/2017, 166.24, 166.87, 166.03, 166.54, 170494, 0.83517198756431, 2.49588230949848, 0.993980311373594, 1.06483944967687, 0, 3.16563468355017, 2.57110125709839, 0.594533426451773, 168.193999999997, 166.457032258068, 158.498703296703, 158.346266225095
10/9/2017, 166.74, 167.09, 165.48, 165.83, 78870, 0.845354071449751, 2.11400572447913, 0.943410689295418, 1.44649871240085, 0, 3.08819991192604, 2.67452098806392, 0.413678923862117, 167.716545454543, 166.944838709681, 158.855675213675, 158.542563045202
10/10/2017, 166.58, 166.63, 165.72, 166.08, 65683, 0.829273918503652, 2.73648816121794, 0.973179094193179, 1.43602377384202, 0, 3.0122815021131, 2.74207309087376, 0.27020841123934, 167.018363636361, 167.396322580649, 159.245438339438, 158.740334379906
10/11/2017, 166.14, 166.31, 165.53, 165.83, 120239, 0.812515960717796, 2.60357648026349, 0.902266071210593, 1.35921910420985, 0, 2.89853025223559, 2.77336452314612, 0.125165729089464, 166.576909090906, 167.716817204305, 159.592727716727, 158.929417279602
10/12/2017, 165.75, 166.02, 165.06, 165.75, 127666, 0.801221995037952, 2.78811999720259, 1.21011363308293, 1.25734785306375, 0, 2.76999545244854, 2.77269070900661, -0.00269525655806691, 166.070727272725, 167.999462365595, 159.930144078143, 159.113431779726
10/13/2017, 166.49, 166.49, 165.26, 165.32, 59400, 0.800341267805853, 2.54467916775739, 1.18375349774268, 1.17907157468263, 0, 2.6034226554365, 2.73883709829259, -0.135414442856083, 165.460727272725, 168.243827956993, 160.249838827838, 159.28547231105
10/16/2017, 166.18, 166.24, 164.99, 165.21, 89057, 0.79866108270674, 2.22444256647234, 1.14475895966056, 1.14916732657835, 0, 2.43447333976678, 2.67796434658743, -0.243491006820644, 165.227454545452, 168.467032258068, 160.604192918192, 159.452189447236
