Date,IYR_Open,IYR_High,IYR_Low,IYR_Close,IYR_Volume,IYR_ATRPercentOfClose20,IYR_SQN25,IYR_SQN50,IYR_SQN100,IYR_SQN200,IYR_MACD,IYR_MACD_Avg,IYR_MACD_Diff,IYR_LinReg10,IYR_LinReg30,IYR_LinReg90,IYR_LinReg270
2/8/2018, 73.81, 74.49, 71.76, 71.79, 18137766, 1.58103407784928, -1.93520739736355, -1.89943106414264, -1.65971809469864, -0.740625612124748, -1.53376607902563, -1.02368658558755, -0.510079493438074, 72.764545454543, 75.0061935483852, 77.8785445665444, 80.5836684433511
2/9/2018, 72.25, 73.91, 71.27, 73.28, 14993066, 1.65157361662609, -1.22596666239095, -1.48970130706631, -1.28116539813443, -0.535886956295308, -1.61059069865061, -1.14106740820016, -0.469523290450448, 72.3701818181793, 74.5919569892454, 77.5717069597068, 80.4715235752357
2/12/2018, 73.67, 73.89, 71.71, 73.5, 13618899, 1.71259794415023, -1.19063404716587, -1.42878630709756, -1.15242571564179, -0.522673369696353, -1.63487676019552, -1.23982927859924, -0.395047481596289, 72.1492727272702, 74.2836774193529, 77.2805372405371, 80.3667850211835
2/13/2018, 73.45, 74.28, 73.03, 74.06, 8520837, 1.69905686538334, -1.15369800742613, -1.3299640937084, -1.02324013742029, -0.405748207093794, -1.59060086242935, -1.30998359536526, -0.280617267064095, 72.2701818181793, 74.0961075268798, 77.02978021978, 80.2715976493098
2/14/2018, 73.58, 74.11, 72.62, 73.7, 11068170, 1.72307386537009, -1.05644952320802, -1.42111668057693, -1.04249118192072, -0.482169273679534, -1.56650321190109, -1.36128751867243, -0.205215693228667, 72.6896363636338, 73.880365591396, 76.7734065934064, 80.1654090474238
2/15/2018, 73.9, 74.61, 73.63, 74.43, 9783956, 1.68669913588454, -0.694251733263424, -1.17250692354399, -0.843495626830835, -0.393964990145913, -1.47153777958522, -1.38333757085498, -0.0882002087302343, 73.3643636363611, 73.7930967741917, 76.547509157509, 80.0738707120405
2/16/2018, 74.52, 75.33, 74.5, 75.06, 10139458, 1.64886711763512, -0.495850753568267, -0.973422032923664, -0.803221841181448, -0.253270253110894, -1.3301085915362, -1.37269177499123, 0.0425831834550261, 74.2525454545429, 73.7407311827938, 76.3569694749693, 79.9962304223042
2/20/2018, 74.71, 75.37, 74.1, 74.13, 9230144, 1.67173570156762, -0.558476796594623, -1.12158968903777, -0.848878447215401, -0.307133823411855, -1.27833234914409, -1.3538198898218, 0.0754875406777078, 74.4038181818156, 73.6024731182777, 76.1321416361415, 79.9064646713134
2/21/2018, 74.11, 74.67, 72.88, 72.9, 9805636, 1.73771576377705, -0.842664653514999, -1.37198582085648, -0.938557211145501, -0.483985948956053, -1.32131868517143, -1.34731964889173, 0.0260009637202943, 74.1750909090882, 73.3714408602131, 75.865785103785, 79.7958001913352
2/22/2018, 73.19, 74.18, 73.05, 73.58, 8770269, 1.7225537540144, -0.804441874014715, -1.28349382308645, -0.91410929963722, -0.379961649707326, -1.28569466143021, -1.33499465139943, 0.0492999899692121, 74.1974545454518, 73.2094838709658, 75.6467619047617, 79.6949615962826
2/23/2018, 73.99, 74.86, 73.71, 74.83, 7871538, 1.69461753253188, -0.382341846185578, -1.05021361378456, -0.711555604707018, -0.224741199328133, -1.14341721079046, -1.29667916327763, 0.153261952487172, 74.2369090909064, 73.175935483869, 75.4921001221, 79.6074694546946
2/26/2018, 75.2, 75.25, 74.64, 75.09, 6058004, 1.6449303297562, -0.428928771618524, -1.05778618693508, -0.647575042631018, -0.237887103190733, -0.998175137374233, -1.23697835809695, 0.23880322072272, 74.4983636363609, 73.1769247311809, 75.3446300366298, 79.520057400574
2/27/2018, 75.15, 75.22, 73.5, 73.51, 10466889, 1.71326251582537, -0.838371685508849, -1.31114092449364, -0.875583189362146, -0.337317993857248, -0.999046160909955, -1.18939191865955, 0.190345757749598, 74.15927272727, 72.9515698924712, 75.1340976800975, 79.4139226458931
2/28/2018, 73.91, 74.37, 73.33, 73.33, 6702624, 1.70250690251476, -1.10567152116423, -1.33374884397601, -0.978098531669842, -0.335676825360929, -1.00270241968113, -1.15205401886387, 0.14935159918274, 73.8694545454517, 72.7396344086002, 74.9193528693527, 79.2986847068471
3/1/2018, 73.24, 74.08, 72.75, 73.1, 14216812, 1.7134417182399, -1.09974819057879, -1.42649417667318, -1.04936722150902, -0.380430274675263, -1.01248778003256, -1.12414077109761, 0.111652991065049, 73.4679999999971, 72.5599569892454, 74.6989426129424, 79.1865841191745
3/2/2018, 72.85, 73.07, 72.26, 72.97, 6744501, 1.68822749243758, -1.09788308235955, -1.52343279566556, -1.02921284360304, -0.355212036574217, -1.0189864209913, -1.10310990107634, 0.0841234800850477, 73.2003636363608, 72.3429247311808, 74.472918192918, 79.0767382807161
3/5/2018, 72.6, 74.19, 72.6, 73.79, 11811053, 1.6937316996478, -0.917518761095753, -1.07110366447288, -0.916735147927474, -0.314432453829409, -0.947052462528859, -1.07189841336685, 0.124845950837988, 73.4216363636335, 72.2890107526862, 74.2800439560437, 78.9774188875222
3/6/2018, 73.82, 74.45, 73.44, 74.26, 7440171, 1.66686559400971, -0.640278098916493, -0.856829686705783, -0.85822156848179, -0.28976500862374, -0.842408449915496, -1.02600042067658, 0.183591970761081, 73.6885454545425, 72.3604086021485, 74.1036971916969, 78.88449200492
3/7/2018, 73.92, 74.74, 73.73, 74.64, 8993596, 1.64311852975084, -0.484536560744561, -0.742220296064754, -0.847719077893878, -0.294994801403836, -0.720508913538467, -0.964902119248955, 0.244393205710488, 73.8336363636334, 72.5767311827937, 73.9413064713062, 78.8015470821374
3/8/2018, 74.7, 75.1, 74.5, 75.02, 8446847, 1.59304517072211, -0.658937649117367, -0.758761792771287, -0.865088942920768, -0.280525589606965, -0.586479260667147, -0.889217547532594, 0.302738286865446, 74.1510909090879, 72.8518279569872, 73.788366300366, 78.7262285089517
3/9/2018, 75.14, 75.49, 74.65, 75.49, 7660121, 1.55960705089673, -0.320667083427244, -0.739931375699668, -0.81773968719228, -0.25392899961368, -0.437293871543844, -0.798832812334844, 0.361538940791, 74.8023636363606, 73.2015268817184, 73.6670622710619, 78.6625174251742
3/12/2018, 75.46, 76.03, 75.34, 75.87, 6980216, 1.51967839012237, -0.087126011077061, -0.720845053939059, -0.705021883801774, -0.26522258904412, -0.285113935660405, -0.696089036999956, 0.410975101339551, 75.600909090906, 73.6224086021485, 73.5691575091572, 78.6065800191334
3/13/2018, 76.23, 76.41, 75.73, 75.99, 6437297, 1.48615738236156, 0.503431913449199, -0.777905363025622, -0.696899216884015, -0.268922186906676, -0.153062829932239, -0.587483795586413, 0.434420965654174, 76.0823636363605, 74.0098924731163, 73.4826886446883, 78.5493907339072
3/14/2018, 76.12, 76.35, 75.68, 76.05, 5750412, 1.45478559515282, 0.455095708842621, -0.7708241186898, -0.675701468463516, -0.223553920405224, -0.0430733558724938, -0.478601707643629, 0.435528351771135, 76.4132727272697, 74.3884086021485, 73.4030549450545, 78.4927604209374
3/15/2018, 76.13, 76.39, 75.65, 76.03, 9157313, 1.43107486894388, 0.522304823545221, -0.710116039470898, -0.670393384492591, -0.199585396576516, 0.0419961563495264, -0.374482134844998, 0.416478291194524, 76.542909090906, 74.8540430107506, 73.3365372405369, 78.4387590542571
3/16/2018, 75.94, 76.59, 75.76, 76.48, 10879587, 1.40578440339322, 1.39759366593503, -0.610966850950247, -0.567586623174911, -0.161962392808, 0.144064906308643, -0.27077272661427, 0.414837632922912, 76.6421818181787, 75.3057634408581, 73.2918388278384, 78.3925652589858
3/19/2018, 76.38, 76.45, 75.33, 75.77, 8155629, 1.4238969461916, 0.789105018009782, -0.535927622878133, -0.616232171934594, -0.249121116271175, 0.165753358199026, -0.183467509651611, 0.349220867850637, 76.4687272727241, 75.6196989247291, 73.239665445665, 78.3434331009976
3/20/2018, 75.78, 76.27, 75.4, 75.71, 6567070, 1.41123019458844, 0.701775557531423, -0.559424895527146, -0.570648417368798, -0.320427074685362, 0.176070483090925, -0.111559911103103, 0.287630394194028, 76.2605454545423, 75.7664731182775, 73.2018534798531, 78.2922634959682
