Date,EZA_Open,EZA_High,EZA_Low,EZA_Close,EZA_Volume,EZA_ATRPercentOfClose20,EZA_SQN25,EZA_SQN50,EZA_SQN100,EZA_SQN200,EZA_MACD,EZA_MACD_Avg,EZA_MACD_Diff,EZA_LinReg10,EZA_LinReg30,EZA_LinReg90,EZA_LinReg270
3/13/2017, 56.16, 56.84, 56.16, 56.74, 289824, 1.6673149675071, 0.33429213250604, 0, 0, 0, 0.139189247248687, 0.236561275042861, -0.0973720277941734, 55.901090909091, 56.4288387096774, 56.5607738095239, 56.5607738095239
3/14/2017, 56.28, 56.59, 56.08, 56.19, 344764, 1.65818257151692, 0.339920274364095, 0, 0, 0, 0.150533273182141, 0.219355674670717, -0.0688224014885757, 55.888, 56.3894193548387, 56.5780816326531, 56.5780816326531
3/15/2017, 56.68, 58.94, 56.68, 58.56, 767193, 1.74632197334117, 1.01176831735218, 0, 0, 0, 0.346765392951291, 0.244837618326832, 0.101927774624459, 56.8621818181819, 56.6740430107527, 56.7777647058824, 56.7777647058824
3/16/2017, 59.51, 59.86, 59.15, 59.29, 842345, 1.74821022130065, 1.1488366513359, 1.22404641764179, 0, 0, 0.554790382594341, 0.306828171180333, 0.247962211414007, 57.7896363636364, 57.022752688172, 57.019185520362, 57.019185520362
3/17/2017, 58.99, 59.4, 58.83, 59.25, 401581, 1.71002219105266, 1.03158230796614, 1.09839645045207, 0, 0, 0.708259643624153, 0.387114465669097, 0.321145177955056, 58.6967272727273, 57.3473548387096, 57.2412191582003, 57.2412191582003
3/20/2017, 59.82, 60.65, 59.69, 60.37, 544914, 1.71033417390884, 1.0038269076295, 1.31886408914524, 0, 0, 0.909772487523583, 0.491646070039995, 0.418126417483588, 59.8336363636364, 57.8242580645161, 57.5305450733753, 57.5305450733753
3/21/2017, 61.07, 61.26, 59.6, 59.73, 869906, 1.78118584254031, 0.844912436038731, 1.09359732570038, 0, 0, 1.00623101208839, 0.594563058449674, 0.411667953638718, 60.5612727272727, 58.1512688172043, 57.7548215488216, 57.7548215488216
3/22/2017, 59.68, 60.22, 59.6, 60.1, 547736, 1.73328983121774, 0.795091056524632, 1.17501256221033, 0, 0, 1.09985257962961, 0.695620962685662, 0.40423161694395, 60.9816363636364, 58.4370537634409, 57.9906948051949, 57.9906948051949
3/23/2017, 60.28, 60.7, 60.09, 60.39, 489832, 1.68922309841657, 0.655715702217629, 1.2256822223538, 0, 0, 1.18380278121171, 0.793257326390872, 0.390545454820839, 61.034, 58.7235268817204, 58.2316541353384, 58.2316541353384
3/24/2017, 60.3, 60.58, 60.03, 60.37, 364919, 1.65084601238542, 0.819491942203868, 1.0985071275173, 0, 0, 1.23448965958843, 0.881503793030384, 0.35298586655805, 61.0683636363637, 58.9997419354839, 58.4560798548095, 58.4560798548095
3/27/2017, 58.63, 58.91, 58.25, 58.72, 469120, 1.79288990257702, 0.522560613083253, 0.701182731391718, 0, 0, 1.12850941148373, 0.930904916721052, 0.197604494762674, 60.4656363636364, 59.1088387096774, 58.5556399766219, 58.5556399766219
3/28/2017, 58.47, 58.76, 58.06, 58.24, 865084, 1.77737929816889, 0.383862456512191, 0.523297540921779, 0, 0, 0.994325349162565, 0.943589003209355, 0.0507363459532103, 59.479090909091, 59.1435913978495, 58.6169830508475, 58.6169830508475
3/29/2017, 58.01, 58.58, 57.66, 58.08, 481407, 1.77236297880662, 0.28947261041625, 0.506799885507012, 0, 0, 0.865100510031589, 0.927891304573802, -0.0627907945422134, 58.7994545454546, 59.1822150537635, 58.6637267759564, 58.6637267759564
3/30/2017, 58.31, 58.79, 56.91, 57.02, 534265, 1.8799000301409, -0.0557890102464607, 0.424210220650621, 0, 0, 0.669438878119493, 0.87620081928294, -0.206761941163447, 57.9258181818182, 59.140688172043, 58.6393442622952, 58.6393442622952
3/31/2017, 55.87, 55.96, 55.07, 55.19, 959728, 2.02178482936587, -0.267135391395059, 0.170102116822951, 0, 0, 0.362530888694124, 0.773466833165177, -0.410935944471053, 56.5358181818182, 58.8217419354839, 58.5004147465438, 58.5004147465438
4/3/2017, 55.39, 55.74, 54.32, 54.75, 1184459, 2.06581168029347, -0.231843675788489, 0.106465271232073, 0, 0, 0.0828447899854226, 0.635342424529226, -0.552497634543804, 55.4392727272727, 58.4335698924732, 58.3411755952382, 58.3411755952382
4/4/2017, 55.23, 55.8, 55.14, 55.44, 392204, 2.0327927493013, 0.135614720905268, 0.0352767052848199, 0, 0, -0.082183860455693, 0.491837167532242, -0.574021027987935, 54.7596363636364, 58.1561290322581, 58.2320625000001, 58.2320625000001
4/5/2017, 54.55, 54.81, 54.1, 54.15, 479023, 2.10088880000371, -0.360226858987997, -0.319223917483664, 0, 0, -0.313449226351665, 0.330779888755461, -0.644229115107126, 53.9423636363637, 57.7423010752688, 58.0506293706294, 58.0506293706294
4/6/2017, 54.21, 54.39, 54.06, 54.24, 309392, 2.02295302533537, -0.177484197006152, -0.361582784167821, 0, 0, -0.483888481952761, 0.167846214613817, -0.651734696566577, 53.5387272727273, 57.4001075268817, 57.8835142469471, 57.8835142469471
4/7/2017, 54.2, 54.69, 54.1, 54.37, 354708, 1.97146815319995, -0.373361327657033, -0.252768840278745, 0, 0, -0.601538742244763, 0.0139692232421006, -0.615507965486864, 53.5114545454546, 57.0475053763441, 57.732146619842, 57.732146619842
4/10/2017, 54.34, 54.34, 53.95, 53.99, 279690, 1.92497290822388, -0.453144441659142, -0.137032575089501, 0, 0, -0.717173120054795, -0.132259245417279, -0.584913874637517, 53.3501818181819, 56.6196344086022, 57.5661892583121, 57.5661892583121
