Date,IAI_Open,IAI_High,IAI_Low,IAI_Close,IAI_Volume,IAI_ATRPercentOfClose20,IAI_SQN25,IAI_SQN50,IAI_SQN100,IAI_SQN200,IAI_MACD,IAI_MACD_Avg,IAI_MACD_Diff,IAI_LinReg10,IAI_LinReg30,IAI_LinReg90,IAI_LinReg270
2/8/2018, 64.67, 64.67, 62.08, 62.08, 275019, 1.79019743366756, -0.212158580278483, 0.636487777175427, 1.51309904147774, 1.10987915178513, 0.0254357384632584, 0.618474907494793, -0.593039169031535, 63.3158181818221, 66.2716989247312, 66.6983296703286, 62.772131747984
2/9/2018, 62.92, 63.3, 60.87, 62.87, 175794, 1.87257330758673, -0.175604798401876, 0.56969927425466, 1.54437461639371, 1.16428328301591, -0.146883114385659, 0.465403303118703, -0.612286417504362, 62.7467272727312, 65.8240430107527, 66.6791037851027, 62.8488629219624
2/12/2018, 63.39, 64.42, 63.1, 63.89, 177530, 1.87184613641538, -0.00835644638227296, 0.593464505150406, 1.62737748159296, 1.33842492921391, -0.198849359616176, 0.332552770571727, -0.531402130187903, 62.6987272727312, 65.518817204301, 66.7106544566534, 62.9313552002185
2/13/2018, 63.62, 64.2, 63.41, 64.1, 63319, 1.83405050191576, -0.0104181215568868, 0.526631210246941, 1.57785153840103, 1.35443856282788, -0.220545427992036, 0.221933130858974, -0.44247855885101, 62.7430909090949, 65.2179569892473, 66.7438241758231, 63.0191291512914
2/14/2018, 63.96, 65.67, 63.96, 65.62, 139832, 1.83228444550686, 0.157734250381364, 0.693391712326599, 1.74858133723083, 1.43147902589833, -0.11377687269686, 0.154791130147807, -0.268568002844668, 63.4703636363676, 65.1000430107526, 66.8518339438328, 63.1263192565258
2/15/2018, 66.09, 66.18, 65.22, 66.11, 42390, 1.80037483056197, 0.204137190602662, 0.606089026890954, 1.78905120320899, 1.46337099547106, 0.0102586264397786, 0.125884629406202, -0.115626002966423, 64.658000000004, 65.0517849462365, 66.9663052503041, 63.2406426130927
2/16/2018, 65.99, 66.12, 65.75, 65.9, 34666, 1.74387922679863, 0.111442273194465, 0.714219127416257, 1.79363008019103, 1.41664404816461, 0.0905683921287164, 0.118821381950705, -0.0282529898219883, 65.5387272727314, 65.0010537634408, 67.0641807081796, 63.3501295612955
2/20/2018, 65.78, 66.41, 65.63, 65.94, 96849, 1.71482497715693, -0.0124830854757404, 0.785442332833322, 1.79621839212262, 1.42776234575458, 0.155647913484671, 0.126186688257498, 0.0294612252271731, 65.9527272727314, 64.9617849462365, 67.156713064712, 63.463512641793
2/21/2018, 65.91, 66.66, 65.63, 65.64, 29346, 1.71498752352288, 0.00997290604256818, 0.64314555861723, 1.57132699787744, 1.41697643005721, 0.180930753139791, 0.137135501233956, 0.0437952519058341, 66.3238181818223, 64.8871827956989, 67.2338559218548, 63.5777561842284
2/22/2018, 65.89, 65.89, 64.83, 64.96, 20870, 1.72788165012068, -0.19241742248039, 0.411156442103766, 1.4114274548098, 1.38281713631396, 0.144432342577403, 0.138594869502646, 0.00583747307475721, 66.3869090909133, 64.7663870967742, 67.2691135531124, 63.6829140358069
2/23/2018, 65.2, 65.85, 65.2, 65.85, 33904, 1.68687976298022, 0.0459618795573062, 0.606431437577321, 1.49967223721946, 1.43946899623609, 0.185187920141601, 0.147913479630437, 0.0372744405111643, 66.2541818181861, 64.7763655913978, 67.3329474969463, 63.7988621019542
2/26/2018, 66.13, 66.92, 66, 66.86, 30852, 1.65834550961165, 0.0936853789286435, 0.652741414939794, 1.55429847929591, 1.51229672360882, 0.295578325126186, 0.177446448729587, 0.1181318763966, 66.4227272727315, 64.9269462365591, 67.4391159951149, 63.9263925105917
2/27/2018, 67, 67.79, 66.87, 66.87, 81978, 1.64473054783914, 0.0321505141868571, 0.807343590716751, 1.47937818785736, 1.54974778009833, 0.379495840995844, 0.217856327182838, 0.161639513813006, 66.5810909090952, 65.1129462365591, 67.5250842490831, 64.0531102911028
2/28/2018, 67.12, 67.53, 66.28, 66.29, 53202, 1.6704476564686, -0.0684853172545299, 0.785086431551148, 1.41101618375051, 1.53137987246758, 0.394650637292642, 0.253215189204799, 0.141435448087843, 66.4185454545498, 65.1935698924731, 67.5901489621478, 64.1714366543664
3/1/2018, 66.31, 66.44, 64.96, 65.38, 50399, 1.72219755873261, -0.326456285014818, 0.496123963385518, 1.16139733909935, 1.38310992876326, 0.329434017442082, 0.268458954852256, 0.0609750625898268, 66.1261818181862, 65.175376344086, 67.6006910866899, 64.268869208692
3/2/2018, 64.91, 65.92, 64.43, 65.79, 28647, 1.73913075802464, -0.155511244346288, 0.504478038002491, 1.30355936531567, 1.42153233361705, 0.307290693998567, 0.276225302681518, 0.0310653913170491, 66.0865454545499, 65.1963225806452, 67.6347985347974, 64.3790083367499
3/5/2018, 65.42, 67.15, 65.42, 66.86, 36138, 1.75510831501524, 0.0148708942102603, 0.783844725986291, 1.46394765672187, 1.79249117427559, 0.371796173420321, 0.295339476829279, 0.0764566965910428, 66.3920000000045, 65.4044946236559, 67.705846153845, 64.5034828481617
3/6/2018, 67.22, 67.87, 66.74, 67.87, 28024, 1.72578775371774, 0.256460889640957, 0.996933546592067, 1.61094239402395, 1.8401168279859, 0.498667461589278, 0.336005073781279, 0.162662387808, 67.0020000000045, 65.7603440860215, 67.8229621489609, 64.6422807161404
3/7/2018, 67.13, 68.15, 67.13, 67.97, 41062, 1.71211937770461, 0.404794696230574, 0.899923690054937, 1.59831129808636, 1.80924175903408, 0.600362431390153, 0.388876545303053, 0.211485886087099, 67.4812727272773, 66.1179569892473, 67.9281367521356, 64.7763640836407
3/8/2018, 68.21, 68.58, 67.59, 68.43, 517897, 1.68791635828515, 0.439834308328535, 1.00380108655303, 1.71813101468824, 1.82997670615795, 0.70989139711574, 0.453079515665591, 0.256811881450149, 67.8563636363682, 66.5539139784947, 68.0529548229536, 64.9219374060406
3/9/2018, 69.01, 70.23, 69.01, 70.19, 154837, 1.69153598201425, 0.511697024906701, 1.29453989207928, 1.96163145029817, 1.9062221673186, 0.928013619298284, 0.548066336392129, 0.379947282906154, 68.8281818181865, 67.1748387096774, 68.2496947496936, 65.0919606396063
3/12/2018, 70.31, 70.58, 69.99, 70.28, 385417, 1.64687628128488, 0.858327161986002, 1.33054240595637, 1.94225903393097, 1.90337620311116, 1.09551093161454, 0.657555255436612, 0.437955676177929, 69.7963636363683, 67.799182795699, 68.4354896214884, 65.2670914309142
3/13/2018, 70.46, 70.46, 69.11, 69.21, 142591, 1.68624970085632, 1.28482585186843, 1.09828938095737, 1.8890400261993, 1.76228930886426, 1.12890043919434, 0.751824292188157, 0.377076147006182, 70.2103636363684, 68.247870967742, 68.5693699633688, 65.427475741424
3/14/2018, 69.39, 69.39, 68.43, 68.58, 238172, 1.68664442558257, 0.931162271102276, 1.03495329251583, 1.70892800944978, 1.70122909765953, 1.09193893727885, 0.819847221206297, 0.272091716072558, 70.1630909090957, 68.5558279569893, 68.6585958485947, 65.5810441437747
3/15/2018, 68.83, 68.83, 68.2, 68.46, 73801, 1.65113308459144, 0.918500532595872, 1.01844136277035, 1.75989390330819, 1.75447952355626, 1.04096409746155, 0.864070596457348, 0.176893501004206, 69.7674545454593, 68.8495053763441, 68.7551843711832, 65.7291075577422
3/16/2018, 68.45, 69.17, 68.45, 68.81, 70659, 1.61291589046031, 1.90163179820449, 1.00666141671254, 1.72520686874759, 1.81778096173151, 1.01708393410087, 0.894673263986052, 0.122410670114815, 69.4067272727321, 69.2583225806452, 68.8488937728927, 65.8808686620199
3/19/2018, 68.68, 68.79, 67.43, 68.11, 94930, 1.64932469977162, 1.45871752224282, 0.774950344704501, 1.64830448031379, 1.68321209963826, 0.930943248458163, 0.901927260880474, 0.029015987577689, 68.8534545454594, 69.4656559139786, 68.9023223443212, 66.0214935082684
3/20/2018, 68.3, 68.88, 68.3, 68.49, 304896, 1.61437771990616, 1.30391156441407, 0.784384131191838, 1.637756447769, 1.74730690080372, 0.883158457730005, 0.898173500250381, -0.0150150425203758, 68.5652727272776, 69.5455913978495, 68.9511330891319, 66.1664373377067
3/21/2018, 68.48, 69.19, 68.17, 68.36, 51840, 1.61118042034163, 1.20453513428581, 0.724800479731497, 1.69216625627497, 1.69947163173535, 0.825285377156888, 0.883595875631682, -0.0583104984747942, 68.2183636363685, 69.640623655914, 68.9925225885215, 66.3067470274702
3/22/2018, 67.57, 67.67, 65.5, 65.61, 66738, 1.81273096872163, 0.0303859152156178, 0.138386616671802, 1.16369630675569, 1.42348740913203, 0.551165039076452, 0.817109708320636, -0.265944669244185, 66.9921818181867, 69.3579569892474, 68.9062735042724, 66.4023353833538
3/23/2018, 65.69, 65.84, 63.53, 63.55, 60849, 1.9596634919738, -0.516560253459264, -0.211481180548294, 0.831178939903293, 1.17479090046842, 0.165786825035354, 0.68684513166358, -0.521058306628225, 65.5601818181868, 68.6478279569892, 68.7254652014641, 66.4685977859778
3/26/2018, 64.71, 65.79, 64.23, 65.69, 90215, 1.97152967223608, -0.000494424899230511, 0.0756782898792463, 1.11808902243705, 1.24115355979537, 0.0326752690198475, 0.556011159134833, -0.523335890114986, 65.2476363636413, 68.2524086021506, 68.6434627594616, 66.5587150471504
3/27/2018, 66.01, 66.17, 63.9, 64.33, 222746, 2.08898328867914, -0.26105162944816, -0.202618397963911, 0.90678978661722, 1.04712861153556, -0.180476807847228, 0.408713565738421, -0.589190373585649, 64.5016363636414, 67.7342365591398, 68.493133089132, 66.6396862101954
3/28/2018, 64.32, 64.66, 63.29, 64.11, 56080, 2.09819186106212, -0.247369658671293, -0.177540916825698, 0.936412724401591, 1.00463061561538, -0.362969440061065, 0.254376964578524, -0.617346404639589, 63.8198181818233, 67.199311827957, 68.3236385836375, 66.7098843788438
3/29/2018, 64.54, 65.66, 64.3, 65.43, 28132, 2.07151652456148, 0.128153013918963, -0.031007176468734, 0.967648578163337, 1.06130969512568, -0.39651244888887, 0.124199081885045, -0.520711530773916, 63.8138181818233, 66.9331397849463, 68.2142954822944, 66.8003126964603
4/2/2018, 65.42, 65.77, 63.32, 64.1, 71155, 2.19988080954688, -0.274231848786976, -0.175129435299437, 0.860500549469681, 0.948126383385432, -0.524370789721047, -0.00551489243617331, -0.518855897284874, 63.5836363636415, 66.5321075268818, 68.0416459096448, 66.8685805658056
4/3/2018, 64.5, 65.07, 64.04, 64.99, 30719, 2.14050995379839, -0.292255991086462, -0.155514371552955, 0.977744787432362, 1.03815847196647, -0.547571816985894, -0.113926277346117, -0.433645539639776, 63.7778181818234, 66.2429677419355, 67.9206007325996, 66.9471903785704
4/4/2018, 64.01, 65.52, 64, 65.35, 26438, 2.13857926247114, -0.227979026547073, -0.149015550559315, 1.11147750960227, 1.07864600063188, -0.53079117661521, -0.197299257199936, -0.333491919415274, 64.3425454545507, 66.0080430107528, 67.8216825396814, 67.0297958179582
4/5/2018, 65.82, 66.5, 65.72, 66.15, 60110, 2.0940037348808, 0.0181774627857743, -0.0319060536918559, 1.16502688888165, 1.08087844416176, -0.447777385138295, -0.247394882787608, -0.200382502350687, 65.3289090909144, 65.858430107527, 67.7471086691075, 67.1247724477245
4/6/2018, 65.39, 65.64, 63.78, 64.35, 51766, 2.22909758677928, -0.134659724364601, -0.315521126339317, 0.922008367690337, 0.965856123125954, -0.521224957227446, -0.302160897675575, -0.21906405955187, 65.2640000000053, 65.431806451613, 67.5893260073249, 67.192582205822
4/9/2018, 64.8, 65.77, 64.5, 64.58, 39642, 2.22004193595206, -0.165410425680557, -0.226859282786388, 0.941525850742576, 1.02918958920326, -0.554481887414354, -0.352625095623331, -0.201856791791023, 64.9352727272781, 65.0976344086023, 67.439299145298, 67.2643963372967
4/10/2018, 65.54, 66.08, 65.17, 65.66, 55103, 2.18857436510197, -0.160052744907329, -0.109840396963489, 1.0074390494951, 1.1264560240295, -0.488065158786839, -0.379713108256033, -0.108352050530806, 65.3514545454599, 64.9760215053764, 67.3571770451759, 67.3499953532869
4/11/2018, 65.08, 65.52, 64.62, 65.13, 302064, 2.17590516155328, -0.427697199788496, -0.142497074154927, 0.96296911082284, 1.11046070761716, -0.472746466457167, -0.39831977989626, -0.0744266865609075, 65.3141818181872, 64.7955698924733, 67.2668278388267, 67.4279281126145
