Date,IXJ_Open,IXJ_High,IXJ_Low,IXJ_Close,IXJ_Volume,IXJ_ATRPercentOfClose20,IXJ_SQN25,IXJ_SQN50,IXJ_SQN100,IXJ_SQN200,IXJ_MACD,IXJ_MACD_Avg,IXJ_MACD_Diff,IXJ_LinReg10,IXJ_LinReg30,IXJ_LinReg90,IXJ_LinReg270
11/24/2017, 111.91, 112.11, 111.78, 112.06, 15782, 0.631974754877539, -0.971951952656261, -0.326198871375579, 0.484895832361536, 1.29355663523854, -0.242078249553728, -0.424467884629172, 0.182389635075444, 111.757454545461, 110.132580645162, 112.893499389499, 114.77928240204
11/27/2017, 112.09, 112.26, 111.81, 112.01, 18075, 0.620731510400841, -0.905550909022841, -0.301009183054386, 0.741673777302706, 1.26972290527979, -0.161430021913077, -0.371860312085953, 0.210430290172876, 112.072909090916, 110.25006451613, 112.933694749694, 114.801768942005
11/28/2017, 112.18, 112.72, 111.98, 112.54, 54912, 0.619795003163304, -0.621835437060402, -0.0745769537232331, 0.738452699327804, 1.27141295234983, -0.0541252279278126, -0.308313295254325, 0.254188067326512, 112.475454545461, 110.424172043011, 112.990124542124, 114.832956521739
11/29/2017, 112.64, 113.21, 112.64, 112.83, 23785, 0.616982568228293, -0.181375495892078, 0.131936081698248, 0.840611997302685, 1.25782778047896, 0.0536961944586807, -0.235911397311724, 0.289607591770405, 112.820000000007, 110.69982795699, 113.054593406593, 114.868529644269
11/30/2017, 113.12, 113.71, 112.93, 113.47, 40926, 0.621604265572736, 0.270943177721285, 0.302747178790378, 0.987942663659978, 1.23055695211367, 0.188613876448557, -0.151006342559668, 0.339620219008224, 113.170181818189, 111.081505376345, 113.135411477411, 114.914425287356
12/1/2017, 113.29, 113.68, 112.35, 113.38, 18364, 0.649645124482373, 0.787842737087405, 0.368844357243235, 0.778357770322505, 1.18526617071262, 0.284989679985372, -0.0638071380506597, 0.348796818036032, 113.51327272728, 111.492795698925, 113.205426129426, 114.957939544176
12/4/2017, 113.87, 113.87, 112.11, 112.11, 36851, 0.702648523799134, 0.171931878862071, -0.0416064793271347, 0.547303391347443, 1.0467897160281, 0.255939501218108, 0.000142189803093905, 0.255797311415015, 113.253090909098, 111.736043010753, 113.194754578754, 114.978990866072
12/5/2017, 111.87, 112.26, 111.45, 111.54, 67777, 0.707237131997175, 0.204023148671712, -0.143873365870663, 0.322735043050653, 0.961956385755243, 0.184792614705657, 0.0370722747836065, 0.14772033992205, 112.704000000007, 111.90870967742, 113.164844932844, 114.989898890707
12/6/2017, 111.4, 111.83, 111.11, 111.37, 31857, 0.705225538455748, 0.204320899950167, -0.0366903147088718, 0.347530801656151, 0.95639353536771, 0.113383599749113, 0.0523345397767079, 0.0610490599724054, 112.211818181825, 112.011870967743, 113.130085470085, 114.997622791201
12/7/2017, 111.31, 111.63, 111.03, 111.43, 26369, 0.696526247930771, 0.0877931774808604, -0.00193559059475909, 0.347355938480212, 0.900997057447773, 0.0609305698002629, 0.0540537457814189, 0.00687682401884403, 111.799454545462, 112.096752688173, 113.090793650793, 115.00609740399
