Date,IJJ_Open,IJJ_High,IJJ_Low,IJJ_Close,IJJ_Volume,IJJ_ATRPercentOfClose20,IJJ_SQN25,IJJ_SQN50,IJJ_SQN100,IJJ_SQN200,IJJ_MACD,IJJ_MACD_Avg,IJJ_MACD_Diff,IJJ_LinReg10,IJJ_LinReg30,IJJ_LinReg90,IJJ_LinReg270
1/9/2018, 163.2, 163.22, 162.43, 162.44, 69739, 0.714080510406397, 0.637826979810006, 1.45858496531159, 2.01623473733131, 0.905369318787818, 1.35214459824331, 1.25620948557109, 0.0959351126722234, 162.727818181819, 161.915376344085, 161.77075946276, 155.780199981902
1/10/2018, 162.06, 162.46, 161.52, 161.79, 95326, 0.710151901878326, 0.40215197607429, 1.22115290294583, 2.40815234533136, 0.890620113435644, 1.28696112835325, 1.26235981412752, 0.0246013142257318, 162.658727272728, 161.886946236558, 161.896173382174, 155.914084582922
1/11/2018, 162.17, 164.19, 162.11, 164.16, 69429, 0.73800379139041, 1.14712252956618, 1.73221723595498, 2.64632173766013, 0.922225848157179, 1.4102850635864, 1.2919448640193, 0.118340199567101, 163.304363636364, 162.272086021504, 162.128661782663, 156.082479061479
1/12/2018, 164.38, 164.69, 164.07, 164.51, 126796, 0.718455821986003, 1.41509344080929, 1.69450188945762, 2.70606706560216, 0.907176926456991, 1.51875498362847, 1.33730688794113, 0.181448095687336, 163.975272727273, 162.755978494622, 162.318222222223, 156.253889478338
1/16/2018, 165.12, 165.4, 162.89, 163.08, 85121, 0.765474055133502, 0.860452257086184, 1.45024879894702, 2.33315489564348, 0.784539977364946, 1.4723567160417, 1.36431685356125, 0.108039862480455, 163.791454545455, 163.067010752687, 162.438163614165, 156.401139188676
1/17/2018, 163.71, 164.36, 163.39, 163.93, 83733, 0.762470770851052, 0.921870412584525, 1.60957892371594, 2.46243263614488, 0.821734334555722, 1.48703207088352, 1.3888598970257, 0.0981721738578147, 164.041272727273, 163.444430107526, 162.56897924298, 156.559250573245
1/18/2018, 163.82, 163.82, 162.82, 163.02, 93449, 0.762435540377453, 0.751955726086365, 1.39134044557932, 2.34311770569073, 0.840905525347073, 1.40899102899738, 1.39288612342004, 0.0161049055773415, 163.858727272727, 163.704709677418, 162.659777777779, 156.701421534739
1/19/2018, 163.02, 164.59, 163.02, 164.56, 92660, 0.76523839148466, 1.10740327965996, 1.50033442549296, 2.37618312932227, 0.910110299150254, 1.45463988758806, 1.40523687625364, 0.0494030113344179, 164.188, 164.051763440859, 162.845433455434, 156.864832475701
1/22/2018, 164.49, 165.35, 164.3, 165.31, 63037, 0.755436744404935, 1.28940254447658, 1.82719861859982, 2.48580102631013, 1.01862174364614, 1.53365662993016, 1.43092082698895, 0.102735802941219, 164.668909090909, 164.40410752688, 163.082056166057, 157.037265995177
1/23/2018, 165.44, 165.91, 164.62, 165.54, 160697, 0.75563118162801, 1.78687179279409, 1.83426758493523, 2.51439662635507, 0.959094915703984, 1.59643434395969, 1.46402353038309, 0.132410813576593, 165.222727272727, 164.805892473117, 163.313821733823, 157.210793275323
1/24/2018, 166.09, 166.09, 164.47, 164.98, 69648, 0.769383116234488, 1.35017793978878, 1.80002773222616, 2.35684885494494, 0.95000964092845, 1.58275381399466, 1.48776958710541, 0.0949842268892507, 165.339818181818, 165.127311827956, 163.505489621491, 157.373625691766
1/25/2018, 165.72, 165.72, 164.31, 164.91, 128908, 0.773974805594248, 1.00609664363433, 1.79398468905836, 2.23966611985436, 0.916663275155578, 1.54841432397654, 1.49989853447963, 0.0485157894969106, 165.164181818182, 165.395376344085, 163.694334554336, 157.533213393997
1/26/2018, 165.42, 165.53, 164.38, 165.53, 73820, 0.767258961704948, 1.56978847843095, 1.8464950184065, 2.22853193240505, 0.901628254413691, 1.55332310730736, 1.51058344904518, 0.0427396582621837, 165.506545454545, 165.677913978493, 163.916083028084, 157.699812474184
1/29/2018, 165.15, 165.2, 164.16, 164.16, 67089, 0.776706610224593, 1.07745651879815, 1.65663048732252, 2.40113016680887, 0.942034042671756, 1.43017958305308, 1.49450267584676, -0.064323092793684, 165.370909090909, 165.729720430106, 164.066310134311, 157.843987153205
