Date,EXI_Open,EXI_High,EXI_Low,EXI_Close,EXI_Volume,EXI_ATRPercentOfClose20,EXI_SQN25,EXI_SQN50,EXI_SQN100,EXI_SQN200,EXI_MACD,EXI_MACD_Avg,EXI_MACD_Diff,EXI_LinReg10,EXI_LinReg30,EXI_LinReg90,EXI_LinReg270
4/5/2017, 80.53, 81.05, 80.18, 80.18, 2991, 0.65700096744422, -0.174151036737057, 0.837059127691763, 0, 0, 0.30196116633941, 0.342196144007229, -0.0402349776678184, 80.5007272727268, 80.4322580645161, 80.9613846153846, 80.9613846153846
4/6/2017, 80.4, 80.61, 80.4, 80.49, 2549, 0.648458450629813, 0.350572533293783, 0.62654997485449, 0, 0, 0.297821125331936, 0.33332114027217, -0.0355000149402341, 80.4987272727268, 80.4678709677419, 80.9970058796924, 80.9970058796924
4/7/2017, 80.42, 80.64, 80.19, 80.47, 4812, 0.644149368169927, 0.216046424508052, 0.652277617679991, 0, 0, 0.28958808892628, 0.324574530002992, -0.0349864410767121, 80.4694545454541, 80.4765591397849, 81.0291571553995, 81.0291571553995
4/10/2017, 80.52, 80.74, 80.3, 80.55, 4560, 0.638646364665454, 0.404135849298815, 0.754710155363171, 0, 0, 0.286219321498194, 0.316903488302032, -0.0306841668038381, 80.4167272727268, 80.5127311827957, 81.0638235294117, 81.0638235294117
4/11/2017, 80.69, 80.73, 80.19, 80.65, 6037, 0.639439757471943, 0.602673226288909, 1.02557127582865, 0, 0, 0.288295423125788, 0.311181875266784, -0.0228864521409952, 80.4939999999995, 80.5441935483871, 81.1019834368529, 81.1019834368529
4/12/2017, 80.52, 80.52, 80.17, 80.2, 2369, 0.640801441622277, 0.393522374466162, 0.971919952542976, 0, 0, 0.250739144650254, 0.299093329143478, -0.0483541844932238, 80.4098181818177, 80.5854193548387, 81.1126559356136, 81.1126559356136
4/13/2017, 79.87, 80, 79.67, 79.67, 8698, 0.646073325432425, 0.300458683168047, 0.689834215557336, 0, 0, 0.176178081518131, 0.274510279618408, -0.0983321981002773, 80.1910909090905, 80.5137204301075, 81.0931455399061, 81.0931455399061
4/17/2017, 80.08, 80.37, 79.89, 80.37, 10979, 0.651972486566396, 0.344172189374739, 1.07822228493011, 0, 0, 0.171594022579654, 0.253927028210658, -0.0823330056310032, 80.2078181818177, 80.5479354838709, 81.1122450532725, 81.1122450532725
4/18/2017, 79.89, 80.14, 79.71, 80.08, 9881, 0.662825640710218, 0.141966788514921, 0.785798342083585, 0, 0, 0.142913132840604, 0.231724249136647, -0.0888111162960426, 80.1209090909086, 80.5254838709676, 81.1144761199556, 81.1144761199556
4/19/2017, 80.15, 80.25, 80.05, 80.05, 7455, 0.642412535198882, 0.491237767389069, 0.931987802705711, 0, 0, 0.11642054819788, 0.208663508948894, -0.0922429607510138, 80.0629090909086, 80.4801505376344, 81.114627027027, 81.114627027027
4/20/2017, 80.52, 81, 80.52, 80.87, 21851, 0.662839956356338, 0.414141184194917, 1.12915579291978, 0, 0, 0.159750625207721, 0.198880932200659, -0.039130306992938, 80.2516363636359, 80.5303010752687, 81.1572666666667, 81.1572666666667
4/21/2017, 80.81, 80.84, 80.75, 80.84, 2269, 0.637353709883847, 0.342336839848623, 1.07943166528931, 0, 0, 0.189485008902537, 0.197001747541035, -0.00751673863849778, 80.4543636363631, 80.5436129032257, 81.1960594668489, 81.1960594668489
4/24/2017, 82.28, 82.61, 82.26, 82.42, 14745, 0.701255644402568, 0.800230768491301, 1.34881770728465, 0, 0, 0.336661691183068, 0.224933736269441, 0.111727954913626, 81.1798181818177, 80.7862365591397, 81.3132567432567, 81.3132567432567
4/25/2017, 82.75, 83.12, 82.75, 82.91, 20481, 0.704470096503156, 0.999284301552751, 1.32912904947097, 0, 0, 0.487222776261163, 0.277391544267786, 0.209831231993377, 81.9841818181813, 81.08088172043, 81.4495683219733, 81.4495683219733
4/26/2017, 82.91, 83.05, 82.84, 82.88, 4471, 0.682157757191395, 1.42116213437936, 1.1544181027808, 0, 0, 0.597238181649857, 0.3413608717442, 0.255877309905657, 82.669454545454, 81.3071182795699, 81.578079113924, 81.578079113924
4/27/2017, 82.91, 82.98, 82.77, 82.86, 4027, 0.660878266596931, 1.36393872612571, 1.15145414326616, 0, 0, 0.675031012861524, 0.408094899967665, 0.266936112893859, 83.1361818181813, 81.572752688172, 81.6997037037037, 81.6997037037037
4/28/2017, 82.97, 82.97, 82.6, 82.6, 9792, 0.652207681739838, 1.1748620034099, 0.967607190627045, 0, 0, 0.707546410387906, 0.467985202051713, 0.239561208336193, 83.2619999999995, 81.7945161290322, 81.8031767539897, 81.8031767539897
5/1/2017, 83.01, 83.01, 82.7, 82.77, 13280, 0.643092144329167, 1.23087858573392, 0.99960294864056, 0, 0, 0.738519483545176, 0.522092058350406, 0.21642742519477, 83.4267272727268, 82.0432903225807, 81.9100705260065, 81.9100705260065
5/2/2017, 82.85, 83.25, 82.85, 83.25, 3636, 0.636243843205032, 1.4890906015457, 1.20201823559167, 0, 0, 0.792660558143652, 0.576205758309055, 0.216454799834597, 83.5683636363631, 82.337311827957, 82.0348709122203, 82.0348709122203
5/3/2017, 82.88, 83.18, 82.75, 83.03, 7735, 0.636142779109695, 1.12145120874086, 1.00726134124429, 0, 0, 0.808495752679292, 0.622663757183102, 0.18583199549619, 83.4550909090904, 82.5332043010753, 82.1438823529412, 82.1438823529412
5/4/2017, 83.29, 83.35, 83.15, 83.29, 3688, 0.621659121167055, 1.23393613570126, 1.16701634936503, 0, 0, 0.832429358054185, 0.664616877357319, 0.167812480696866, 83.4330909090904, 82.7475268817204, 82.2601176470588, 82.2601176470588
5/5/2017, 83.44, 83.95, 83.44, 83.95, 2236, 0.625242272684977, 1.41596723691738, 1.36153457057318, 0, 0, 0.894343956475481, 0.710562293180951, 0.18378166329453, 83.5010909090903, 83.032, 82.4014835605453, 82.4014835605453
5/8/2017, 83.73, 83.76, 83.51, 83.66, 14903, 0.622336054892525, 1.4333262659502, 1.35988450090637, 0, 0, 0.909526687928349, 0.750355172130431, 0.159171515797918, 83.6152727272721, 83.2566666666667, 82.5237591431558, 82.5237591431558
5/9/2017, 83.6, 83.72, 83.54, 83.54, 1994, 0.602841783992018, 1.38626617901506, 1.2094674183721, 0, 0, 0.901484364275433, 0.780581010559431, 0.120903353716002, 83.7183636363631, 83.4338924731183, 82.6354979570991, 82.6354979570991
5/10/2017, 83.44, 83.5, 83.16, 83.23, 9173, 0.597661089786838, 1.18278871778225, 1.1662645618174, 0, 0, 0.860180727632553, 0.796500953974056, 0.0636797736584974, 83.6739999999995, 83.5921720430108, 82.7288239700375, 82.7288239700375
5/11/2017, 82.66, 83.21, 82.62, 83.09, 3437, 0.605441880825739, 1.26680036374582, 0.822011590567599, 0, 0, 0.806849608010538, 0.798570684781352, 0.00827892322918555, 83.5581818181813, 83.7153333333333, 82.8120732600733, 82.8120732600733
5/12/2017, 83, 83.11, 82.87, 83.11, 6717, 0.589470070796776, 1.14299197186722, 1.09513671732379, 0, 0, 0.757466541548737, 0.790349856134829, -0.0328833145860918, 83.3847272727268, 83.8345806451613, 82.8784371184371, 82.8926540850454
5/15/2017, 83.15, 83.44, 83.05, 83.32, 4237, 0.581988894679838, 1.2416528597609, 1.08301788776203, 0, 0, 0.726896144274662, 0.777659113762796, -0.0507629694881342, 83.2899999999995, 83.9441935483871, 82.9613431013431, 82.9788218793829
5/16/2017, 83.78, 83.78, 83.48, 83.64, 61885, 0.578272943202868, 1.33748688127602, 1.28079853139675, 0, 0, 0.720188327102392, 0.766164956430715, -0.0459766293283234, 83.3718181818177, 84.0741075268817, 83.0567521367522, 83.0749645390071
5/17/2017, 83, 83.04, 82.19, 82.19, 14136, 0.647261364168555, 0.574395321744875, 0.814283348768031, 0, 0, 0.591056124735502, 0.731143190091673, -0.140087065356171, 82.887454545454, 84.0068817204302, 83.0845103785104, 83.1064792833147
5/18/2017, 82.12, 82.5, 81.71, 82.37, 107579, 0.661508934623805, 0.817932717140725, 0.892137545034724, 0, 0, 0.497507463339957, 0.684416044741329, -0.186908581401372, 82.5630909090904, 83.9314623655914, 83.1122930402931, 83.1439473684211
5/19/2017, 82.58, 83.52, 82.58, 83.26, 4677, 0.690776680251197, 1.32665307485309, 1.23988909154784, 0, 0, 0.489541902835285, 0.645441216360121, -0.155899313524836, 82.7283636363632, 83.9755053763441, 83.1755457875458, 83.2162220790378
5/22/2017, 83.44, 83.77, 83.44, 83.57, 1957, 0.684316896946619, 1.20107166563041, 1.15977398279862, 0, 0, 0.502451598703885, 0.616843292828874, -0.114391694124988, 82.9803636363631, 84.0396774193548, 83.2560708180708, 83.2981590574374
5/23/2017, 83.74, 83.79, 83.48, 83.69, 12917, 0.667689627481628, 1.37173937762265, 1.16110354069541, 0, 0, 0.516412738216843, 0.596757181906467, -0.0803444436896243, 83.2547272727268, 84.1044086021505, 83.3398437118437, 83.3816821273965
5/24/2017, 83.55, 83.86, 83.48, 83.85, 5233, 0.655754295500782, 1.44528493013758, 1.44694099442455, 0, 0, 0.534229440248751, 0.584251633574924, -0.0500221933261731, 83.5141818181813, 84.1758494623656, 83.4319536019536, 83.4683111111112
5/25/2017, 83.95, 84.16, 83.93, 84.16, 8334, 0.639089208577157, 1.28612857714533, 1.27840880030982, 0, 0, 0.56682965477232, 0.580767237814403, -0.0139375830420833, 83.8189090909085, 84.2359784946237, 83.5246007326008, 83.5638178217822
5/26/2017, 83.89, 84.01, 83.87, 84.01, 11229, 0.625478638306878, 1.23649674139483, 1.19755370784361, 1.91622118937053, 0, 0.573945724216458, 0.579402935094814, -0.00545721087835671, 84.017454545454, 84.2161935483871, 83.603623931624, 83.6498602213163
5/30/2017, 83.91, 84.11, 83.91, 84.06, 3884, 0.605747530144573, 0.781608487044838, 1.11692690924897, 1.801159728319, 0, 0.576968904274224, 0.578916128930696, -0.00194722465647201, 84.2261818181813, 84.2214193548388, 83.682927960928, 83.7345783361889
5/31/2017, 84.3, 84.3, 83.94, 84.2, 17984, 0.595881003738185, 0.627442357751471, 1.1664143291976, 1.79342243183059, 0, 0.583930439598404, 0.579918991064238, 0.00401144853416646, 84.5069090909085, 84.2012688172043, 83.7680757020757, 83.8214731142644
6/1/2017, 84.5, 85.05, 84.48, 84.86, 21411, 0.611766692069495, 0.919373257870004, 1.66108501653303, 1.91452193176513, 0, 0.635379728646143, 0.591011138580619, 0.044368590065524, 84.6950909090903, 84.2362795698925, 83.8716336996337, 83.9301648351649
6/2/2017, 85.4, 85.79, 85.4, 85.73, 4404, 0.629520534405302, 1.24998061518607, 1.84813513641119, 2.11913640864879, 0, 0.737849915465361, 0.620378893957567, 0.117471021507794, 85.0741818181813, 84.4053118279571, 84.0245665445666, 84.0676154537287
6/5/2017, 85.45, 85.55, 85.24, 85.28, 5392, 0.629929123403357, 1.15576416761666, 1.64797414308684, 2.00011834540434, 0, 0.773826843423834, 0.651068483850821, 0.122758359573013, 85.2925454545449, 84.4838924731184, 84.1744346764349, 84.1835020278611
6/6/2017, 84.86, 85.2, 84.86, 84.99, 36151, 0.625183408185038, 0.948511745790081, 1.53884251822932, 1.84464018857934, 0, 0.77006145258305, 0.674867077597267, 0.0951943749857836, 85.3625454545449, 84.6023655913979, 84.3048571428573, 84.2846157840084
6/7/2017, 84.97, 84.97, 84.59, 84.79, 10856, 0.618912854918788, 0.66639298568434, 1.51828971358828, 1.76809099655805, 0, 0.742381315000287, 0.688369925077871, 0.0540113899224164, 85.3099999999994, 84.7115483870968, 84.4174700854702, 84.3748504926946
6/8/2017, 84.62, 84.97, 84.56, 84.88, 4327, 0.611495522150516, 0.804272585012154, 1.35943552143364, 1.72346535962283, 0, 0.719413898774491, 0.694578719817195, 0.0248351789572959, 85.2605454545449, 84.8180215053764, 84.5165054945057, 84.4651459549625
6/9/2017, 84.84, 85.15, 84.66, 85.02, 4885, 0.60878090948164, 0.753334710014681, 1.40190810738571, 1.85027164086111, 0, 0.704389126531751, 0.696540801160106, 0.00784832537164515, 85.2652727272721, 84.9280215053764, 84.6096581196583, 84.5572923832924
6/12/2017, 84.94, 85.24, 84.84, 84.95, 8534, 0.602361686614745, 0.453920020852439, 1.33207414095295, 1.8544807694266, 0, 0.67900630923009, 0.693033902774103, -0.0140275935440131, 85.1689090909085, 84.997870967742, 84.6989743589745, 84.6437483912484
6/13/2017, 85.27, 85.46, 85.26, 85.45, 4108, 0.598737203206862, 0.795705792775324, 1.58131272179284, 1.91903895811897, 0, 0.691267562805947, 0.692680634780472, -0.00141307197452423, 85.2039999999995, 85.1273333333334, 84.7955750915752, 84.7448261694059
6/14/2017, 85.82, 85.82, 85.36, 85.47, 3642, 0.595577270543173, 0.860250617669831, 1.59426190560936, 1.87217532794051, 0, 0.694591706629708, 0.693062849150319, 0.00152885747938936, 85.1981818181813, 85.2740430107528, 84.8993601953603, 84.8431811830461
6/15/2017, 84.64, 85.4, 84.57, 85.36, 12325, 0.619245429330586, 0.961249092531632, 1.520211881827, 1.90901123312166, 0, 0.680505589037153, 0.690551397127686, -0.0100458080905327, 85.2170909090904, 85.377806451613, 84.9839242979245, 84.9344164759725
