Date,IXC_Open,IXC_High,IXC_Low,IXC_Close,IXC_Volume,IXC_ATRPercentOfClose20,IXC_SQN25,IXC_SQN50,IXC_SQN100,IXC_SQN200,IXC_MACD,IXC_MACD_Avg,IXC_MACD_Diff,IXC_LinReg10,IXC_LinReg30,IXC_LinReg90,IXC_LinReg270
6/2/2017, 32.06, 32.06, 31.76, 31.9, 62065, 1.13112002153386, -0.416975707533574, -0.470044301424956, -0.977603887855763, 0, -0.178092853117093, -0.0819738651922592, -0.0961189879248337, 31.8734545454539, 32.5577634408601, 32.3461758241758, 32.1564941599281
6/5/2017, 31.86, 32.02, 31.8, 31.95, 57521, 1.10731118161451, -0.400516466054244, -0.375852679433272, -0.864288255819555, 0, -0.203382419092954, -0.106255575972398, -0.0971268431205555, 31.7730909090903, 32.4564516129032, 32.3355506715507, 32.1268065596897
6/6/2017, 31.86, 32.24, 31.85, 32.23, 156294, 1.10330942103489, -0.123435757945289, -0.154348976593487, -0.915138744668144, 0, -0.198542250907742, -0.124712910959467, -0.0738293399482754, 31.8336363636357, 32.4153118279569, 32.3370891330892, 32.1085046728972
6/7/2017, 32.15, 32.23, 31.59, 31.74, 75200, 1.1651442819142, -0.423735034833359, -0.406769838935221, -1.06337050846481, 0, -0.231575825681063, -0.146085493903786, -0.0854903317772764, 31.768363636363, 32.3323010752687, 32.3119658119659, 32.0729935440028
6/8/2017, 31.64, 31.83, 31.61, 31.64, 69002, 1.14515156550439, -0.5173299126707, -0.66558157787615, -1.10087717386514, 0, -0.262794998786305, -0.16942739488029, -0.0933676039060149, 31.7296363636357, 32.2344086021504, 32.2706862026863, 32.0350925771477
6/9/2017, 31.67, 32.2, 31.67, 32.19, 126713, 1.15628970972137, 0.174424660626032, -0.524700734529418, -0.909590635320834, 0, -0.240385006218773, -0.183618917147986, -0.0567660890707865, 31.8501818181812, 32.1911182795698, 32.256170940171, 32.0182162162163
6/12/2017, 32.4, 32.58, 32.25, 32.35, 182956, 1.15332047814944, -0.159324673688518, -0.463618624377155, -0.786757992117498, 0, -0.207324356700411, -0.188360005058471, -0.0189643516419399, 32.032363636363, 32.1718709677419, 32.2461172161172, 32.0076560489061
6/13/2017, 32.42, 32.59, 32.33, 32.57, 90165, 1.12816768789462, -0.0900607047530316, -0.294632646525316, -0.618763975248402, 0, -0.161509610135305, -0.182989926073838, 0.0214803159385334, 32.2454545454539, 32.1767741935483, 32.2500170940171, 32.0052749683945
6/14/2017, 32.57, 32.57, 31.9, 31.99, 144282, 1.19591123835547, -0.358971645200798, -0.523493919094711, -0.869864945881024, 0, -0.170042106585605, -0.180400362176191, 0.0103582555905866, 32.1994545454539, 32.1031182795698, 32.2355164835165, 31.982803912436
6/15/2017, 31.72, 31.84, 31.61, 31.7, 50396, 1.20644607221583, -0.826607674988305, -0.804779584541321, -0.892635907389291, 0, -0.197923212276464, -0.183904932196246, -0.0140182800802182, 32.0958181818175, 31.9970537634408, 32.2021367521368, 31.9510694126621
6/16/2017, 31.87, 32.19, 31.76, 32.17, 56412, 1.20553694326328, -0.406297776637324, -0.480467579935764, -0.825127072704118, 0, -0.180018970726259, -0.183127739902249, 0.00310876917598965, 32.120363636363, 31.9270752688171, 32.1801660561661, 31.9365232383808
6/19/2017, 32.22, 32.24, 32.02, 32.08, 67385, 1.18276238439965, -0.472657422342706, -0.65394118707865, -0.910992875172486, 0, -0.171119419987768, -0.180726075919353, 0.00960665593158438, 32.1090909090902, 31.8857204301074, 32.1559853479854, 31.9194429708223
6/20/2017, 31.17, 31.17, 30.77, 30.97, 232263, 1.37539123109343, -1.16191464307641, -1.07259710997925, -1.18884432305541, 0, -0.250743767187092, -0.194729614172901, -0.0560141530141919, 31.7632727272721, 31.7154838709676, 32.0906593406594, 31.8654961610894
6/21/2017, 30.94, 31.07, 30.46, 30.57, 277830, 1.42348947025239, -1.36647889069668, -1.31538056073837, -1.22332789297651, 0, -0.342178868073322, -0.224219464952985, -0.117959403120337, 31.2499999999993, 31.4937849462365, 32.0160268620269, 31.7998390542658
