Date,FXE_Open,FXE_High,FXE_Low,FXE_Close,FXE_Volume,FXE_ATRPercentOfClose20,FXE_SQN25,FXE_SQN50,FXE_SQN100,FXE_SQN200,FXE_MACD,FXE_MACD_Avg,FXE_MACD_Diff,FXE_LinReg10,FXE_LinReg30,FXE_LinReg90,FXE_LinReg270
12/22/2017, 114.21, 114.27, 113.97, 114.24, 304101, 0.469912214465571, 0.357846782864037, 0.0205257603015244, -0.0529272740429818, 1.07825324219693, 0.16032338703674, 0.114453512921162, 0.0458698741155789, 114.372363636362, 114.121763440859, 113.213772893772, 116.636443776936
12/26/2017, 114.35, 114.45, 114.28, 114.31, 131122, 0.455328779735102, 0.274060638218836, 0.0871263431538409, -0.0770894686792502, 1.12590386406968, 0.175295982869329, 0.126622006910795, 0.0486739759585341, 114.462363636362, 114.095784946235, 113.216275946275, 116.658150019432
12/27/2017, 114.66, 114.74, 114.54, 114.59, 101236, 0.450267921903687, 0.738189981625013, 0.256817019873727, 0.173454253328922, 1.20528634924875, 0.20736515643766, 0.142770636816168, 0.0645945196214922, 114.555272727271, 114.095784946235, 113.238952380951, 116.683905220883
12/28/2017, 115.07, 115.23, 115, 115.07, 253589, 0.453779361366093, 0.921022045426461, 0.468600860125946, 0.239876857060002, 1.15141091696413, 0.268418039929216, 0.167900117438778, 0.100517922490438, 114.889818181816, 114.223526881719, 113.292180708179, 116.71681816733
12/29/2017, 115.49, 115.85, 115.49, 115.61, 220360, 0.462810929476486, 0.825187481481023, 0.546266479175996, 0.443604384439659, 1.14552347142316, 0.356269523691211, 0.205573998689264, 0.150695525001946, 115.275454545453, 114.410602150536, 113.355457875457, 116.757712009106
1/2/2018, 116.09, 116.2, 115.87, 116.2, 415231, 0.462825240782596, 0.665057026489931, 0.582178967934618, 0.538826641220792, 1.2286600089624, 0.468104509274639, 0.258080100806339, 0.2100244084683, 115.691272727271, 114.644473118278, 113.457482295481, 116.807234142669
1/3/2018, 115.85, 115.91, 115.63, 115.71, 388062, 0.466176461239226, 0.52777562136683, 0.637763171679695, 0.402238349181074, 1.17582778897419, 0.511301668814085, 0.308724414407888, 0.202577254406196, 115.832545454544, 114.815419354837, 113.531978021977, 116.848257757306
1/4/2018, 116.2, 116.44, 116.19, 116.29, 530051, 0.472045871644091, 1.16020925011125, 0.880455542507077, 0.41982697844623, 1.16411187179944, 0.585586603851397, 0.36409685229659, 0.221489751554807, 116.168363636362, 115.005311827956, 113.658144078143, 116.897684113015
1/5/2018, 115.87, 116.09, 115.8, 115.97, 329732, 0.470807137128712, 0.91896722091385, 0.743965201190545, 0.44816412348974, 1.14972479159406, 0.611586634392296, 0.413594808715731, 0.197991825676565, 116.348727272725, 115.1388172043, 113.779567765566, 116.941330882353
1/8/2018, 115.34, 115.42, 115.2, 115.27, 1238775, 0.483382740593181, 0.281428476757452, 0.414402889099953, 0.391441953948945, 1.09180154110215, 0.569146924595074, 0.4447052318916, 0.124441692703474, 116.195999999998, 115.218236559138, 113.868647130646, 116.973396461576
1/9/2018, 114.93, 115.02, 114.82, 114.99, 649910, 0.479898704954928, 0.184083079690234, 0.871499488440265, 0.266894876780296, 1.05269014270513, 0.507074252536327, 0.457179036020545, 0.0498952165157819, 115.862727272725, 115.321139784945, 113.928202686201, 117.000581847796
1/10/2018, 115.58, 115.58, 115.04, 115.2, 330009, 0.480680334015875, 0.471242716559461, 1.09811517652208, 0.403350591803837, 1.0048862565211, 0.469415329954273, 0.459626294807291, 0.00978903514698243, 115.575090909089, 115.433354838708, 114.000835164834, 117.030524976804
1/11/2018, 115.95, 116.14, 115.82, 115.9, 1441699, 0.494440515571159, 0.962565162322944, 1.13269486735633, 0.461183330019433, 1.12785701256413, 0.490401469470299, 0.465781329739893, 0.0246201397304067, 115.536727272725, 115.593354838708, 114.094163614162, 117.070702405702
1/12/2018, 116.95, 117.4, 116.76, 117.4, 1323966, 0.527601132597636, 1.53353172471361, 1.49936146392841, 0.640871570338441, 1.2899028068508, 0.620913100493155, 0.496807683890545, 0.12410541660261, 116.041090909089, 115.938451612902, 114.264322344321, 117.133175066313
1/16/2018, 117.56, 118.28, 117.5, 118.16, 1258973, 0.535234887598293, 1.88199083890738, 1.78874851991881, 0.894325850621642, 1.46038304822747, 0.776716650719109, 0.552789477256258, 0.223927173462851, 116.788909090907, 116.391655913977, 114.465824175823, 117.206284402328
1/17/2018, 117.72, 118.34, 117.6, 117.65, 388202, 0.542126532959487, 1.67115607101057, 1.50298303127294, 0.674162468604613, 1.42138306159713, 0.849249726813881, 0.612081527167783, 0.237168199646098, 117.339454545452, 116.752021505375, 114.664813186812, 117.270569761704
1/18/2018, 117.94, 118.12, 117.75, 117.87, 163372, 0.533996159095185, 1.73321445338897, 1.75641315107412, 0.756472975914971, 1.43933853955032, 0.913949433420157, 0.672455108418258, 0.2414943250019, 117.788909090907, 117.097548387095, 114.873409035408, 117.337220877981
1/19/2018, 117.92, 118.04, 117.69, 117.71, 659799, 0.52285295139684, 1.7765549607758, 1.69961889144644, 0.499742045502545, 1.42940569463875, 0.941461175821985, 0.726256321899003, 0.215204853922982, 118.18127272727, 117.377677419354, 115.057987789986, 117.400472555746
1/22/2018, 117.96, 118.07, 117.72, 118.03, 215497, 0.510613995284893, 1.64178968683848, 1.85365760408724, 0.47371324472153, 1.4374559213179, 0.97781412299355, 0.776567882117912, 0.201246240875638, 118.542727272725, 117.656215053762, 115.257572649571, 117.467586608029
