Date,INR_Open,INR_High,INR_Low,INR_Close,INR_Volume,INR_ATRPercentOfClose20,INR_SQN25,INR_SQN50,INR_SQN100,INR_SQN200,INR_MACD,INR_MACD_Avg,INR_MACD_Diff,INR_LinReg10,INR_LinReg30,INR_LinReg90,INR_LinReg270
11/2/2017, 41.38, 41.38, 41.38, 41.38, 100, 1.70252538378308, -0.0758678199081101, -0.0846194551601405, 0.731694611909532, 0, -0.0337762633511787, -0.0908106038556728, 0.0570343405044941, 41.7601818181819, 41.2700430107527, 41.8837582417584, 42.3077933541018
11/3/2017, 41.46, 41.98, 41.46, 41.98, 200, 1.66574500623861, -9.65893659437863E-05, 0.254237285064408, 0.695022164985865, 0, 0.00547617174235171, -0.0715532487360679, 0.0770294204784196, 41.9249090909092, 41.3216559139785, 41.8863052503054, 42.317590893646
11/6/2017, 41.62, 41.67, 41.2, 41.2, 300, 1.70707710179131, -0.503078246140926, -0.0958600219669609, 0.506680076743186, 0, -0.026055124657212, -0.0624536239202967, 0.0363984992630847, 41.7645454545455, 41.2718064516129, 41.8574725274727, 42.2987439532945
11/8/2017, 41.5, 41.5, 41.5, 41.5, 202, 1.64614452443643, -0.0124739788970917, 0.0762933813862382, 0.646601686264473, 0, -0.0265305833787295, -0.0552690158119833, 0.0287384324332538, 41.7218181818183, 41.2777634408602, 41.8353870573872, 42.2911547911548
11/10/2017, 41.1, 41.1, 41.1, 41.1, 102, 1.62771892642107, -0.295864989023498, -0.0980176598361192, 0.32344024958647, 0, -0.0585095828513786, -0.0559171292198624, -0.00259245363151628, 41.4723636363637, 41.2641290322581, 41.7988107448109, 42.2694868082368
11/14/2017, 41.02, 41.1, 39.75, 39.75, 1486, 1.76866126999021, -0.826329683777936, -0.46416658748047, -0.0412045525972779, 0, -0.190589886337349, -0.0828516806433598, -0.10773820569399, 40.7725454545456, 41.0396559139785, 41.7064126984129, 42.2008233249052
11/17/2017, 41.68, 43.22, 41.68, 43.22, 852, 1.9467624064786, 0.402961168459093, 0.274333776109223, 0.585519342765312, 0, -0.0150905242669594, -0.0692994493680797, 0.0542089251011203, 41.385090909091, 41.2939784946236, 41.7597680097682, 42.2553935724266
11/20/2017, 43.4, 43.4, 42.14, 42.14, 591, 2.04632457635513, 0.145164902638177, 0.116289621178909, 0.394518962197148, 0, 0.0364271015633122, -0.0481541391818013, 0.0845812407451135, 41.6898181818183, 41.4492473118279, 41.7643369963372, 42.270820747521
11/21/2017, 41.5, 41.5, 41.5, 41.5, 392, 2.05109666904156, -0.0329486349107444, 0.0364784293786309, 0.333259839092605, 0, 0.0253206591048283, -0.0334591795244754, 0.0587798386293037, 41.5880000000001, 41.4513118279569, 41.7514920634923, 42.2637256371814
11/27/2017, 41.7, 41.83, 41.7, 41.83, 500, 1.972615017379, 0.0914414997837917, -0.0169429886478646, 0.302963439705295, 0, 0.0426552622031124, -0.0182362911789578, 0.0608915533820703, 41.8109090909092, 41.5200215053763, 41.7436019536022, 42.2679929266136
11/28/2017, 41.78, 41.78, 41.78, 41.78, 500, 1.88221067180745, 0.116454923314881, -0.00567551294142285, 0.305039095279117, 0, 0.0517618001040105, -0.00423667292236417, 0.0559984730263747, 41.8509090909092, 41.602688172043, 41.7501807081809, 42.2703650586702
12/1/2017, 41.59, 44, 40.21, 44, 852, 2.12856417669794, 0.52612488560627, 0.425495296157235, 0.627239410049831, 0, 0.235400691050828, 0.0436907998722742, 0.191709891178553, 42.7560000000001, 41.9235268817204, 41.8506251526253, 42.3468936048996
12/4/2017, 41.7, 42, 40.2, 40.21, 1431, 2.68525199169296, -0.127141246020531, -0.163917254128323, 0.0151664485793389, 0, 0.0742585037179779, 0.0498043406414149, 0.024454163076563, 42.0856363636365, 41.7571397849462, 41.7860610500613, 42.2953109243698
12/5/2017, 42.48, 42.87, 42.48, 42.87, 402, 2.70294573027001, 0.277593744112093, 0.219525723812467, 0.410574588450678, 0, 0.159354983685489, 0.0717144692502298, 0.0876405144352593, 42.448181818182, 41.9526021505376, 41.8401831501834, 42.3327066115703
12/6/2017, 42.52, 44.58, 42.52, 42.56, 502, 2.82851314106771, 0.2354322180074, 0.162629772346777, 0.348032540046125, 0, 0.199480659059631, 0.0972677072121101, 0.102212951847521, 42.5489090909092, 42.0846666666666, 41.8741587301589, 42.3588321365669
12/7/2017, 42.5, 42.5, 42, 42, 500, 2.78958198380118, 0.289642303989035, 0.0948953468784584, 0.254316793466321, 0, 0.183972505474586, 0.114608666864605, 0.0693638386099804, 42.1065454545456, 42.1285376344086, 41.8746593406595, 42.3660015993603
12/11/2017, 41.72, 41.85, 40.91, 40.94, 1400, 2.85183979368996, 0.0323949702953162, -0.0885928206331687, 0.155914515303103, 0, 0.0851672853669285, 0.10872039056507, -0.0235531051981413, 41.8692727272729, 42.034623655914, 41.8426422466424, 42.3388381851561
12/12/2017, 41.78, 42, 41, 42, 1498, 2.76706202609485, 0.197759269497484, 0.134043535216607, 0.289860937844666, 0, 0.0913436253353836, 0.105245037519133, -0.013901412183749, 41.9065454545456, 42.078752688172, 41.8529255189257, 42.3461432258065
12/14/2017, 42.35, 43.64, 42.25, 42.3, 695, 2.80391902697836, 0.229767122567878, 0.168766496879908, 0.258561991185612, 0, 0.119073309067531, 0.108010691828812, 0.0110626172387186, 41.927090909091, 42.1583225806451, 41.8806984126986, 42.3626590476191
12/15/2017, 42.32, 43.67, 42.31, 43.63, 800, 2.73952523720205, 0.449364890147604, 0.330172752292145, 0.474245830188017, 0, 0.245538750064888, 0.135516303476027, 0.110022446588861, 42.4294545454547, 42.4008172043011, 41.9675921855924, 42.4203724534434
12/18/2017, 42.36, 44, 42.09, 43.04, 1490, 2.86011179819166, 0.353408038326866, 0.258278478697942, 0.300809204756064, 0, 0.294757671073477, 0.167364576995517, 0.127393094077959, 42.6198181818183, 42.4939784946236, 42.0154236874239, 42.4580733267717
12/19/2017, 42.1, 42.11, 42.1, 42.11, 300, 2.88872598443269, 0.198132136297681, 0.131127709256246, 0.201815597006309, 0, 0.255772407805857, 0.185046143157585, 0.0707262646482718, 42.864181818182, 42.5006021505376, 42.0189304029306, 42.4659556686047
12/21/2017, 41.62, 41.7, 40.87, 40.89, 2003, 2.97779502676052, -0.0858968242643635, -0.0249879760140235, 0.033938505012096, 0, 0.12499167552717, 0.173035249631502, -0.0480435741043323, 42.032181818182, 42.3411397849462, 41.9733772893775, 42.436161001789
12/22/2017, 40.89, 41.82, 40.87, 41.71, 1201, 2.88717182239333, 0.154531253766011, 0.0561699282656822, 0.128618243644265, 0, 0.0865168376959815, 0.155731567244398, -0.0692147295484165, 41.9783636363638, 42.2923870967742, 41.9707765567768, 42.4320328831474
12/26/2017, 42.16, 42.16, 42.16, 42.16, 102, 2.76690559479185, 0.0601715868837177, 0.0603957759514517, 0.215313002967124, 0, 0.0912842230111934, 0.142842098397757, -0.0515578753865637, 42.0812727272729, 42.2792258064516, 41.978136752137, 42.4415301873699
12/27/2017, 43.75, 43.89, 42.49, 43.89, 300, 2.72203469771254, 0.422500005098362, 0.366229057995718, 0.4627939069051, 0, 0.231984775916153, 0.160670633901436, 0.0713141420147169, 42.6916363636365, 42.4853548387096, 42.0678754578757, 42.5025438596492
12/28/2017, 42.63, 43.89, 42.63, 43.42, 1211, 2.7590188332214, 0.279154598490455, 0.259800156678652, 0.327315555571598, 0, 0.302083673195909, 0.188953241760331, 0.113130431435578, 42.8245454545456, 42.6271827956989, 42.1285860805863, 42.5479216698463
12/29/2017, 42.61, 43.8, 42.45, 43.68, 850, 2.75999926400067, 0.421602011203334, 0.206636187331841, 0.382069235581956, 0, 0.37430265342141, 0.226023124092547, 0.148279529328863, 43.1240000000002, 42.8449892473118, 42.1974139194141, 42.5997313432836
1/2/2018, 42.69, 44.15, 42.42, 43.59, 646, 2.82585293551209, 0.368163815268526, 0.340682982470123, 0.344709466552578, 0, 0.419439431051977, 0.264706385484433, 0.154733045567544, 43.3607272727275, 42.979505376344, 42.2639291819294, 42.6475032679739
1/3/2018, 42.7, 43.96, 42.6, 43.21, 600, 2.86553999041942, 0.373562412919331, 0.247484782191785, 0.291679806516521, 0, 0.419709676420055, 0.295707043671557, 0.124002632748498, 43.6618181818184, 43.1258494623656, 42.3071941391944, 42.6829325890941
1/5/2018, 42.32, 42.32, 41.54, 41.56, 1000, 3.03125562648513, 0.340767261834187, 0.00587595703940288, 0.16024224247725, 0, 0.283514459242113, 0.293268526785668, -0.00975406754355534, 43.2978181818184, 42.992623655914, 42.2913675213678, 42.6697429387496
1/8/2018, 42.42, 42.51, 41.62, 41.69, 1400, 2.9846494277977, -0.157938214556132, 0.109593424002561, 0.187933524674488, 0, 0.183948241119879, 0.27140446965251, -0.0874562285326317, 42.8734545454548, 42.9147311827956, 42.2657264957267, 42.6605432175999
1/9/2018, 42.47, 42.55, 41.39, 42.55, 500, 2.91441910487994, 0.140354017093252, 0.199416491939665, 0.261430215183371, 0, 0.172448232720761, 0.251613222266161, -0.0791649895453995, 42.5250909090911, 42.8958279569892, 42.2815726495729, 42.6759886947585
1/12/2018, 43.38, 43.88, 43.36, 43.62, 1009, 2.85323489837253, 0.402378436444069, 0.301183109737147, 0.346377371766749, 0, 0.246829157961095, 0.250656409405147, -0.0038272514440526, 42.6198181818184, 43.0239784946236, 42.3411575091577, 42.7212310030395
1/16/2018, 43.31, 43.36, 43.04, 43.26, 849, 2.80016645755107, 0.296317344842695, 0.291633580211766, 0.356934588189392, 0, 0.273573995024478, 0.255239926529014, 0.0183340684954643, 42.5760000000002, 43.0661075268817, 42.3842344322346, 42.7551882928778
1/17/2018, 43.27, 44.53, 43.22, 43.33, 900, 2.8070260998379, 0.314683626373677, 0.321363249128127, 0.324366835345748, 0, 0.296994320415735, 0.263590805306358, 0.0334035151093768, 42.8423636363639, 43.0131827956989, 42.4312332112334, 42.7901999409041
1/18/2018, 43.21, 43.21, 43.09, 43.09, 200, 2.70937616293055, -0.0713254494967964, 0.292400072352621, 0.332867627425809, 0, 0.292813728395608, 0.269435389924208, 0.0233783384713999, 42.9623636363639, 43.1380430107527, 42.4706324786327, 42.8176515151515
1/22/2018, 41.93, 41.93, 41.92, 41.92, 400, 2.78529742169951, 0.409280615808653, 0.149773326435781, 0.20555635632344, 0, 0.192868093868199, 0.254121930713006, -0.0612538368448068, 42.7481818181821, 43.0432903225806, 42.4669914529917, 42.8122107279693
1/23/2018, 42.03, 42.15, 42.03, 42.15, 424, 2.6588774501011, -0.120673541624053, 0.176684996210515, 0.213276244940317, 0, 0.130712760903791, 0.229440096751163, -0.0987273358473724, 42.6914545454548, 42.9364731182795, 42.4626715506718, 42.8131138403401
1/25/2018, 42.22, 42.57, 41.63, 42.57, 1287, 2.61141884650395, 0.0521568087831426, 0.228880687597383, 0.287806701662714, 0, 0.114030232103708, 0.206358123821672, -0.0923278917179637, 42.7823636363639, 42.900752688172, 42.4725689865692, 42.825320100643
1/30/2018, 43.29, 44.91, 43.29, 43.79, 712, 2.67891516969375, 0.458909965417861, 0.487317867654608, 0.34681014871718, 0, 0.196982322279105, 0.204482963513159, -0.00750064123405367, 42.9996363636367, 43.0117204301075, 42.5478949938952, 42.8700349328921
1/31/2018, 43.88, 44.99, 43.55, 43.93, 1220, 2.70075598718063, 0.764903121590771, 0.415443681488253, 0.445401045157913, 0, 0.270896554498812, 0.217765681710289, 0.0531308727885225, 43.1696363636367, 43.2754838709677, 42.6167570207572, 42.9173825503356
2/1/2018, 43.72, 45.16, 43.72, 45.16, 702, 2.6552701503765, 0.782232440349771, 0.565534203302889, 0.553208907702463, 0, 0.423839083394604, 0.258980362047152, 0.164858721347452, 43.814363636364, 43.4430967741935, 42.7456654456657, 42.9962523489933
2/5/2018, 44, 44, 44, 44, 100, 2.72082727253301, 0.434443787851101, 0.421922798327476, 0.436278488659862, 0, 0.446300163487948, 0.296444322335311, 0.149855841152636, 44.1300000000004, 43.6089247311827, 42.8152967032969, 43.0426048565122
2/7/2018, 42.19, 42.58, 41.23, 42.58, 1200, 2.9962559885364, -0.183386687685411, 0.289492143877771, 0.272622637500779, 0, 0.345535480786296, 0.306262554025508, 0.0392729267607878, 43.862363636364, 43.5666236559139, 42.824937728938, 43.0505803415824
2/8/2018, 41.92, 43.7, 41.22, 43.53, 2493, 3.06918334464245, 0.160370271705593, 0.385070206144999, 0.363554864288195, 0, 0.338434541566635, 0.312696951533734, 0.025737590032901, 43.9740000000004, 43.6073978494623, 42.8749133089135, 43.0830624355005
2/12/2018, 45.09, 45.11, 43, 43, 1807, 3.19701101029469, 0.254039185653151, 0.300103481338654, 0.283011230857154, 0, 0.286735121476397, 0.307504585522266, -0.0207694640458692, 43.8436363636367, 43.5003870967741, 42.9127081807084, 43.1010202869026
2/13/2018, 43.3, 45.16, 43, 44.55, 1915, 3.17391469743071, 0.87625744560608, 0.372709683897832, 0.399560740628662, 0, 0.366608964750704, 0.319325461367954, 0.0472835033827498, 44.0196363636368, 43.6474193548387, 43.0120415140417, 43.1583778801843
2/16/2018, 42.12, 42.55, 41.13, 41.4, 1466, 3.65768127492781, 0.00427665969202724, 0.128019906562302, 0.118808755796784, 0, 0.173728255467026, 0.290206020187768, -0.116477764720742, 43.0100000000004, 43.3983225806451, 42.9668156288159, 43.1338759305211
2/20/2018, 42.25, 43.2, 41, 43.2, 1402, 3.58464362367849, 0.251054028237135, 0.2001660770307, 0.321864726261781, 0, 0.164220825054258, 0.265008981161066, -0.100788156106808, 42.7470909090913, 43.4720860215053, 43.0139951159953, 43.1555675322554
2/22/2018, 43.09, 44.41, 42.5, 42.5, 1904, 3.68620645448859, -0.189138432047656, 0.231558768671616, 0.189452706607394, 0, 0.0990600653285512, 0.231819197994563, -0.132759132666012, 42.4520000000004, 43.4204731182795, 43.0274285714288, 43.1590502297831
2/23/2018, 42.74, 42.98, 41.02, 42.48, 1713, 3.73424165724992, -0.108826914338447, 0.163037289285378, 0.239560392731457, 0, 0.0452838568217544, 0.194512129760001, -0.149228272938247, 42.2483636363641, 43.3078064516128, 43.0348278388281, 43.1618915691426
2/26/2018, 42.58, 44.27, 42.53, 42.98, 1471, 3.71449642438292, -0.0629277694453184, 0.303739234825073, 0.25159761659756, 0, 0.0425214842671764, 0.164114000661436, -0.12159251639426, 42.5425454545459, 43.1748602150537, 43.0616654456657, 43.1770691823899
2/28/2018, 41.01, 41.99, 40.98, 41.93, 812, 3.85563089682755, -0.235053748193297, 0.156205593584237, 0.172918525917769, 0, -0.043888026814237, 0.122513595166302, -0.166401621980539, 42.3609090909096, 42.9498709677419, 43.0433113553116, 43.1658501552795
3/1/2018, 41.91, 41.91, 41.91, 41.91, 100, 3.66698337696922, -0.171554760831437, 0.198488950807639, 0.152139782775084, 0, -0.112683079350226, 0.0754742602629961, -0.188157339613223, 42.0012727272732, 42.7509247311827, 43.0264981684984, 43.154320220842
3/2/2018, 42, 42, 42, 42, 406, 3.48688356338907, 0.147839108984348, 0.363806634425525, 0.163465125644219, 0, -0.158118712199219, 0.0287556657705532, -0.186874377969772, 41.8992727272732, 42.6803440860214, 43.0123516483519, 43.1451798833599
3/5/2018, 41.06, 42.15, 41.03, 42.15, 4013, 3.43360982631611, 0.151426836577165, -0.028180371036307, 0.120940725415102, 0, -0.179948695631339, -0.0129852065098252, -0.166963489121514, 41.826545454546, 42.6096559139784, 43.0111623931627, 43.1398234325902
3/7/2018, 44.32, 45.42, 42.5, 42.5, 314, 3.61977226988854, 0.0519861578504829, 0.142116176362122, 0.182371400647661, 0, -0.167081033697741, -0.0438043719474084, -0.123276661750333, 42.2310909090914, 42.6089032258064, 43.0126642246645, 43.1429822616408
3/8/2018, 42.51, 44.45, 42.49, 42.6, 1800, 3.66075834264671, -0.138148276493903, 0.232716473488374, 0.21526793454427, 0, -0.147118266841545, -0.0644671509262358, -0.0826511159153094, 42.1520000000005, 42.6224516129031, 43.018810744811, 43.1484205914567
3/9/2018, 43.09, 43.67, 43, 43.05, 1400, 3.56564204708275, 0.0197214410084843, 0.245994740452282, 0.197798796055079, 0, -0.09390392509561, -0.0703545057601106, -0.0235494193354994, 42.5229090909096, 42.6741505376343, 43.0457460317463, 43.1644354664166
3/12/2018, 41.94, 44.55, 41.94, 43.67, 832, 3.63810042639264, 0.125936124290771, 0.325360303797608, 0.27081172211836, 0, -0.00168295734485469, -0.0566201960770594, 0.0549372387322047, 42.9761818181823, 42.6955483870967, 43.0981855921859, 43.1947797262618
3/14/2018, 44.4, 44.42, 43.36, 44.42, 302, 3.51715563573927, 0.312559463712647, 0.145892678189582, 0.366609395849628, 0, 0.130418176446703, -0.0192125215723069, 0.14963069801901, 43.6207272727278, 42.8071612903225, 43.1831135531138, 43.2421400394478
3/15/2018, 43.34, 44.41, 42, 42, 800, 3.82191549220384, 0.0808354087355121, 0.335551470044458, 0.137583807716419, 0, 0.0393815356686105, -0.00749371012412343, 0.0468752457927339, 43.4234545454551, 42.6514408602149, 43.1598949938953, 43.2316985729203
3/20/2018, 41.73, 41.85, 41.16, 41.85, 900, 3.74419183127678, 0.0112635598593152, -0.0643003681482377, 0.115603476890059, 0, -0.0443580721850907, -0.0148665825363169, -0.0294914896487738, 43.0178181818187, 42.551569892473, 43.1346251526254, 43.2179174406605
3/21/2018, 41.78, 41.91, 41.17, 41.91, 600, 3.64017434340221, -0.0544467292588713, -0.0114045889603513, 0.110615084207942, 0, -0.104674197173772, -0.0328281054638079, -0.0718460917099638, 42.6332727272732, 42.4467311827956, 43.1214139194142, 43.2057541139671
3/22/2018, 41.95, 42, 40.51, 41.26, 1300, 3.6932070139454, -0.403105612306434, -0.0257432353810033, 0.0515393874229932, 0, -0.202589403963493, -0.066780365163745, -0.135809038799748, 42.0421818181823, 42.2727956989246, 43.0641562881565, 43.1787988977013
3/23/2018, 41.88, 42.3, 41.24, 41.98, 1242, 3.57462208970028, -0.287905292671011, 0.236410017655143, 0.0953545563592668, 0, -0.21955898872509, -0.0973360898760141, -0.122222898849076, 41.7701818181823, 42.187569892473, 43.0473528693531, 43.1688379509667
3/28/2018, 44.25, 44.26, 42.97, 44.22, 1082, 3.48167126999858, -0.0851788972459033, 0.389898397210279, 0.365965141830834, 0, -0.051662692014375, -0.0882014103036863, 0.0365387182893112, 42.3512727272732, 42.3157204301074, 43.1436483516486, 43.210078817734
3/29/2018, 43.08, 44.56, 42.5, 42.5, 2864, 3.68380066779695, -0.178066461916069, 0.114615718134472, 0.200800240791766, 0, -0.0567392379872942, -0.0819089758404078, 0.0251697378531137, 42.2643636363641, 42.2261290322579, 43.1383565323568, 43.2114714285715
4/2/2018, 44.5, 44.55, 42.24, 42.24, 709, 3.79458929834995, 0.0097508689064121, -0.103368639622074, 0.168386379349649, 0, -0.0808107285588093, -0.0816893263840882, 0.000878597825278826, 42.1830909090914, 42.1292903225805, 43.1290549450552, 43.2069279661017
4/3/2018, 44.53, 45.3, 43.59, 45.3, 772, 3.69910108971714, 0.338496588608678, 0.369514689680341, 0.444751077138718, 0, 0.145353325592382, -0.0362807959887942, 0.181634121581176, 43.3270909090914, 42.5041720430106, 43.2597655677658, 43.2709947311623
4/4/2018, 41.5, 41.5, 41.5, 41.5, 100, 4.29375458785487, -0.116758156919865, 0.0298288448021125, 0.109948358237512, 0, 0.0177570338237416, -0.025473230026287, 0.0432302638500287, 43.219454545455, 42.3964946236558, 43.2065958485961, 43.2490835477999
4/5/2018, 42, 42, 42, 42, 100, 4.09003034824234, -0.260429185020087, 0.234960348974699, 0.15585081477422, 0, -0.0425278903120727, -0.0288841620834442, -0.0136437282286285, 42.9598181818186, 42.4499354838708, 43.1784444444447, 43.2386294227188
4/6/2018, 42, 42, 42, 42, 112, 3.88552883083022, 0.171053199583907, 0.135439878449634, 0.137411688398146, 0, -0.0892750201585173, -0.0409623336984588, -0.0483126864600585, 42.6701818181823, 42.4464301075268, 43.1549694749697, 43.2283296500921
4/9/2018, 42.11, 42.43, 41.43, 42.43, 1800, 3.7716851366987, -0.045568895582093, 0.132695191542194, 0.138273168894076, 0, -0.0905808908911041, -0.0508860451369879, -0.0396948457541162, 42.5329090909096, 42.4157204301074, 43.1442393162396, 43.2276054884342
4/10/2018, 41.43, 42.66, 41.43, 41.46, 2284, 3.8152670123642, -0.089774391119816, -0.190786854590976, 0.116474771817178, 0, -0.167950665500499, -0.07429896920969, -0.0936516962908085, 41.9021818181823, 42.3262365591397, 43.0867667887671, 43.2057052783282
4/11/2018, 42.55, 42.8, 42.55, 42.8, 564, 3.66756826672871, 0.126346683383556, 0.0280609266553237, 0.199435411322737, 0, -0.119759455687344, -0.0833910665052208, -0.0363683891821232, 41.867454545455, 42.3847956989246, 43.0878901098904, 43.2132270135424
4/12/2018, 44.89, 44.89, 42.42, 43.25, 2643, 3.73348730000437, 0.118209728135083, 0.0507886120003178, 0.179034381423938, 0, -0.0447405938030983, -0.0756609719647963, 0.0309203781616981, 42.391454545455, 42.605075268817, 43.1077240537243, 43.2302655699177
4/13/2018, 44.48, 44.48, 44.48, 44.48, 125, 3.58699773918457, 0.463388804311268, 0.202154223086159, 0.379979756956395, 0, 0.112664390223621, -0.0379958995271128, 0.150660289750734, 43.0492727272732, 42.7798064516128, 43.1802564102567, 43.2733199651264
4/16/2018, 43.6, 43.89, 42.73, 42.73, 800, 3.75198166316366, 0.202349754631582, 0.0487708084614348, 0.202856646333268, 0, 0.0951023191308948, -0.0113762557955113, 0.106478574926406, 42.9425454545459, 42.8326236559138, 43.1738876678879, 43.2781927433731
