Date,ITA_Open,ITA_High,ITA_Low,ITA_Close,ITA_Volume,ITA_ATRPercentOfClose20,ITA_SQN25,ITA_SQN50,ITA_SQN100,ITA_SQN200,ITA_MACD,ITA_MACD_Avg,ITA_MACD_Diff,ITA_LinReg10,ITA_LinReg30,ITA_LinReg90,ITA_LinReg270
9/1/2017, 171.45, 171.5, 170.5, 170.5, 376193, 0.832024292631055, 0.96087613520329, 1.93084048869585, 1.95454218859224, 0, 1.38328338852435, 1.2177256872362, 0.165557701288148, 170.528545454555, 169.162086021508, 169.485460317461, 167.720751827358
9/5/2017, 171.79, 171.84, 168.5, 169.01, 418403, 0.896202205780221, 0.799260725071889, 1.58987363825548, 2.08148295505838, 0, 1.31963607315103, 1.23810776441917, 0.0815283087318655, 170.330363636373, 169.214107526884, 169.716656898658, 167.904037151703
9/6/2017, 169.43, 169.92, 167.55, 167.77, 189707, 0.928317208433983, 0.399940110587007, 1.53951496848389, 2.04929325480116, 0, 1.15581397622719, 1.22164900678077, -0.0658350305535778, 169.906363636373, 169.085333333336, 169.869799755801, 168.054394804842
9/7/2017, 167.89, 168, 166.84, 168, 320847, 0.915217792595362, 0.280688067510301, 1.80363268207293, 1.89838877029806, 0, 1.03263923959193, 1.183847053343, -0.151207813751073, 169.440181818192, 168.965591397852, 170.008510378511, 168.206569431375
9/8/2017, 168, 168.4, 167.02, 168.06, 181025, 0.910203258944542, 0.0634789802092825, 1.55090068549612, 1.93766941912151, 0, 0.929153172546165, 1.13290827718364, -0.20375510463747, 168.951454545465, 168.811290322583, 170.146720390721, 168.356617500499
9/11/2017, 169.02, 169.99, 168.76, 169.99, 200101, 0.911643753828512, 0.380776058189506, 2.0453035904929, 2.08189015672365, 0, 0.991445818905817, 1.10461578552807, -0.113169966622255, 169.053090909101, 168.976774193551, 170.346383394384, 168.547213793104
9/12/2017, 169.63, 169.77, 169.15, 169.64, 190142, 0.892606729707872, 0.212229083051158, 1.84166487112534, 1.93579157769194, 0, 1.00103184304623, 1.0838989970317, -0.0828671539854697, 168.805636363646, 169.018645161292, 170.521797313798, 168.725652597403
9/13/2017, 169.63, 169.7, 168.58, 169.12, 158554, 0.883696282794827, 0.154542340454899, 1.61566201791561, 1.80361628859362, 0, 0.955653009047438, 1.05824979943485, -0.102596790387413, 168.69600000001, 169.01795698925, 170.693015873017, 168.888411016949
9/14/2017, 169.18, 170, 168.89, 170, 206504, 0.867812821052636, 0.290779216330506, 1.52617821510776, 1.70347641599081, 0, 0.979408589144725, 1.04248155737683, -0.063072968232101, 169.075090909101, 169.165591397852, 170.886849816851, 169.067256395607
9/15/2017, 170.15, 171.06, 170.09, 171.03, 256990, 0.850445948663981, 0.760270116011826, 1.90739205959878, 1.76043721171595, 0, 1.06902440159536, 1.04779012622053, 0.0212342753748243, 170.00200000001, 169.50324731183, 171.115931623932, 169.265127110665
9/18/2017, 171.92, 174.02, 171.78, 174.01, 309802, 0.880002195678413, 1.1039408500111, 1.9698959137179, 1.94191838306501, 0, 1.36477440392449, 1.11118698176132, 0.253587422163162, 171.862545454556, 170.208236559142, 171.449470085471, 169.524759776537
9/19/2017, 174.7, 175.54, 173.74, 175.39, 499832, 0.880738485469528, 1.07227185379475, 2.08326976198589, 2.02477659738389, 0, 1.69101985413766, 1.22715355623659, 0.463866297901073, 173.710363636374, 171.088623655916, 171.826896214897, 169.809358502149
9/20/2017, 175.75, 176.69, 175.4, 176.49, 428892, 0.868315977212168, 1.35139481706081, 2.10440221862146, 2.18275285644012, 0, 2.01510367006949, 1.38474357900317, 0.630360091066321, 175.342181818192, 172.051118279572, 172.219797313798, 170.112167445814
9/21/2017, 176.49, 177.5, 176.19, 177.5, 374769, 0.85710778860432, 1.52388464227119, 2.12066257416923, 2.34061389875586, 0, 2.32662114785006, 1.57311909277255, 0.753502055077512, 176.893272727283, 173.095913978497, 172.658661782663, 170.430774635201
9/22/2017, 178, 178.59, 177.48, 177.85, 316898, 0.84385606327469, 2.23450986216679, 2.21228121169049, 2.33582470887281, 0, 2.57209357462571, 1.77291398914318, 0.799179585482529, 178.059090909101, 174.026731182798, 173.098307692309, 170.750482299834
9/25/2017, 178.65, 178.69, 176.14, 177.07, 266495, 0.877200038463508, 2.08636665622144, 1.96636074139559, 2.3208186803271, 0, 2.6728814466052, 1.95290748063559, 0.719973965969616, 178.807454545465, 174.811591397852, 173.422957264958, 171.046894242068
9/26/2017, 177.59, 178.78, 176.45, 177.2, 242483, 0.898473590689598, 2.08880796175144, 1.97085027400718, 2.3158453719308, 0, 2.73175648651389, 2.10867728181125, 0.623079204702641, 179.144545454556, 175.654580645164, 173.729982905984, 171.340087183958
9/27/2017, 177.69, 178.91, 177.43, 178.77, 224582, 0.89388065255181, 2.04610618468581, 2.27048855182566, 2.31407999598969, 0, 2.87199469172424, 2.26134076379385, 0.610653927930394, 179.507636363647, 176.6023655914, 174.137873015874, 171.660855039963
9/28/2017, 178.95, 178.95, 177.28, 177.48, 1198460, 0.902406423506044, 1.87114287353799, 1.8918191375852, 2.2069382869362, 0, 2.84623266228243, 2.37831914349156, 0.467913518790869, 179.074727272738, 177.312000000002, 174.500161172162, 171.947847309137
9/29/2017, 177.78, 178.66, 177, 178.04, 185359, 0.901208365769827, 1.96475528339294, 1.99981374649837, 2.24717930813102, 0, 2.83828540089891, 2.47031239497303, 0.367973005925879, 178.633272727283, 177.872559139787, 174.88318925519, 172.240913542722
10/2/2017, 178.63, 180.4, 178.34, 180.4, 316468, 0.910357985418941, 2.29238568208714, 2.16127405966151, 2.48181763261807, 0, 2.9879758895483, 2.57384509388809, 0.41413079566021, 179.220727272738, 178.643333333336, 175.374993894995, 172.57770203286
10/3/2017, 180.79, 181.28, 179.9, 180.42, 213020, 0.902988313607683, 2.3688822493652, 2.11824225976612, 2.49106222327846, 0, 3.07279919672888, 2.67363591445624, 0.399163282272636, 179.742545454556, 179.328559139787, 175.882967032968, 172.908304767154
10/4/2017, 180.57, 181.79, 180.36, 180.98, 191231, 0.89469164528701, 2.16186435316337, 2.17437560783105, 2.62565884034076, 0, 3.148910913788, 2.7686909143226, 0.380219999465405, 180.403454545465, 180.117333333336, 176.39867887668, 173.244083769634
10/5/2017, 181.05, 182.43, 181, 182.09, 234815, 0.884591296973151, 2.17608693795103, 2.30139320226788, 2.63214526504016, 0, 3.26120458483103, 2.86719364842428, 0.394010936406751, 181.40490909092, 180.922817204304, 176.931094017095, 173.596284542315
10/6/2017, 182.09, 182.63, 181.35, 182.02, 280484, 0.875845883982798, 1.98646131799142, 2.3372970161983, 2.61214908903854, 0, 3.30643518653335, 2.9550419560461, 0.351393230487252, 182.201818181829, 181.625118279572, 177.462002442003, 173.94025639656
10/9/2017, 182.5, 182.8, 181.95, 182.36, 229934, 0.853807821958882, 2.15921848200614, 2.20265151757822, 3.07845260937647, 0, 3.33131460169574, 3.03029648517603, 0.301018116519712, 182.732727272738, 182.266301075271, 178.004925518926, 174.284574147502
10/10/2017, 183.15, 183.15, 181.72, 182.29, 289880, 0.850652118557247, 2.59413490947122, 2.3224990570982, 3.09449581842293, 0, 3.30725927623385, 3.08568904338759, 0.221570232846259, 182.97690909092, 182.778043010755, 178.550183150184, 174.620880690738
10/11/2017, 182.56, 182.56, 181.47, 181.81, 667227, 0.840229393087347, 2.88512965670955, 2.14264420157148, 2.86540820906065, 0, 3.21243234857869, 3.11103770442581, 0.101394644152877, 183.091636363647, 183.288043010755, 179.025326007327, 174.941052004558
10/12/2017, 181.7, 183.06, 181.51, 182.94, 215330, 0.835651036729803, 3.04927299698624, 2.15936664704458, 2.83559126747422, 0, 3.1916712816286, 3.12716441986637, 0.064506861762232, 183.17290909092, 183.921827956992, 179.502234432235, 175.277894170128
10/13/2017, 183.12, 183.46, 182.01, 182.11, 188643, 0.837297790491366, 2.7832984735525, 1.88440382505424, 2.68459635672326, 0, 3.07282233992552, 3.1162960038782, -0.0434736639526769, 182.781636363647, 184.430817204304, 179.919186813188, 175.591730369017
