Date,IJS_Open,IJS_High,IJS_Low,IJS_Close,IJS_Volume,IJS_ATRPercentOfClose20,IJS_SQN25,IJS_SQN50,IJS_SQN100,IJS_SQN200,IJS_MACD,IJS_MACD_Avg,IJS_MACD_Diff,IJS_LinReg10,IJS_LinReg30,IJS_LinReg90,IJS_LinReg270
5/5/2017, 138.75, 139.31, 137.97, 139.31, 193535, 1.2369660570233, 0.182145543209384, -0.188559436721143, 0, 0, 0.544280725163929, 0.473143477860578, 0.0711372473033515, 138.701090909089, 139.614946236559, 137.360352846832, 137.360352846832
5/8/2017, 138.91, 139.38, 138.31, 138.8, 206355, 1.21798021854265, 0.0465814048210639, -0.245096106752872, 0, 0, 0.496242356724707, 0.477763253633404, 0.0184791030913034, 138.30018181818, 139.627333333333, 137.393273249739, 137.393273249739
5/9/2017, 138.92, 139.45, 138.58, 139.02, 213426, 1.18654058133387, 0.58136738427755, -0.360074747130688, 0, 0, 0.470500132372308, 0.476310629381185, -0.00581049700887654, 138.246363636362, 139.655268817204, 137.434913176711, 137.434913176711
5/10/2017, 138.74, 140.06, 138.61, 139.89, 156419, 1.17202965212797, 0.719257941035887, -0.00220206438258599, 0, 0, 0.514371607510782, 0.483922825007104, 0.0304487825036777, 138.781636363634, 139.849505376344, 137.513558052434, 137.513558052434
5/11/2017, 139.19, 139.2, 137.44, 138.6, 117132, 1.21217508394209, 0.7421834947247, -0.453461671429905, 0, 0, 0.439976078260145, 0.475133475657712, -0.0351573973975676, 138.929999999998, 139.894043010752, 137.532957264957, 137.532957264957
5/12/2017, 137.96, 138.23, 137.12, 137.28, 134750, 1.21654351182004, 0.23650580977323, -0.448071076124085, 0, 0, 0.27137586499245, 0.43438195352466, -0.16300608853221, 138.36418181818, 139.841483870967, 137.516932844933, 137.49469660774
5/15/2017, 137.8, 138.97, 137.8, 138.18, 83641, 1.20934099462673, 0.428087485356293, -0.260747228865736, 0, 0, 0.207983950153192, 0.389102352850366, -0.181118402697174, 138.294727272725, 139.932430107526, 137.600588522588, 137.49652173913
5/16/2017, 138.36, 138.5, 137.19, 137.92, 91095, 1.19853104484952, 0.250798125023614, -0.137501908141795, 0, 0, 0.135206991801596, 0.338323280640612, -0.203116288839017, 138.149454545453, 139.810086021505, 137.622012210012, 137.487421642645
5/17/2017, 135.93, 136.46, 134.56, 134.71, 186609, 1.29044860530297, -0.465933807780008, -0.365321675926807, 0, 0, -0.179421189149679, 0.234774386682554, -0.414195575832233, 136.808363636362, 139.271419354838, 137.488857142857, 137.344360582307
5/18/2017, 134.35, 135.41, 134.04, 134.88, 166292, 1.27516692644829, -0.115045131011094, -0.241052146697992, 0, 0, -0.410318810246565, 0.10575574729673, -0.516074557543295, 135.664909090907, 138.671720430107, 137.334449328449, 137.213697368421
5/19/2017, 135.08, 136.44, 135.08, 135.65, 71796, 1.26203309463603, 0.288464433153198, -0.0517300748344394, 0, 0, -0.525121005576068, -0.0204196032778294, -0.504701402298239, 135.191999999998, 138.266580645161, 137.245362637363, 137.11948024055
5/22/2017, 136, 136.93, 135.94, 136.79, 254935, 1.23572666001176, 0.236346598757179, 0.00396226916117833, 0, 0, -0.518141289602568, -0.119963940542777, -0.398177349059791, 135.210545454543, 137.996193548386, 137.220373626374, 137.075070481801
5/23/2017, 137.06, 137.41, 136.15, 137.15, 103389, 1.21679400169055, 0.26187530275067, 0.00743791805153443, 0, 0, -0.478050158402823, -0.191581184114786, -0.286468974288037, 135.507090909089, 137.815010752688, 137.177577533578, 137.046858379716
5/24/2017, 137.21, 137.93, 136.61, 137.04, 88245, 1.20504329002675, 0.132980667379625, 0.0323233261852253, 0, 0, -0.449966791697562, -0.243258305631342, -0.206708486066221, 136.041636363634, 137.693182795698, 137.153853479853, 137.015412121212
5/25/2017, 137.71, 138.26, 136.68, 137.29, 112345, 1.20024893176489, -0.17384050119713, -0.169443766918526, 0, 0, -0.402893307336484, -0.27518530597237, -0.127708001364114, 136.559999999997, 137.468516129032, 137.105758241758, 136.995061386139
5/26/2017, 137.05, 137.43, 136.44, 137.18, 61745, 1.17723477948609, -0.088085974703795, -0.223771251954299, -0.262781288003858, 0, -0.370195924348877, -0.294187429647671, -0.0760084947012058, 136.847818181816, 137.114903225806, 137.062356532356, 136.971269656377
5/30/2017, 136.8, 137.02, 136.1, 136.32, 71048, 1.16504118029201, -0.568561056187189, -0.383809344644019, -0.544175565061762, 0, -0.40896354822641, -0.317142653363419, -0.0918208948629908, 137.023999999997, 136.728430107526, 136.948786324786, 136.915202741291
5/31/2017, 136.64, 136.64, 134.55, 136.21, 113934, 1.18440270914424, -0.847017035669789, -0.289944299866846, -0.366955155020337, 0, -0.44345141823618, -0.342404406337971, -0.101047011898208, 137.211636363634, 136.337096774193, 136.84757020757, 136.856960418223
6/1/2017, 136.53, 138.79, 136.01, 138.79, 88917, 1.20441759753519, -0.470592594637273, 0.417541192311894, -0.0880425366902434, 0, -0.259606285984688, -0.325844782267315, 0.0662384962826265, 137.741818181815, 136.312279569892, 136.844693528694, 136.898620879121
