Date,EFG_Open,EFG_High,EFG_Low,EFG_Close,EFG_Volume,EFG_ATRPercentOfClose20,EFG_SQN25,EFG_SQN50,EFG_SQN100,EFG_SQN200,EFG_MACD,EFG_MACD_Avg,EFG_MACD_Diff,EFG_LinReg10,EFG_LinReg30,EFG_LinReg90,EFG_LinReg270
10/5/2017, 77.54, 77.7, 77.49, 77.58, 79942, 0.53972795950654, 1.33567874223879, 0.775152064515515, 1.00631569308123, 0, 0.34945961351599, 0.365117536061675, -0.0156579225456853, 77.6659999999994, 77.853010752686, 77.0909548229552, 78.8141218696029
10/6/2017, 77.28, 77.48, 77.09, 77.47, 67432, 0.545094750788583, 0.913351272241754, 0.754490638715086, 0.855315962008669, 0, 0.332814980113014, 0.358657024871943, -0.0258420447589288, 77.753454545454, 77.8255053763419, 77.154715506716, 78.8554890230224
10/9/2017, 77.67, 77.67, 77.46, 77.5, 98601, 0.531187946147251, 0.814053889969582, 0.805719443894269, 1.03851373452861, 0, 0.318374712003973, 0.350600562298349, -0.032225850294376, 77.7718181818176, 77.8195268817182, 77.2306593406598, 78.8965503568598
10/10/2017, 78.15, 78.41, 78.06, 78.35, 67165, 0.557226707531479, 1.61135136803132, 1.06871180029449, 1.18899780698667, 0, 0.371239177593694, 0.354728285357418, 0.016510892236276, 78.0085454545448, 77.9092903225784, 77.3614700854705, 78.9540052328625
10/11/2017, 78.4, 78.64, 78.4, 78.62, 133846, 0.545990548312603, 1.50850506967851, 1.02287458322299, 1.06858880870934, 0, 0.429965021829602, 0.369775632651855, 0.0601893891777477, 78.2498181818176, 78.0015913978472, 77.4960244200248, 79.0157334507408
10/12/2017, 78.6, 78.81, 78.52, 78.67, 100954, 0.536792780766747, 1.19660080222946, 1.08845975208924, 1.02463126994124, 0, 0.475064016352562, 0.390833309391996, 0.0842307069605657, 78.452363636363, 78.0746236559117, 77.6240659340663, 79.0772050453777
10/13/2017, 79.3, 79.3, 79.06, 79.14, 128524, 0.546727491278418, 1.38027754426115, 1.1960624342249, 1.15608137225045, 0, 0.542477028969088, 0.421162053307415, 0.121314975661674, 78.8070909090903, 78.2294408602128, 77.7688009768013, 79.1468468605656
10/16/2017, 79.12, 79.19, 78.99, 79.06, 71218, 0.532565304538139, 1.02186340098769, 1.1092564228015, 1.10500628660869, 0, 0.582729651059324, 0.453475572857796, 0.129254078201528, 79.0507272727267, 78.3666881720407, 77.9002295482299, 79.2135030150755
10/17/2017, 78.78, 78.88, 78.65, 78.79, 88427, 0.533689330218886, 0.766998423006124, 0.987237296342656, 1.02025812774532, 0, 0.586087350405691, 0.479997928367375, 0.106089422038316, 79.157272727272, 78.4199354838687, 78.010307692308, 79.2734686567165
10/18/2017, 78.82, 79.06, 78.79, 79.02, 124376, 0.522613429657665, 1.42162403853098, 1.27305458748798, 1.09672195187906, 2.15557462942496, 0.600386546755061, 0.504075652044913, 0.0963108947101484, 79.3041818181811, 78.515268817202, 78.1184175824179, 79.3367691246738
10/19/2017, 78.59, 78.78, 78.57, 78.74, 108140, 0.526823311543958, 1.10345120161358, 1.19750506136267, 1.02513307187812, 2.02772661976191, 0.582411426552937, 0.519742806946518, 0.0626686196064198, 79.2467272727266, 78.6015913978472, 78.2253455433458, 79.393306345413
10/20/2017, 78.57, 78.66, 78.47, 78.57, 71335, 0.518747157610064, 0.849142300070394, 1.68335137921678, 0.916879211019683, 1.91620424037278, 0.548129934354094, 0.525420232428033, 0.022709701926061, 79.0452727272721, 78.6635913978471, 78.3232405372408, 79.4453810489714
10/23/2017, 78.71, 78.75, 78.46, 78.46, 107088, 0.51198146781483, 0.680988390788377, 1.62334618965284, 0.750256640803665, 1.94243717774932, 0.506249791641551, 0.521586144270737, -0.0153363526291856, 78.7518181818176, 78.736150537632, 78.3993235653239, 79.4942592061216
10/24/2017, 78.45, 78.72, 78.45, 78.46, 101260, 0.503588614153887, 0.527399468846495, 1.42438079878298, 0.541737042432507, 1.92980201217203, 0.467668485622994, 0.510802612541188, -0.0431341269181941, 78.5759999999994, 78.8078924731159, 78.4877777777781, 79.5421416054939
10/25/2017, 78.59, 78.63, 78.1, 78.29, 134967, 0.513296519775045, 0.552184476803729, 1.38291259406428, 0.578052879458806, 1.89822005694743, 0.418550157709618, 0.492352121574874, -0.0738019638652564, 78.3894545454539, 78.8163655913955, 78.5738925518928, 79.5857731813706
10/26/2017, 78.65, 78.7, 78.4, 78.47, 116153, 0.51263776355969, 0.905824467293419, 1.24627986965615, 0.707290963638557, 1.87842458569671, 0.38965630925658, 0.471812959111215, -0.0821566498546353, 78.2930909090903, 78.8468602150514, 78.6328888888891, 79.6319607023413
10/27/2017, 78.48, 78.79, 78.4, 78.74, 93308, 0.510100978425228, 1.01033403258434, 1.81062080892212, 0.796076257738136, 1.91541366315044, 0.384116612499852, 0.454273689788943, -0.0701570772890904, 78.3949090909085, 78.9149462365567, 78.7014774114776, 79.6823679609865
10/30/2017, 78.75, 78.88, 78.7, 78.88, 105359, 0.495145581758903, 1.45943000910673, 1.88698741230968, 0.922519813098052, 1.89342938876786, 0.3865670881178, 0.440732369454714, -0.0541652813369137, 78.5509090909084, 79.000150537632, 78.7718070818073, 79.7344347231717
10/31/2017, 79, 79.37, 79, 79.23, 97677, 0.499232983903637, 1.938245412098, 1.98108661280983, 1.09528716344879, 1.96821919042179, 0.412001881401181, 0.434986271844008, -0.0229843904428262, 78.7836363636357, 79.1356559139761, 78.860473748474, 79.7920974949223
11/1/2017, 79.62, 79.71, 79.25, 79.35, 230438, 0.503799846867686, 2.04609587694264, 1.82911548504356, 1.24742813509703, 2.01069759250862, 0.436806897433442, 0.435350396961895, 0.00145650047154744, 79.0798181818175, 79.2634408602126, 78.9538241758244, 79.8509085218637
11/2/2017, 79.34, 79.47, 79.2, 79.47, 73293, 0.494874694306069, 1.96568561304571, 1.92468408407822, 1.11914238970847, 2.04114823566588, 0.460835819995083, 0.440447481568532, 0.0203883384265505, 79.3434545454539, 79.3761075268793, 79.0467545787548, 79.9108437416956
11/3/2017, 79.49, 79.59, 79.27, 79.48, 116094, 0.490202659268724, 1.69864758015232, 2.01544749712776, 1.11079457108639, 1.99823903053681, 0.475207929466521, 0.44739957114813, 0.0278083583183908, 79.5367272727267, 79.4831182795674, 79.1434065934068, 79.9698284410514
